_RMSE_,lag_sector0,lag_sector1,lag_sector2,lag_sector3,lag_sector4,lag_sector5,lag_sector6,lag_sector7,gender,dummy_educ2,dummy_educ3,dummy_educ4,age,age_2,exper1,exper2,exper3,exper4,exper5,exper6,exper7
0.2349139572,0.0583191888,0.0534268737,0.269083556,0.0453154904,0.0482606995,0.0478158432,0.0370850775,0.0387172218,-0.004620816,0.0076821201,-0.011921761,-0.011142159,-0.000889941,-0.00001768,-0.000967485,0.0282729415,0.004225227,-0.002922872,-0.000434201,-0.001777019,-0.001737211
0.2349139572,1.9115954E-6,1.5052512E-6,1.7648353E-6,1.7484988E-6,1.7214436E-6,1.7622229E-6,1.7335129E-6,1.7577882E-6,-3.291813E-7,-7.4868E-7,-7.266032E-7,-6.450749E-7,-1.442007E-7,4.2377879E-9,-8.005955E-8,-5.676485E-8,-3.532633E-8,-1.007626E-7,-5.070378E-8,-2.922268E-8,-1.779758E-8
0.2349139572,1.5052512E-6,0.0000165481,2.0409022E-6,1.9323981E-6,2.016337E-6,1.8456491E-6,1.8635477E-6,1.786618E-6,-2.53931E-7,-5.285148E-7,-5.126602E-7,-4.336597E-7,-1.397378E-7,4.1195499E-9,-1.889348E-6,-1.013003E-7,-6.970772E-8,-1.198482E-7,-8.175389E-8,-5.819363E-8,-4.723199E-8
0.2349139572,1.7648353E-6,2.0409022E-6,6.8688108E-6,2.7550503E-6,2.1886698E-6,2.3692323E-6,2.3200107E-6,2.1072905E-6,-3.630912E-7,-6.982204E-7,-6.557224E-7,-5.814675E-7,-1.335585E-7,3.952512E-9,-1.629036E-7,-5.69066E-7,-1.440495E-7,-1.50138E-7,-1.224852E-7,-1.005088E-7,-6.401474E-8
0.2349139572,1.7484988E-6,1.9323981E-6,2.7550503E-6,0.0000154349,2.1523406E-6,2.3542658E-6,2.3008011E-6,2.1561998E-6,-3.601148E-7,-6.88994E-7,-6.717678E-7,-6.004069E-7,-1.234438E-7,3.6687749E-9,-1.581822E-7,-1.769566E-7,-1.334707E-6,-1.528772E-7,-1.28121E-7,-1.043399E-7,-7.668355E-8
0.2349139572,1.7214436E-6,2.016337E-6,2.1886698E-6,2.1523406E-6,0.0000133921,2.1135781E-6,2.3086369E-6,2.1254284E-6,-3.216034E-7,-6.895386E-7,-6.556805E-7,-5.686846E-7,-1.316793E-7,3.8813167E-9,-1.636761E-7,-1.149911E-7,-9.007758E-8,-1.301172E-6,-1.006962E-7,-1.016717E-7,-7.307012E-8
0.2349139572,1.7622229E-6,1.8456491E-6,2.3692323E-6,2.3542658E-6,2.1135781E-6,7.5591556E-6,2.4593206E-6,2.1736182E-6,-3.464954E-7,-7.576529E-7,-7.101614E-7,-6.04096E-7,-1.292447E-7,3.7930012E-9,-1.305039E-7,-1.303916E-7,-1.046422E-7,-1.448072E-7,-6.471493E-7,-1.160307E-7,-7.09969E-8
0.2349139572,1.7335129E-6,1.8635477E-6,2.3200107E-6,2.3008011E-6,2.3086369E-6,2.4593206E-6,0.0000147592,2.2363304E-6,-3.285601E-7,-7.37312E-7,-7.186191E-7,-6.163925E-7,-1.286941E-7,3.8784678E-9,-1.423191E-7,-1.330082E-7,-1.065927E-7,-1.845461E-7,-1.428805E-7,-1.472272E-6,-8.546531E-8
0.2349139572,1.7577882E-6,1.786618E-6,2.1072905E-6,2.1561998E-6,2.1254284E-6,2.1736182E-6,2.2363304E-6,4.0121993E-6,-4.245098E-7,-7.279558E-7,-7.017879E-7,-5.842429E-7,-1.337632E-7,3.9686365E-9,-1.151529E-7,-9.890108E-8,-8.536508E-8,-1.42932E-7,-9.945169E-8,-9.198881E-8,-2.645688E-7
0.2349139572,-3.291813E-7,-2.53931E-7,-3.630912E-7,-3.601148E-7,-3.216034E-7,-3.464954E-7,-3.285601E-7,-4.245098E-7,9.0708763E-7,-7.112353E-8,-2.107099E-7,-1.958455E-7,-8.144683E-9,2.623425E-10,4.7860654E-8,3.1483777E-8,4.9068038E-8,7.2324536E-8,2.7562623E-8,4.9749758E-8,1.5634396E-8
0.2349139572,-7.4868E-7,-5.285148E-7,-6.982204E-7,-6.88994E-7,-6.895386E-7,-7.576529E-7,-7.37312E-7,-7.279558E-7,-7.112353E-8,1.233129E-6,7.8499074E-7,7.6553993E-7,7.031034E-9,1.062546E-10,1.534921E-8,-1.53257E-8,-2.797845E-8,1.4653198E-8,-2.926558E-8,-1.959926E-8,-1.466645E-8
0.2349139572,-7.266032E-7,-5.126602E-7,-6.557224E-7,-6.717678E-7,-6.556805E-7,-7.101614E-7,-7.186191E-7,-7.017879E-7,-2.107099E-7,7.8499074E-7,1.8275322E-6,8.8008658E-7,1.2745706E-8,6.623652E-11,1.0757332E-8,-9.078456E-9,-4.053299E-8,1.7256243E-8,-4.368365E-8,-3.201429E-8,-4.12506E-8
0.2349139572,-6.450749E-7,-4.336597E-7,-5.814675E-7,-6.004069E-7,-5.686846E-7,-6.04096E-7,-6.163925E-7,-5.842429E-7,-1.958455E-7,7.6553993E-7,8.8008658E-7,2.2207187E-6,4.1953652E-9,2.125218E-10,1.3872E-8,-4.623903E-9,-4.236349E-8,2.1410207E-8,-2.405617E-8,-2.849366E-8,-6.322809E-8
0.2349139572,-1.442007E-7,-1.397378E-7,-1.335585E-7,-1.234438E-7,-1.316793E-7,-1.292447E-7,-1.286941E-7,-1.337632E-7,-8.144683E-9,7.031034E-9,1.2745706E-8,4.1953652E-9,3.5149023E-8,-1.231814E-9,-4.035054E-9,-4.036164E-9,-6.667528E-9,-5.404952E-9,-3.030745E-9,-7.206014E-9,-5.23826E-9
0.2349139572,4.2377879E-9,4.1195499E-9,3.952512E-9,3.6687749E-9,3.8813167E-9,3.7930012E-9,3.8784678E-9,3.9686365E-9,2.623425E-10,1.062546E-10,6.623652E-11,2.125218E-10,-1.231814E-9,4.78836E-11,9.717425E-11,1.039466E-10,1.7133E-10,1.279976E-10,8.32298E-11,1.554748E-10,9.424149E-11
0.2349139572,-8.005955E-8,-1.889348E-6,-1.629036E-7,-1.581822E-7,-1.636761E-7,-1.305039E-7,-1.423191E-7,-1.151529E-7,4.7860654E-8,1.534921E-8,1.0757332E-8,1.3872E-8,-4.035054E-9,9.717425E-11,5.0609537E-7,1.6995158E-8,1.7284213E-8,1.6604948E-8,1.4568783E-8,1.6850927E-8,1.2718192E-8
0.2349139572,-5.676485E-8,-1.013003E-7,-5.69066E-7,-1.769566E-7,-1.149911E-7,-1.303916E-7,-1.330082E-7,-9.890108E-8,3.1483777E-8,-1.53257E-8,-9.078456E-9,-4.623903E-9,-4.036164E-9,1.039466E-10,1.6995158E-8,9.7875223E-8,1.9064378E-8,1.7302808E-8,1.6512213E-8,1.8211329E-8,1.3630056E-8
