_RMSE_,year95,year96,year97,year98,year99,year00,year01,year02,year03,year04,year05,gender,dummy_educ2,dummy_educ3,dummy_educ4,age,age_2,exper1,exper2,exper3,exper4,exper5,exper6,exper7
0.2899437348,0.1965422368,0.0868646358,0.0428501449,0.0449398118,0.0302517901,0.0392229314,0.0531641941,0.0381278122,0.0493731427,0.0597867192,0.0561970806,-0.042366743,0.0206860472,-0.000332968,-0.012962849,0.0037118341,-0.000174547,0.001595414,-0.00436989,-0.00228788,-0.005976328,-0.000583846,0.0089911832,-0.001728378
0.2899437348,0.0000832695,0.00004059,0.0000389591,0.000040117,0.0000404162,0.0000399018,0.0000399018,0.000038585,0.0000397627,0.0000400938,0.0000399008,-3.882947E-6,-0.000012545,-0.000011896,-9.741896E-6,-1.763882E-6,4.7930679E-8,-4.376695E-6,-3.595716E-6,-3.143931E-6,-3.992088E-6,-3.269723E-6,-2.986022E-6,-2.889002E-6
0.2899437348,0.00004059,0.000089817,0.0000395992,0.000040646,0.0000409434,0.0000404123,0.0000404396,0.0000391504,0.0000403571,0.0000407252,0.0000405229,-3.524197E-6,-0.000013226,-0.000012845,-0.000010457,-1.782357E-6,4.7989024E-8,-4.632301E-6,-3.749947E-6,-3.048347E-6,-4.205803E-6,-3.36117E-6,-2.859872E-6,-3.073788E-6
0.2899437348,0.0000389591,0.0000395992,0.0000741172,0.0000392043,0.0000395292,0.0000390436,0.0000390778,0.0000378939,0.0000389931,0.0000393711,0.0000391712,-3.943973E-6,-0.000013185,-0.000012955,-0.000010569,-1.778935E-6,4.6798874E-8,-4.169605E-6,-3.361678E-6,-2.736066E-6,-3.88742E-6,-3.042922E-6,-2.592981E-6,-2.851073E-6
0.2899437348,0.000040117,0.000040646,0.0000392043,0.0000685663,0.000040931,0.0000404645,0.0000404628,0.0000392279,0.0000403228,0.0000406812,0.000040504,-4.028511E-6,-0.000013146,-0.000013227,-0.000010859,-1.837148E-6,4.6640331E-8,-4.16608E-6,-3.274037E-6,-2.569904E-6,-3.834346E-6,-2.9782E-6,-2.748969E-6,-2.77284E-6
0.2899437348,0.0000404162,0.0000409434,0.0000395292,0.000040931,0.000069538,0.0000408589,0.0000408684,0.0000396393,0.0000407365,0.0000411089,0.0000409335,-4.371232E-6,-0.000013508,-0.000013611,-0.000011012,-1.861173E-6,4.6911727E-8,-4.243959E-6,-3.130789E-6,-2.535244E-6,-3.775807E-6,-3.014005E-6,-2.727851E-6,-2.724902E-6
0.2899437348,0.0000399018,0.0000404123,0.0000390436,0.0000404645,0.0000408589,0.0000674864,0.0000404681,0.0000393114,0.000040375,0.0000407429,0.0000405728,-4.043719E-6,-0.000013459,-0.000014253,-0.00001216,-1.870323E-6,4.7398809E-8,-4.26093E-6,-2.980911E-6,-2.384305E-6,-3.474979E-6,-2.894731E-6,-2.667375E-6,-2.578439E-6
0.2899437348,0.0000399018,0.0000404396,0.0000390778,0.0000404628,0.0000408684,0.0000404681,0.0000699555,0.0000393372,0.0000404237,0.0000407938,0.0000406381,-4.50835E-6,-0.000013847,-0.000014318,-0.000011985,-1.861923E-6,4.7092665E-8,-4.467079E-6,-2.986021E-6,-2.269368E-6,-3.665427E-6,-2.892563E-6,-2.619863E-6,-2.510793E-6
0.2899437348,0.000038585,0.0000391504,0.0000378939,0.0000392279,0.0000396393,0.0000393114,0.0000393372,0.0000654205,0.0000392989,0.0000396573,0.0000395428,-3.926956E-6,-0.000013776,-0.000014791,-0.000012783,-1.934643E-6,4.9202735E-8,-4.228593E-6,-2.741017E-6,-1.98174E-6,-3.282524E-6,-2.70139E-6,-2.347949E-6,-2.278224E-6
0.2899437348,0.0000397627,0.0000403571,0.0000389931,0.0000403228,0.0000407365,0.000040375,0.0000404237,0.0000392989,0.0000676078,0.0000408059,0.0000406462,-4.347753E-6,-0.00001415,-0.000015265,-0.000012961,-1.823805E-6,4.6067189E-8,-4.789605E-6,-2.957364E-6,-2.273238E-6,-3.774546E-6,-2.967408E-6,-2.560501E-6,-2.419275E-6
