Nobs,_NAME_,year95,year96,year97,year98,year99,year00,year01,year02,year03,year04,year05,gender,dummy_educ2,dummy_educ3,dummy_educ4,age,age_2,exper1,exper2,exper3,exper4,exper5,exper6,exper7
23089,year95,0.1012603404,0,0,0,0,0,0,0,0,0,0,0.017584131,0.0454762008,0.0192299363,0.0155485296,1.0297544285,16.300402789,0.0078392308,0.0962796137,0.4650266361,0.0167612283,0.0367707566,0.0148122483,0.0712027372
23089,year96,0,0.0746675906,0,0,0,0,0,0,0,0,0,0.0144657629,0.0335657672,0.0149854909,0.0092684828,0.7569838451,12.02789207,0.0107843562,0.0822902681,0.3304603924,0.0126467149,0.0311836805,0.0105678028,0.055091169
23089,year97,0,0,0.1058512712,0,0,0,0,0,0,0,0,0.0182771017,0.0502403742,0.0213954697,0.0120403655,1.136861709,19.157390965,0.0126467149,0.1029927671,0.4490016891,0.0169777816,0.0444367448,0.0128199576,0.0757503573
23089,year98,0,0,0,0.1014335831,0,0,0,0,0,0,0,0.019403179,0.0420546581,0.0206158777,0.0133396856,1.172939495,21.091082334,0.0130365109,0.0839360735,0.4507341158,0.0149421803,0.0382000087,0.0103945602,0.0649226905
23089,year99,0,0,0,0,0.1078435619,0,0,0,0,0,0,0.021612023,0.0450864048,0.0221317511,0.0130798216,1.2638918966,23.118368054,0.0197063537,0.0793884534,0.4709601975,0.0168478496,0.039456018,0.0134696176,0.058599333
23089,year00,0,0,0,0,0,0.1039456018,0,0,0,0,0,0.0200961497,0.0464290355,0.0221750617,0.0129932002,1.229979644,22.450647494,0.0150721123,0.077092988,0.4738620122,0.0135129282,0.0353415046,0.0110875309,0.0614578371
23089,year01,0,0,0,0,0,0,0.0756204253,0,0,0,0,0.0147256269,0.0314435445,0.0168478496,0.0122136082,0.8946251462,16.247737018,0.0138161029,0.0529256356,0.3237039283,0.0129932002,0.0323963792,0.0087054442,0.0486378795
23089,year02,0,0,0,0,0,0,0,0.0822036468,0,0,0,0.018623587,0.0346485339,0.020832431,0.0132530642,0.9371562216,16.630689939,0.0096582788,0.058729265,0.3223179869,0.0149854909,0.0341288059,0.0085755121,0.0495040929
23089,year03,0,0,0,0,0,0,0,0,0.0902594309,0,0,0.019273247,0.0392827753,0.0244705271,0.0128632682,1.0555675863,19.449954524,0.0116938802,0.0600718957,0.3606479276,0.0238208671,0.0439170168,0.0126467149,0.0661353891
23089,year04,0,0,0,0,0,0,0,0,0,0.0780891334,0,0.0164580536,0.0336956993,0.0202260817,0.0114340162,0.9286240201,17.325869462,0.0123002295,0.0530555676,0.3115336307,0.0167179176,0.0333059032,0.0099614535,0.054831305
23089,year05,0,0,0,0,0,0,0,0,0,0,0.0788254147,0.016414743,0.0336523886,0.0213954697,0.0102646282,0.9140716358,16.603794014,0.016934471,0.0582528477,0.3062064186,0.0191000043,0.0321798259,0.0113040842,0.0503703062
23089,gender,0.017584131,0.0144657629,0.0182771017,0.019403179,0.021612023,0.0200961497,0.0147256269,0.018623587,0.019273247,0.0164580536,0.016414743,0.1969336047,0.0723288146,0.0617177011,0.0386331153,1.8482394214,28.719823292,0.0090086188,0.1145134047,0.8103425874,0.0073628135,0.0994412924,0.0118238122,0.1590800814
23089,dummy_educ2,0.0454762008,0.0335657672,0.0502403742,0.0420546581,0.0450864048,0.0464290355,0.0314435445,0.0346485339,0.0392827753,0.0336956993,0.0336523886,0.0723288146,0.4355753822,0,0,4.7766468881,80.745549829,0.0421412794,0.401879683,1.827970029,0.0952401577,0.1790896098,0.0631036424,0.2571787431
23089,dummy_educ3,0.0192299363,0.0149854909,0.0213954697,0.0206158777,0.0221317511,0.0221750617,0.0168478496,0.020832431,0.0244705271,0.0202260817,0.0213954697,0.0617177011,0,0.2243059466,0,1.9811598597,30.535103296,0.0152453549,0.1729828057,0.9503226645,0.0252501191,0.1234787128,0.0282385552,0.1803456191
23089,dummy_educ4,0.0155485296,0.0092684828,0.0120403655,0.0133396856,0.0130798216,0.0129932002,0.0122136082,0.0132530642,0.0128632682,0.0114340162,0.0102646282,0.0386331153,0,0,0.1362986704,1.5756420806,27.825804496,0.0085755121,0.0808177054,0.6406513924,0.0082290268,0.0608947984,0.0112174629,0.1378578544
23089,age,1.0297544285,0.7569838451,1.136861709,1.172939495,1.2638918966,1.229979644,0.8946251462,0.9371562216,1.0555675863,0.9286240201,0.9140716358,1.8482394214,4.7766468881,1.9811598597,1.5756420806,200.40382866,4313.7653428,1.6497466326,8.2353501667,55.264584867,2.0922950323,3.4965568019,1.3195027935,6.5259647451
23089,age_2,16.300402789,12.02789207,19.157390965,21.091082334,23.118368054,22.450647494,16.247737018,16.630689939,19.449954524,17.325869462,16.603794014,28.719823292,80.745549829,30.535103296,27.825804496,4313.7653428,104070.11962,29.29659145,131.65741262,1035.6278747,36.708345966,51.990818139,21.59244662,102.87366278
23089,exper1,0.0078392308,0.0107843562,0.0126467149,0.0130365109,0.0197063537,0.0150721123,0.0138161029,0.0096582788,0.0116938802,0.0123002295,0.016934471,0.0090086188,0.0421412794,0.0152453549,0.0085755121,1.6497466326,29.29659145,0.4843431937,0.0659621465,0.3268222963,0.019273247,0.0235176924,0.0145090736,0.04023561
23089,exper2,0.0962796137,0.0822902681,0.1029927671,0.0839360735,0.0793884534,0.077092988,0.0529256356,0.058729265,0.0600718957,0.0530555676,0.0582528477,0.1145134047,0.401879683,0.1729828057,0.0808177054,8.2353501667,131.65741262,0.0659621465,2.9248993027,2.2692624193,0.1026462818,0.2054658062,0.0546147516,0.3489107367
23089,exper3,0.4650266361,0.3304603924,0.4490016891,0.4507341158,0.4709601975,0.4738620122,0.3237039283,0.3223179869,0.3606479276,0.3115336307,0.3062064186,0.8103425874,1.827970029,0.9503226645,0.6406513924,55.264584867,1035.6278747,0.3268222963,2.2692624193,25.119147646,0.4075533804,1.0804279094,0.3234873749,1.882671402
23089,exper4,0.0167612283,0.0126467149,0.0169777816,0.0149421803,0.0168478496,0.0135129282,0.0129932002,0.0149854909,0.0238208671,0.0167179176,0.0191000043,0.0073628135,0.0952401577,0.0252501191,0.0082290268,2.0922950323,36.708345966,0.019273247,0.1026462818,0.4075533804,0.5205942224,0.0429641821,0.0200961497,0.1281995756
23089,exper5,0.0367707566,0.0311836805,0.0444367448,0.0382000087,0.039456018,0.0353415046,0.0323963792,0.0341288059,0.0439170168,0.0333059032,0.0321798259,0.0994412924,0.1790896098,0.1234787128,0.0608947984,3.4965568019,51.990818139,0.0235176924,0.2054658062,1.0804279094,0.0429641821,1.2145177357,0.0469487635,0.2570055005
23089,exper6,0.0148122483,0.0105678028,0.0128199576,0.0103945602,0.0134696176,0.0110875309,0.0087054442,0.0085755121,0.0126467149,0.0099614535,0.0113040842,0.0118238122,0.0631036424,0.0282385552,0.0112174629,1.3195027935,21.59244662,0.0145090736,0.0546147516,0.3234873749,0.0200961497,0.0469487635,0.3699164104,0.0725886786
23089,exper7,0.0712027372,0.055091169,0.0757503573,0.0649226905,0.058599333,0.0614578371,0.0486378795,0.0495040929,0.0661353891,0.054831305,0.0503703062,0.1590800814,0.2571787431,0.1803456191,0.1378578544,6.5259647451,102.87366278,0.04023561,0.3489107367,1.882671402,0.1281995756,0.2570055005,0.0725886786,2.0166312963
