Nobs,_NAME_,lag_log_w,year96,year97,year98,year99,year00,year01,year02,year03,year04,year05,gender,dummy_educ2,dummy_educ3,dummy_educ4,age,age_2,exper1,exper2,exper3,exper4,exper5,exper6,exper7
88977,lag_log_w,1.5081519807,0.0769556257,0.0814260031,0.0867211713,0.0901576204,0.0894520327,0.0927604631,0.1042561768,0.104982013,0.1169808793,0.1322532838,0.1054234381,0.2621174315,0.1202307078,0.0897463765,13.544372178,259.59647629,5.0849693007,0.4025847426,0.1341339104,0.1027504823,0.1755658816,0.0886394566,0.4272597514
88977,year96,0.0769556257,0.0811558043,0,0,0,0,0,0,0,0,0,0.0093732088,0.017678726,0.0052260697,0.0034166133,1.0962046372,21.059858166,0.2922890185,0.0329635749,0.0103734673,0.0114299201,0.0196342875,0.0063724333,0.0518673365
88977,year97,0.0814260031,0,0.0842464907,0,0,0,0,0,0,0,0,0.0095642694,0.0188026119,0.005360936,0.0032929858,1.1492632928,22.160558347,0.3291299999,0.034952853,0.0093619699,0.0106544388,0.0192858829,0.006001551,0.0478438248
88977,year98,0.0867211713,0,0,0.0883037189,0,0,0,0,0,0,0,0.0099801072,0.0202973802,0.0052710251,0.0030906864,1.1952751835,22.961124785,0.3616889758,0.0407296268,0.008395428,0.0110140823,0.017678726,0.0062600447,0.0436404914
88977,year99,0.0901576204,0,0,0,0.089899637,0,0,0,0,0,0,0.0105195725,0.0212189667,0.0054845634,0.0030906864,1.2203266013,23.542499747,0.3902356789,0.0423143059,0.0095867471,0.0098452409,0.0150263551,0.0057992515,0.039032559
88977,year00,0.0894520327,0,0,0,0,0.0957550828,0,0,0,0,0,0.0112725761,0.0229609899,0.0056419075,0.0031019252,1.3111141081,25.454634344,0.4321791025,0.038391944,0.0092608202,0.0091034762,0.0132506153,0.0061476561,0.0358070063
88977,year01,0.0927604631,0,0,0,0,0,0.0960248154,0,0,0,0,0.0116659361,0.024073637,0.0057767738,0.0031131641,1.3194758196,25.6964946,0.4683120357,0.0363689493,0.0095080751,0.009597986,0.0129022107,0.0067545545,0.029670589
88977,year02,0.1042561768,0,0,0,0,0,0,0.105094575,0,0,0,0.0130595547,0.0276363555,0.0063499556,0.003281747,1.4433730065,28.179967857,0.5204603437,0.0354810794,0.0094631197,0.0102048844,0.0140598132,0.0074064084,0.0286253751
88977,year03,0.104982013,0,0,0,0,0,0,0,0.1126358497,0,0,0.0143520236,0.0304910258,0.006956854,0.0034503299,1.5580543286,30.541791699,0.5667981613,0.0355260348,0.0089124156,0.0114636367,0.0138237972,0.0072715421,0.0270519348
88977,year04,0.1169808793,0,0,0,0,0,0,0,0,0.1186711173,0,0.0153859986,0.0330422469,0.0075525136,0.0035402407,1.6455825663,32.221214471,0.6143834924,0.034312238,0.0074626027,0.0121379682,0.0162289131,0.0084066669,0.0266023804
88977,year05,0.1322532838,0,0,0,0,0,0,0,0,0,0.128212909,0.0170043944,0.0377625679,0.0090922373,0.0038549288,1.7811794059,34.950425391,0.6643851782,0.0368185037,0.007361453,0.0126324781,0.0182968632,0.0096317026,0.0283668813
88977,gender,0.1054234381,0.0093732088,0.0095642694,0.0099801072,0.0105195725,0.0112725761,0.0116659361,0.0130595547,0.0143520236,0.0153859986,0.0170043944,0.1221776414,0.0284792699,0.0148352945,0.0083729503,1.5863200602,28.766647561,0.4985895231,0.0325589759,0.0074963193,0.0029782978,0.0190723445,0.0052373085,0.0580824258
88977,dummy_educ2,0.2621174315,0.017678726,0.0188026119,0.0202973802,0.0212189667,0.0229609899,0.024073637,0.0276363555,0.0304910258,0.0330422469,0.0377625679,0.0284792699,0.2539645077,0,0,3.020477202,53.150982838,1.1475437473,0.102374771,0.0268608742,0.0327500365,0.0521932634,0.026793441,0.0862807242
88977,dummy_educ3,0.1202307078,0.0052260697,0.005360936,0.0052710251,0.0054845634,0.0056419075,0.0057767738,0.0063499556,0.006956854,0.0075525136,0.0090922373,0.0148352945,0,0.0627128359,0,0.7120941367,11.581914427,0.3315351158,0.0243321308,0.0089011767,0.0046528878,0.0194769435,0.0053272194,0.0456972026
88977,dummy_educ4,0.0897463765,0.0034166133,0.0032929858,0.0030906864,0.0030906864,0.0031019252,0.0031131641,0.003281747,0.0034503299,0.0035402407,0.0038549288,0.0083729503,0,0,0.0332333075,0.476123043,9.2262494802,0.1813277589,0.0104071839,0.0065185385,0.0018206952,0.00808074,0.0047427987,0.0279398047
88977,age,13.544372178,1.0962046372,1.1492632928,1.1952751835,1.2203266013,1.3111141081,1.3194758196,1.4433730065,1.5580543286,1.6455825663,1.7811794059,1.5863200602,3.020477202,0.7120941367,0.476123043,266.76856941,6161.3117435,67.174753026,4.7952055025,1.2109758702,1.4259190577,2.0600267485,0.9584162199,4.8905672252
88977,age_2,259.59647629,21.059858166,22.160558347,22.961124785,23.542499747,25.454634344,25.6964946,28.179967857,30.541791699,32.221214471,34.950425391,28.766647561,53.150982838,11.581914427,9.2262494802,6161.3117435,157479.44465,1334.7910584,89.148780022,22.350596221,26.539487733,38.591534891,18.081560403,93.727637479
88977,exper1,5.0849693007,0.2922890185,0.3291299999,0.3616889758,0.3902356789,0.4321791025,0.4683120357,0.5204603437,0.5667981613,0.6143834924,0.6643851782,0.4985895231,1.1475437473,0.3315351158,0.1813277589,67.174753026,1334.7910584,29.005574474,1.0749856705,0.2840172179,0.311204019,0.4778313497,0.2076716455,1.1201658856
88977,exper2,0.4025847426,0.0329635749,0.034952853,0.0407296268,0.0423143059,0.038391944,0.0363689493,0.0354810794,0.0355260348,0.034312238,0.0368185037,0.0325589759,0.102374771,0.0243321308,0.0104071839,4.7952055025,89.148780022,1.0749856705,1.4569045933,0.0276251166,0.0326376479,0.0442698675,0.0191173,0.098857008
88977,exper3,0.1341339104,0.0103734673,0.0093619699,0.008395428,0.0095867471,0.0092608202,0.0095080751,0.0094631197,0.0089124156,0.0074626027,0.007361453,0.0074963193,0.0268608742,0.0089011767,0.0065185385,1.2109758702,22.350596221,0.2840172179,0.0276251166,0.3308720231,0.0064623442,0.0083729503,0.003922362,0.0203872911
88977,exper4,0.1027504823,0.0114299201,0.0106544388,0.0110140823,0.0098452409,0.0091034762,0.009597986,0.0102048844,0.0114636367,0.0121379682,0.0126324781,0.0029782978,0.0327500365,0.0046528878,0.0018206952,1.4259190577,26.539487733,0.311204019,0.0326376479,0.0064623442,0.299931443,0.0150825494,0.007676141,0.0399316677
88977,exper5,0.1755658816,0.0196342875,0.0192858829,0.017678726,0.0150263551,0.0132506153,0.0129022107,0.0140598132,0.0138237972,0.0162289131,0.0182968632,0.0190723445,0.0521932634,0.0194769435,0.00808074,2.0600267485,38.591534891,0.4778313497,0.0442698675,0.0083729503,0.0150825494,0.5462422873,0.0126100003,0.0436854468
88977,exper6,0.0886394566,0.0063724333,0.006001551,0.0062600447,0.0057992515,0.0061476561,0.0067545545,0.0074064084,0.0072715421,0.0084066669,0.0096317026,0.0052373085,0.026793441,0.0053272194,0.0047427987,0.9584162199,18.081560403,0.2076716455,0.0191173,0.003922362,0.007676141,0.0126100003,0.2363869315,0.0227586904
88977,exper7,0.4272597514,0.0518673365,0.0478438248,0.0436404914,0.039032559,0.0358070063,0.029670589,0.0286253751,0.0270519348,0.0266023804,0.0283668813,0.0580824258,0.0862807242,0.0456972026,0.0279398047,4.8905672252,93.727637479,1.1201658856,0.098857008,0.0203872911,0.0399316677,0.0436854468,0.0227586904,1.282410061
