Nobs,_NAME_,year95,year96,year97,year98,year99,year00,year01,year02,year03,year04,year05,gender,dummy_educ2,dummy_educ3,dummy_educ4,age,age_2,exper1,exper2,exper3,exper4,exper5,exper6,exper7
4197223,year95,0.0724145465,0,0,0,0,0,0,0,0,0,0,0.0280869041,0.027859611,0.014070732,0.0103639954,0.8077840992,14.176980828,0.0108502693,0.0640099418,0.0250787247,0.0183497517,0.0463106201,0.0262973876,0.1697622452
4197223,year96,0,0.0762735266,0,0,0,0,0,0,0,0,0,0.0296550838,0.0295700276,0.0151531143,0.0108428835,0.8702835184,15.508018993,0.0126219169,0.0665411392,0.0254839926,0.019536727,0.0499063309,0.02773429,0.1788954268
4197223,year97,0,0,0.0801575232,0,0,0,0,0,0,0,0,0.0312235018,0.031324521,0.0162569394,0.0113093824,0.934334678,16.884854343,0.0143232799,0.0688476643,0.0256343301,0.0208942913,0.0535542191,0.0291966855,0.1876452597
4197223,year98,0,0,0,0.0839042862,0,0,0,0,0,0,0,0.032725209,0.0329634618,0.0173750597,0.0117789786,1.0021068692,18.387809273,0.0161849871,0.0706212179,0.0256538669,0.0220907967,0.05731218,0.030486586,0.1957720617
4197223,year99,0,0,0,0,0.0877051327,0,0,0,0,0,0,0.0342507415,0.0346100267,0.0185951521,0.0122759739,1.0709411914,19.933408589,0.0181348477,0.0714191264,0.0252993467,0.0234042842,0.0608688173,0.0316011325,0.2036961105
4197223,year00,0,0,0,0,0,0.0914013861,0,0,0,0,0,0.0357381535,0.036141039,0.0198874351,0.0127889321,1.1407373399,21.518272677,0.0202443377,0.0721872533,0.0248516698,0.0243646811,0.064539816,0.0326542097,0.2119146398
4197223,year01,0,0,0,0,0,0,0.0949797044,0,0,0,0,0.0371767238,0.0376005754,0.0212066407,0.0133030816,1.2113907219,23.144220595,0.0223778913,0.0735538712,0.0246069842,0.0253424705,0.0686787431,0.0336577304,0.2202029771
4197223,year02,0,0,0,0,0,0,0,0.0985677911,0,0,0,0.0386281596,0.0390179411,0.0226499759,0.0138010299,1.2864029383,24.943152175,0.0244728479,0.0753812699,0.0246584468,0.0265111003,0.0736251088,0.0347810922,0.2291529423
4197223,year03,0,0,0,0,0,0,0,0,0.1018816489,0,0,0.0399487947,0.0403152275,0.0240654356,0.014289448,1.3604144931,26.730501334,0.0266002069,0.0772606078,0.0246665474,0.0275277249,0.078528589,0.0358596624,0.2380845621
4197223,year04,0,0,0,0,0,0,0,0,0,0.1050199144,0,0.0412284503,0.0414197673,0.0255873943,0.0147723864,1.4343691055,28.547838654,0.0285472085,0.0795533142,0.0249467326,0.0283465996,0.0844727573,0.0368658039,0.2498518663
4197223,year05,0,0,0,0,0,0,0,0,0,0,0.1076945399,0.0423122622,0.0423761139,0.0269694986,0.0151576411,1.5096693695,30.451689367,0.0298826152,0.0814026322,0.0250501343,0.0286606168,0.0898784744,0.0374935999,0.259936153
4197223,gender,0.0280869041,0.0296550838,0.0312235018,0.032725209,0.0342507415,0.0357381535,0.0371767238,0.0386281596,0.0399487947,0.0412284503,0.0423122622,0.3909739845,0.1353070828,0.1158863849,0.075534943,4.8560162279,90.564179459,0.0275860968,0.227056318,0.050964888,0.0169042722,0.2533425077,0.0492270723,1.1816934673
4197223,dummy_educ2,0.027859611,0.0295700276,0.031324521,0.0329634618,0.0346100267,0.036141039,0.0376005754,0.0390179411,0.0403152275,0.0414197673,0.0423761139,0.1353070828,0.3931983123,0,0,4.6854575037,85.031266149,0.0610918219,0.395065261,0.1168308189,0.103394554,0.3561371412,0.1567210034,0.7163262471
4197223,dummy_educ3,0.014070732,0.0151531143,0.0162569394,0.0173750597,0.0185951521,0.0198874351,0.0212066407,0.0226499759,0.0240654356,0.0255873943,0.0269694986,0.1158863849,0,0.2218173778,0,2.3359535579,39.936711011,0.0165337891,0.1240110425,0.0645143229,0.0267357727,0.2113842891,0.0769187151,0.6313631656
4197223,dummy_educ4,0.0103639954,0.0108428835,0.0113093824,0.0117789786,0.0122759739,0.0127889321,0.0133030816,0.0138010299,0.014289448,0.0147723864,0.0151576411,0.075534943,0,0,0.140683733,1.8746983422,36.499461906,0.0085361202,0.0548300626,0.0434939959,0.0134122014,0.0586594994,0.0401351084,0.5793842738
4197223,age,0.8077840992,0.8702835184,0.934334678,1.0021068692,1.0709411914,1.1407373399,1.2113907219,1.2864029383,1.3604144931,1.4343691055,1.5096693695,4.8560162279,4.6854575037,2.3359535579,1.8746983422,240.22674683,5458.2295453,3.0818970067,9.784251635,3.61220669,3.7082849779,7.7320897651,5.4425433197,35.211246579
4197223,age_2,14.176980828,15.508018993,16.884854343,18.387809273,19.933408589,21.518272677,23.144220595,24.943152175,26.730501334,28.547838654,30.451689367,90.564179459,85.031266149,39.936711011,36.499461906,5458.2295453,137553.07444,60.9842858,178.01458536,66.849785441,73.639339392,132.17799316,109.70487725,716.9596569
4197223,exper1,0.0108502693,0.0126219169,0.0143232799,0.0161849871,0.0181348477,0.0202443377,0.0223778913,0.0244728479,0.0266002069,0.0285472085,0.0298826152,0.0275860968,0.0610918219,0.0165337891,0.0085361202,3.0818970067,60.9842858,1.1302742313,0.0858489053,0.0207198903,0.0320743025,0.0390181794,0.0192725047,0.0832221686
4197223,exper2,0.0640099418,0.0665411392,0.0688476643,0.0706212179,0.0714191264,0.0721872533,0.0735538712,0.0753812699,0.0772606078,0.0795533142,0.0814026322,0.227056318,0.395065261,0.1240110425,0.0548300626,9.784251635,178.01458536,0.0858489053,4.6144872455,0.1566102158,0.0866213208,0.2552120771,0.0775934469,0.3507118874
4197223,exper3,0.0250787247,0.0254839926,0.0256343301,0.0256538669,0.0252993467,0.0248516698,0.0246069842,0.0246584468,0.0246665474,0.0249467326,0.0250501343,0.050964888,0.1168308189,0.0645143229,0.0434939959,3.61220669,66.849785441,0.0207198903,0.1566102158,1.6212755434,0.0275575065,0.0765937383,0.0273621392,0.1390872012
4197223,exper4,0.0183497517,0.019536727,0.0208942913,0.0220907967,0.0234042842,0.0243646811,0.0253424705,0.0265111003,0.0275277249,0.0283465996,0.0286606168,0.0169042722,0.103394554,0.0267357727,0.0134122014,3.7082849779,73.639339392,0.0320743025,0.0866213208,0.0275575065,1.1613836101,0.0701532894,0.0419839499,0.2070966923
4197223,exper5,0.0463106201,0.0499063309,0.0535542191,0.05731218,0.0608688173,0.064539816,0.0686787431,0.0736251088,0.078528589,0.0844727573,0.0898784744,0.2533425077,0.3561371412,0.2113842891,0.0586594994,7.7320897651,132.17799316,0.0390181794,0.2552120771,0.0765937383,0.0701532894,3.8386020948,0.104734964,0.4401419701
4197223,exper6,0.0262973876,0.02773429,0.0291966855,0.030486586,0.0316011325,0.0326542097,0.0336577304,0.0347810922,0.0358596624,0.0368658039,0.0374935999,0.0492270723,0.1567210034,0.0769187151,0.0401351084,5.4425433197,109.70487725,0.0192725047,0.0775934469,0.0273621392,0.0419839499,0.104734964,2.2171821702,0.1856243998
4197223,exper7,0.1697622452,0.1788954268,0.1876452597,0.1957720617,0.2036961105,0.2119146398,0.2202029771,0.2291529423,0.2380845621,0.2498518663,0.259936153,1.1816934673,0.7163262471,0.6313631656,0.5793842738,35.211246579,716.9596569,0.0832221686,0.3507118874,0.1390872012,0.2070966923,0.4401419701,0.1856243998,15.672444376
