Nobs,_NAME_,year95,year96,year97,year98,year99,year00,year01,year02,year03,year04,year05,gender,dummy_educ2,dummy_educ3,dummy_educ4,age,age_2,exper1,exper2,exper3,exper4,exper5,exper6,exper7
115689,year95,0.0836639611,0,0,0,0,0,0,0,0,0,0,0.0141932249,0.0352237464,0.0170370562,0.0128707137,0.9376172324,15.765941446,0.0057741013,0.0635929086,0.5107745767,0.0069583106,0.0244880671,0.006111212,0.0402717631
115689,year96,0,0.096586538,0,0,0,0,0,0,0,0,0,0.016734521,0.0411620811,0.0198290244,0.0148588025,1.0911581914,18.608830572,0.0066557754,0.081381981,0.5541149115,0.0089550433,0.0298040436,0.0071139002,0.0494169714
115689,year97,0,0,0.0938032138,0,0,0,0,0,0,0,0,0.016924686,0.039260431,0.0196647909,0.0147464322,1.0770686928,18.655196259,0.0066039122,0.0731443785,0.5380459681,0.0085142062,0.0287494922,0.0073559284,0.0457087536
115689,year98,0,0,0,0.0915990284,0,0,0,0,0,0,0,0.0166653701,0.0386121412,0.0198808876,0.0145649111,1.058095411,18.359463735,0.0069496668,0.0690817623,0.5230488638,0.0083153973,0.0270812264,0.0075547373,0.0423895098
115689,year99,0,0,0,0,0.0863522029,0,0,0,0,0,0,0.0158701346,0.0367882858,0.0200278332,0.0143315268,0.9992739154,17.341674662,0.0061890067,0.0617949848,0.4974025188,0.0075633811,0.0258797293,0.0060766365,0.0390356905
115689,year00,0,0,0,0,0,0.0825316149,0,0,0,0,0,0.0157404766,0.0343852916,0.0206934108,0.0144698286,0.9562188281,16.650606367,0.0059469785,0.0541970282,0.4707621295,0.0074855864,0.0251277131,0.0054888537,0.0368055736
115689,year01,0,0,0,0,0,0,0.0860410238,0,0,0,0,0.0171321388,0.035569501,0.0230704734,0.0149106657,1.0037082177,17.608709558,0.0055493608,0.0566432418,0.4828981148,0.008782166,0.0259575241,0.0061371435,0.0381713041
115689,year02,0,0,0,0,0,0,0,0.0900777083,0,0,0,0.0176507706,0.0373674247,0.0247473831,0.0155330239,1.0644313634,18.945094175,0.0067335702,0.0560035958,0.4994338269,0.0115309148,0.0279542567,0.0070793247,0.0422944273
115689,year03,0,0,0,0,0,0,0,0,0.0909593825,0,0,0.0178582233,0.0371772597,0.0259575241,0.0156367503,1.0806731841,19.372507326,0.0097070594,0.0534190805,0.5063834937,0.0101133211,0.0260353188,0.0071225441,0.0409459845
115689,year04,0,0,0,0,0,0,0,0,0,0.0946243809,0,0.0186880343,0.0382058796,0.028377806,0.0161380944,1.122933036,20.221135977,0.0102256913,0.0546032899,0.5278289206,0.0114099007,0.0286371219,0.0080128621,0.0434699928
115689,year05,0,0,0,0,0,0,0,0,0,0,0.1037609453,0.0212379742,0.0406693808,0.0333048086,0.0175902636,1.2188539965,22.060489761,0.0134066333,0.0588474272,0.5563968917,0.0127151242,0.0340827564,0.0096551963,0.0523126659
115689,gender,0.0141932249,0.016734521,0.016924686,0.0166653701,0.0158701346,0.0157404766,0.0171321388,0.0176507706,0.0178582233,0.0186880343,0.0212379742,0.1886955545,0.0701536015,0.0597982522,0.0381540164,1.859571783,29.409935257,0.0064051033,0.1080742335,0.9684498958,0.0049529342,0.0740433403,0.0076411759,0.1134074977
115689,dummy_educ2,0.0352237464,0.0411620811,0.039260431,0.0386121412,0.0367882858,0.0343852916,0.035569501,0.0373674247,0.0371772597,0.0382058796,0.0406693808,0.0701536015,0.414421423,0,0,4.7542117228,80.992246454,0.0268219105,0.3318120132,2.3126312787,0.051093881,0.1314731738,0.0373242054,0.1737416695
115689,dummy_educ3,0.0170370562,0.0198290244,0.0196647909,0.0198808876,0.0200278332,0.0206934108,0.0230704734,0.0247473831,0.0259575241,0.028377806,0.0333048086,0.0597982522,0,0.2525909983,0,2.3356153135,35.673841074,0.0120149712,0.165815246,1.399977526,0.0204600265,0.0978571861,0.019344968,0.1375930296
115689,dummy_educ4,0.0128707137,0.0148588025,0.0147464322,0.0145649111,0.0143315268,0.0144698286,0.0149106657,0.0155330239,0.0156367503,0.0161380944,0.0175902636,0.0381540164,0,0,0.1656510126,1.9334076706,33.58236306,0.0074769425,0.0789098359,0.9742585726,0.0074942302,0.0511111687,0.010752967,0.1092930184
115689,age,0.9376172324,1.0911581914,1.0770686928,1.058095411,0.9992739154,0.9562188281,1.0037082177,1.0644313634,1.0806731841,1.122933036,1.2188539965,1.859571783,4.7542117228,2.3356153135,1.9334076706,203.58964984,4285.7336739,0.9827641349,6.9537553268,73.754972383,1.1518294738,2.5408206485,0.7996784483,4.6824417187
115689,age_2,15.765941446,18.608830572,18.655196259,18.359463735,17.341674662,16.650606367,17.608709558,18.945094175,19.372507326,20.221135977,22.060489761,29.409935257,80.992246454,35.673841074,33.58236306,4285.7336739,100801.68928,17.960195006,109.67091945,1343.5654643,19.98029199,36.736223842,12.603410869,74.098064639
115689,exper1,0.0057741013,0.0066557754,0.0066039122,0.0069496668,0.0061890067,0.0059469785,0.0055493608,0.0067335702,0.0097070594,0.0102256913,0.0134066333,0.0064051033,0.0268219105,0.0120149712,0.0074769425,0.9827641349,17.960195006,0.3189412995,0.0345408812,0.2193553406,0.0087303028,0.0140203477,0.0042700689,0.0249116165
115689,exper2,0.0635929086,0.081381981,0.0731443785,0.0690817623,0.0617949848,0.0541970282,0.0566432418,0.0560035958,0.0534190805,0.0546032899,0.0588474272,0.1080742335,0.3318120132,0.165815246,0.0789098359,6.9537553268,109.67091945,0.0345408812,2.8251951352,2.128975097,0.0491317238,0.1274537769,0.0286630535,0.2110658749
115689,exper3,0.5107745767,0.5541149115,0.5380459681,0.5230488638,0.4974025188,0.4707621295,0.4828981148,0.4994338269,0.5063834937,0.5278289206,0.5563968917,0.9684498958,2.3126312787,1.399977526,0.9742585726,73.754972383,1343.5654643,0.2193553406,2.128975097,40.978710163,0.2784880153,0.8949078996,0.2119389052,1.4878683367
115689,exper4,0.0069583106,0.0089550433,0.0085142062,0.0083153973,0.0075633811,0.0074855864,0.008782166,0.0115309148,0.0101133211,0.0114099007,0.0127151242,0.0049529342,0.051093881,0.0204600265,0.0074942302,1.1518294738,19.98029199,0.0087303028,0.0491317238,0.2784880153,0.3097615158,0.023035898,0.0106838161,0.0562369802
115689,exper5,0.0244880671,0.0298040436,0.0287494922,0.0270812264,0.0258797293,0.0251277131,0.0259575241,0.0279542567,0.0260353188,0.0286371219,0.0340827564,0.0740433403,0.1314731738,0.0978571861,0.0511111687,2.5408206485,36.736223842,0.0140203477,0.1274537769,0.8949078996,0.023035898,1.058665906,0.0274356248,0.1471963627
115689,exper6,0.006111212,0.0071139002,0.0073559284,0.0075547373,0.0060766365,0.0054888537,0.0061371435,0.0070793247,0.0071225441,0.0080128621,0.0096551963,0.0076411759,0.0373242054,0.019344968,0.010752967,0.7996784483,12.603410869,0.0042700689,0.0286630535,0.2119389052,0.0106838161,0.0274356248,0.2699478775,0.0369525193
115689,exper7,0.0402717631,0.0494169714,0.0457087536,0.0423895098,0.0390356905,0.0368055736,0.0381713041,0.0422944273,0.0409459845,0.0434699928,0.0523126659,0.1134074977,0.1737416695,0.1375930296,0.1092930184,4.6824417187,74.098064639,0.0249116165,0.2110658749,1.4878683367,0.0562369802,0.1471963627,0.0369525193,1.6022871665
