Nobs,_NAME_,year95,year96,year97,year98,year99,year00,year01,year02,year03,year04,year05,gender,dummy_educ2,dummy_educ3,dummy_educ4,age,age_2,exper1,exper2,exper3,exper4,exper5,exper6,exper7
359593,year95,0.0635802143,0,0,0,0,0,0,0,0,0,0,0.0206594678,0.0324644807,0.0148862742,0.0047164433,0.6057459405,9.9444928016,0.003840453,0.0386909645,0.0132427494,0.0079228461,0.2693600821,0.0120413912,0.0495838351
359593,year96,0,0.0683995517,0,0,0,0,0,0,0,0,0,0.02274794,0.0347531793,0.0168273576,0.0051141151,0.6562307943,10.833503433,0.004157478,0.039953503,0.0133428626,0.0083344225,0.2888293154,0.0121275998,0.0515888797
359593,year97,0,0,0.0733245642,0,0,0,0,0,0,0,0,0.0245666629,0.0375952813,0.0186377377,0.005367179,0.7011426808,11.53825575,0.0047525953,0.040912921,0.0133067106,0.0087209707,0.3032622993,0.0124529677,0.0528736655
359593,year98,0,0,0,0.0763668926,0,0,0,0,0,0,0,0.0258180777,0.0393277956,0.0199280854,0.0057175751,0.7306760699,12.002892159,0.0051029914,0.0401592912,0.0130397422,0.0090129674,0.3154955742,0.0123139216,0.0522729864
359593,year99,0,0,0,0,0.0808358338,0,0,0,0,0,0,0.0278425887,0.0415330666,0.0218691688,0.0060512858,0.7691000659,12.567661217,0.0053226843,0.0398561707,0.0122555222,0.0093272116,0.3269056962,0.0118661932,0.0520560745
359593,year00,0,0,0,0,0,0.0852519376,0,0,0,0,0,0.0297363964,0.0436604717,0.0242551996,0.0061263706,0.8166844182,13.376139135,0.0055173488,0.0404429452,0.0115185779,0.0098055301,0.3407602484,0.0124084729,0.0523202621
359593,year01,0,0,0,0,0,0,0.0942343149,0,0,0,0,0.0333376901,0.0476594372,0.0280344723,0.0069411807,0.9094893393,14.977393887,0.0067381734,0.0427538912,0.0114768641,0.0110374785,0.378594689,0.0136181739,0.0590528737
359593,year02,0,0,0,0,0,0,0,0.100950241,0,0,0,0.0362409724,0.0504153307,0.0315690239,0.0073805664,0.9797771369,16.222404218,0.0068521912,0.0436326625,0.0119718682,0.0114129029,0.4085646828,0.0134791278,0.0601541187
359593,year03,0,0,0,0,0,0,0,0,0.1082557224,0,0,0.0397699622,0.0529543122,0.0355373992,0.0079228461,1.0560161071,17.521664771,0.0078227329,0.0442361225,0.0123500736,0.0122026847,0.44303977,0.013932418,0.0639751052
359593,year04,0,0,0,0,0,0,0,0,0,0.1190540417,0,0.0442778363,0.0569338113,0.0409685394,0.0087599036,1.1610153702,19.306279599,0.0086653522,0.0475454194,0.0127533072,0.0136459831,0.487470557,0.0149557972,0.0731799562
359593,year05,0,0,0,0,0,0,0,0,0,0,0.1297466858,0.0488329862,0.0608076353,0.0464191461,0.0096192084,1.2812262753,21.50748207,0.0088822641,0.049514312,0.0123278262,0.0147027334,0.5327411824,0.016101537,0.0812946859
359593,gender,0.0206594678,0.02274794,0.0245666629,0.0258180777,0.0278425887,0.0297363964,0.0333376901,0.0362409724,0.0397699622,0.0442778363,0.0488329862,0.3538305807,0.1462125236,0.147372168,0.0337603902,3.0970096748,47.982449603,0.007747648,0.132085441,0.0288214732,0.009455134,1.4064845534,0.0160264521,0.2383778327
359593,dummy_educ2,0.0324644807,0.0347531793,0.0375952813,0.0393277956,0.0415330666,0.0436604717,0.0476594372,0.0504153307,0.0529543122,0.0569338113,0.0608076353,0.1462125236,0.4981048018,0,0,4.9228377638,80.721682569,0.0332848526,0.2627359265,0.0644228336,0.0620507073,2.0327842867,0.0844816223,0.2782590317
359593,dummy_educ3,0.0148862742,0.0168273576,0.0186377377,0.0199280854,0.0218691688,0.0242551996,0.0280344723,0.0315690239,0.0355373992,0.0409685394,0.0464191461,0.147372168,0,0.2989324041,0,2.3041466324,33.262913905,0.0089601299,0.1040092549,0.036752662,0.020297948,1.2643266137,0.0319972858,0.2169174595
