_RMSE_,year95,year96,year97,year98,year99,year00,year01,year02,year03,year04,year05,gender,dummy_educ2,dummy_educ3,dummy_educ4,age,age_2,exper1,exper2,exper3,exper4,exper5,exper6,exper7
0.42894476,0.6633673754,0.6623232173,0.6716113987,0.6848042538,0.6906298948,0.6871703676,0.6818509094,0.6754348999,0.6727535746,0.6607155138,0.646251961,-0.002594546,-0.005384767,-0.028168001,-0.040086682,0.0110108033,-0.000126617,-0.079360587,-0.068878215,-0.069790307,-0.064094567,-0.065901726,-0.072723833,-0.077892616
0.42894476,1.0408065E-6,4.3914678E-7,4.4252977E-7,4.4598012E-7,4.4885709E-7,4.5185954E-7,4.5527196E-7,4.5894793E-7,4.6294981E-7,4.6749495E-7,4.7196709E-7,-7.460446E-8,-1.951226E-7,-1.982876E-7,-1.808637E-7,-3.063741E-8,7.844208E-10,-3.400308E-8,-2.070012E-8,-1.634609E-8,-3.370197E-8,-1.789844E-8,-1.462799E-8,-1.044403E-8
0.42894476,4.3914678E-7,1.0176681E-6,4.4640045E-7,4.4994143E-7,4.5290945E-7,4.560028E-7,4.5950429E-7,4.632714E-7,4.6736407E-7,4.7199583E-7,4.7655892E-7,-7.467445E-8,-1.975264E-7,-2.016141E-7,-1.82735E-7,-3.084489E-8,7.854773E-10,-3.476127E-8,-2.059042E-8,-1.594565E-8,-3.386147E-8,-1.806285E-8,-1.453158E-8,-1.033296E-8
0.42894476,4.4252977E-7,4.4640045E-7,9.9683427E-7,4.5357916E-7,4.5663823E-7,4.5982167E-7,4.6341036E-7,4.6726569E-7,4.7144569E-7,4.761585E-7,4.80808E-7,-7.468519E-8,-1.999E-7,-2.048742E-7,-1.845816E-7,-3.104686E-8,7.864378E-10,-3.53831E-8,-2.043172E-8,-1.546041E-8,-3.405098E-8,-1.818371E-8,-1.440959E-8,-1.017812E-8
0.42894476,4.4598012E-7,4.4994143E-7,4.5357916E-7,9.7977262E-7,4.6046853E-7,4.6375224E-7,4.6743744E-7,4.7138953E-7,4.7566523E-7,4.8046568E-7,4.8521083E-7,-7.458286E-8,-2.021563E-7,-2.082246E-7,-1.865763E-7,-3.129366E-8,7.879776E-10,-3.599811E-8,-2.020548E-8,-1.494487E-8,-3.411596E-8,-1.829656E-8,-1.420976E-8,-9.966627E-9
0.42894476,4.4885709E-7,4.5290945E-7,4.5663823E-7,4.6046853E-7,9.6355769E-7,4.6712397E-7,4.7090759E-7,4.7495604E-7,4.7932582E-7,4.8420815E-7,4.8904419E-7,-7.433613E-8,-2.045464E-7,-2.118819E-7,-1.888496E-7,-3.15052E-8,7.885227E-10,-3.6546E-8,-1.982486E-8,-1.428726E-8,-3.415657E-8,-1.829408E-8,-1.391138E-8,-9.687641E-9
0.42894476,4.5185954E-7,4.560028E-7,4.5982167E-7,4.6375224E-7,4.6712397E-7,9.5022663E-7,4.7449937E-7,4.7864512E-7,4.8311055E-7,4.8807851E-7,4.930088E-7,-7.402417E-8,-2.068023E-7,-2.156175E-7,-1.911703E-7,-3.1724E-8,7.893212E-10,-3.714754E-8,-1.949448E-8,-1.366358E-8,-3.406813E-8,-1.832715E-8,-1.362981E-8,-9.44641E-9
0.42894476,4.5527196E-7,4.5950429E-7,4.6341036E-7,4.6743744E-7,4.7090759E-7,4.7449937E-7,9.4001836E-7,4.8272121E-7,4.8728356E-7,4.9234302E-7,4.973714E-7,-7.380064E-8,-2.089511E-7,-2.192974E-7,-1.934816E-7,-3.193293E-8,7.898639E-10,-3.779408E-8,-1.931608E-8,-1.31976E-8,-3.407643E-8,-1.848393E-8,-1.341305E-8,-9.276142E-9
0.42894476,4.5894793E-7,4.632714E-7,4.6726569E-7,4.7138953E-7,4.7495604E-7,4.7864512E-7,4.8272121E-7,9.3180863E-7,4.9173557E-7,4.9689932E-7,5.0203606E-7,-7.371446E-8,-2.110344E-7,-2.230961E-7,-1.956817E-7,-3.205633E-8,7.872783E-10,-3.847137E-8,-1.927013E-8,-1.291125E-8,-3.425191E-8,-1.879963E-8,-1.329734E-8,-9.193454E-9
0.42894476,4.6294981E-7,4.6736407E-7,4.7144569E-7,4.7566523E-7,4.7932582E-7,4.8311055E-7,4.8728356E-7,4.9173557E-7,9.2677993E-7,5.0177629E-7,5.0702302E-7,-7.357333E-8,-2.131003E-7,-2.268731E-7,-1.979384E-7,-3.221771E-8,7.859533E-10,-3.917564E-8,-1.927666E-8,-1.266238E-8,-3.441243E-8,-1.913911E-8,-1.321025E-8,-9.148256E-9
0.42894476,4.6749495E-7,4.7199583E-7,4.761585E-7,4.8046568E-7,4.8420815E-7,4.8807851E-7,4.9234302E-7,4.9689932E-7,5.0177629E-7,9.2458134E-7,5.1253055E-7,-7.350277E-8,-2.148506E-7,-2.304931E-7,-1.998156E-7,-3.23353E-8,7.835892E-10,-3.993727E-8,-1.946746E-8,-1.263402E-8,-3.466188E-8,-1.973052E-8,-1.325211E-8,-9.328655E-9
0.42894476,4.7196709E-7,4.7655892E-7,4.80808E-7,4.8521083E-7,4.8904419E-7,4.930088E-7,4.973714E-7,5.0203606E-7,5.0702302E-7,5.1253055E-7,9.2506943E-7,-7.325893E-8,-2.165791E-7,-2.340248E-7,-2.015696E-7,-3.254029E-8,7.828417E-10,-4.038172E-8,-1.95661E-8,-1.250906E-8,-3.465143E-8,-2.020923E-8,-1.315207E-8,-9.394291E-9
0.42894476,-7.460446E-8,-7.467445E-8,-7.468519E-8,-7.458286E-8,-7.433613E-8,-7.402417E-8,-7.380064E-8,-7.371446E-8,-7.357333E-8,-7.350277E-8,-7.325893E-8,2.1081731E-7,-1.304208E-8,-4.467574E-8,-4.21412E-8,-1.495046E-9,4.400688E-11,1.1492217E-8,5.4728564E-9,9.9997672E-9,1.688528E-8,4.6613344E-9,1.1020394E-8,-2.80149E-10
