_RMSE_,lag_sector0,lag_sector1,lag_sector2,lag_sector3,lag_sector4,lag_sector5,lag_sector6,lag_sector7,gender,dummy_educ2,dummy_educ3,dummy_educ4,age,age_2,exper1,exper2,exper3,exper4,exper5,exper6,exper7
1.2085436225,0.8388610426,4.252935866,0.8165367222,0.8623050154,0.7519054458,0.7609112403,0.7551582305,0.7163861193,-0.238133087,-0.440368216,-0.471590381,-0.467006487,0.0079245586,-0.000363651,0.3721365188,-0.04069301,-0.051098171,-0.076022522,-0.036554146,-0.046387439,-0.025430998
1.2085436225,0.0000547917,0.000043464,0.0000505697,0.0000500973,0.000049243,0.0000504855,0.0000497391,0.0000504653,-9.101435E-6,-0.000021083,-0.000020362,-0.00001837,-4.87958E-6,1.6811321E-7,-2.201564E-6,-1.524934E-6,-9.43117E-7,-2.806009E-6,-1.33932E-6,-7.968845E-7,-4.739976E-7
1.2085436225,0.000043464,0.0004667053,0.0000581699,0.0000549174,0.0000574215,0.0000526679,0.0000533566,0.0000512182,-6.971811E-6,-0.000014933,-0.000014356,-0.000012399,-4.748534E-6,1.6464048E-7,-0.000053117,-2.773877E-6,-1.882422E-6,-3.341209E-6,-2.195106E-6,-1.6144E-6,-1.317176E-6
1.2085436225,0.0000505697,0.0000581699,0.0001901939,0.0000776459,0.0000619746,0.0000669416,0.000065764,0.000059994,-0.000010018,-0.000019694,-0.000018418,-0.000016621,-4.518297E-6,1.5668313E-7,-4.516434E-6,-0.000015574,-3.927691E-6,-4.162131E-6,-3.304827E-6,-2.764035E-6,-1.756367E-6
1.2085436225,0.0000500973,0.0000549174,0.0000776459,0.0004236444,0.0000607201,0.0000665211,0.0000653576,0.0000613777,-9.90701E-6,-0.000019401,-0.000018814,-0.000017135,-4.240402E-6,1.4892022E-7,-4.320475E-6,-4.85046E-6,-0.00003643,-4.210559E-6,-3.469369E-6,-2.88615E-6,-2.118224E-6
1.2085436225,0.000049243,0.0000574215,0.0000619746,0.0000607201,0.0003756241,0.0000599275,0.000065673,0.0000603842,-8.855505E-6,-0.000019383,-0.000018393,-0.000016244,-4.43813E-6,1.534113E-7,-4.517615E-6,-3.133436E-6,-2.419658E-6,-0.000036485,-2.727473E-6,-2.839282E-6,-2.016596E-6
1.2085436225,0.0000504855,0.0000526679,0.0000669416,0.0000665211,0.0000599275,0.0002081809,0.0000696013,0.0000618643,-9.580679E-6,-0.000021349,-0.000019943,-0.000017292,-4.376705E-6,1.510034E-7,-3.607997E-6,-3.547252E-6,-2.838788E-6,-4.024659E-6,-0.000017603,-3.198282E-6,-1.956503E-6
1.2085436225,0.0000497391,0.0000533566,0.000065764,0.0000653576,0.000065673,0.0000696013,0.0004082715,0.000063728,-9.06175E-6,-0.000020877,-0.000020221,-0.000017657,-4.373265E-6,1.5419292E-7,-3.949157E-6,-3.619795E-6,-2.919672E-6,-5.173917E-6,-3.880468E-6,-0.000040651,-2.359562E-6
1.2085436225,0.0000504653,0.0000512182,0.000059994,0.0000613777,0.0000603842,0.0000618643,0.000063728,0.0001134079,-0.000011759,-0.000020554,-0.000019739,-0.000016844,-4.539105E-6,1.5818E-7,-3.179835E-6,-2.691452E-6,-2.329241E-6,-3.967998E-6,-2.69281E-6,-2.555114E-6,-7.393928E-6
1.2085436225,-9.101435E-6,-6.971811E-6,-0.000010018,-9.90701E-6,-8.855505E-6,-9.580679E-6,-9.06175E-6,-0.000011759,0.0000251759,-2.015736E-6,-5.950916E-6,-5.625393E-6,-2.57576E-7,8.6127774E-9,1.3476107E-6,8.8632236E-7,1.3761094E-6,2.0545396E-6,7.725565E-7,1.413127E-6,4.8067513E-7
1.2085436225,-0.000021083,-0.000014933,-0.000019694,-0.000019401,-0.000019383,-0.000021349,-0.000020877,-0.000020554,-2.015736E-6,0.0000347083,0.0000223528,0.0000218777,1.8540435E-7,3.7337167E-9,4.374963E-7,-4.469879E-7,-7.997025E-7,4.3359806E-7,-8.362936E-7,-5.590437E-7,-4.199253E-7
1.2085436225,-0.000020362,-0.000014356,-0.000018418,-0.000018814,-0.000018393,-0.000019943,-0.000020221,-0.000019739,-5.950916E-6,0.0000223528,0.0000507503,0.0000251071,3.6120221E-7,1.741879E-9,3.1493747E-7,-2.694963E-7,-1.158124E-6,5.1639431E-7,-1.240205E-6,-9.26985E-7,-1.17985E-6
