_RMSE_,year95,year96,year97,year98,year99,year00,year01,year02,year03,year04,year05,gender,dummy_educ2,dummy_educ3,dummy_educ4,age,age_2,exper1,exper2,exper3,exper4,exper5,exper6,exper7
0.048157418,0.0034942161,0.0045709365,0.0036983729,0.0029863977,0.0026607736,0.0033709025,0.0040663739,0.0037333593,0.0044450124,0.0043120959,0.0039876396,-0.000920846,0.0001011724,0.0008573667,0.0014787691,-0.000196094,3.6024322E-6,0.001111198,0.0005182262,0.0035665227,0.0006252322,0.0002111778,-0.000143781,9.2354813E-6
0.048157418,4.1053307E-7,2.3008422E-7,2.2970334E-7,2.2927411E-7,2.2847782E-7,2.266248E-7,2.2690695E-7,2.2690132E-7,2.2648378E-7,2.2767437E-7,2.2738299E-7,-1.945595E-8,-6.323831E-8,-5.951904E-8,-5.050699E-8,-8.339964E-9,2.185454E-10,-2.269823E-8,-2.040959E-8,-1.788742E-8,-2.32804E-8,-1.964496E-8,-1.592811E-8,-1.81492E-8
0.048157418,2.3008422E-7,3.789444E-7,2.2661537E-7,2.2623856E-7,2.2546118E-7,2.2368928E-7,2.239651E-7,2.2397211E-7,2.2356376E-7,2.2472717E-7,2.2448648E-7,-1.98129E-8,-6.331E-8,-5.94201E-8,-5.006266E-8,-8.460759E-9,2.186953E-10,-2.195012E-8,-1.989256E-8,-1.767379E-8,-2.298189E-8,-1.924801E-8,-1.517357E-8,-1.817312E-8
0.048157418,2.2970334E-7,2.2661537E-7,3.7025849E-7,2.2598505E-7,2.2523092E-7,2.2350395E-7,2.2379418E-7,2.2381734E-7,2.2343219E-7,2.246031E-7,2.2438708E-7,-2.035945E-8,-6.39465E-8,-6.008424E-8,-5.005759E-8,-8.502369E-9,2.178971E-10,-2.179737E-8,-1.967138E-8,-1.739259E-8,-2.261641E-8,-1.905993E-8,-1.496597E-8,-1.80308E-8
0.048157418,2.2927411E-7,2.2623856E-7,2.2598505E-7,3.6906664E-7,2.2494959E-7,2.2327003E-7,2.2358889E-7,2.2363147E-7,2.2326944E-7,2.2444436E-7,2.2424879E-7,-2.024836E-8,-6.4802E-8,-6.127563E-8,-5.104645E-8,-8.584042E-9,2.196341E-10,-2.178262E-8,-1.939884E-8,-1.729581E-8,-2.202112E-8,-1.902432E-8,-1.472836E-8,-1.781957E-8
0.048157418,2.2847782E-7,2.2546118E-7,2.2523092E-7,2.2494959E-7,3.6829215E-7,2.2266792E-7,2.2301916E-7,2.2309601E-7,2.2277678E-7,2.2396707E-7,2.2379928E-7,-2.018731E-8,-6.558326E-8,-6.278794E-8,-5.240494E-8,-8.624362E-9,2.203109E-10,-2.20226E-8,-1.902664E-8,-1.6617E-8,-2.16692E-8,-1.87946E-8,-1.450526E-8,-1.742017E-8
0.048157418,2.266248E-7,2.2368928E-7,2.2350395E-7,2.2327003E-7,2.2266792E-7,3.6497682E-7,2.2154302E-7,2.2166065E-7,2.2139661E-7,2.2260051E-7,2.224738E-7,-2.038532E-8,-6.66886E-8,-6.424953E-8,-5.354345E-8,-8.69211E-9,2.207738E-10,-2.195259E-8,-1.84226E-8,-1.59315E-8,-2.128181E-8,-1.836063E-8,-1.406985E-8,-1.68025E-8
0.048157418,2.2690695E-7,2.239651E-7,2.2379418E-7,2.2358889E-7,2.2301916E-7,2.2154302E-7,3.6438113E-7,2.2211903E-7,2.2188312E-7,2.231043E-7,2.2299901E-7,-2.009171E-8,-6.772367E-8,-6.586997E-8,-5.499222E-8,-8.670989E-9,2.193608E-10,-2.211119E-8,-1.818E-8,-1.603274E-8,-2.093921E-8,-1.844355E-8,-1.399991E-8,-1.654291E-8
0.048157418,2.2690132E-7,2.2397211E-7,2.2381734E-7,2.2363147E-7,2.2309601E-7,2.2166065E-7,2.2211903E-7,3.6010877E-7,2.2211849E-7,2.2336367E-7,2.2329337E-7,-2.00781E-8,-6.878435E-8,-6.743281E-8,-5.579523E-8,-8.562518E-9,2.15175E-10,-2.291709E-8,-1.792282E-8,-1.575392E-8,-2.118526E-8,-1.854721E-8,-1.39412E-8,-1.641579E-8
0.048157418,2.2648378E-7,2.2356376E-7,2.2343219E-7,2.2326944E-7,2.2277678E-7,2.2139661E-7,2.2188312E-7,2.2211849E-7,3.5734409E-7,2.2322427E-7,2.2318111E-7,-2.023078E-8,-6.948184E-8,-6.865725E-8,-5.627278E-8,-8.580599E-9,2.14823E-10,-2.318054E-8,-1.752945E-8,-1.523396E-8,-2.107287E-8,-1.843071E-8,-1.379639E-8,-1.605564E-8
