_RMSE_,year96,year97,year98,year99,year00,year01,year02,year03,year04,year05,age
0.240832189,0.0629079552,0.1000680741,0.0601893911,-0.023844967,0.118824203,0.0919552003,-0.016493845,0.1155208239,0.1237151479,0.1137178213,-0.001876933
0.240832189,8.5888351E-6,1.6311556E-6,1.6327552E-6,1.6447646E-6,1.6503331E-6,1.6685342E-6,1.6850255E-6,1.6998345E-6,1.70297E-6,1.6888623E-6,-1.353864E-7
0.240832189,1.6311556E-6,8.7918283E-6,1.6320315E-6,1.6440356E-6,1.6496016E-6,1.6677947E-6,1.6842787E-6,1.6990811E-6,1.7022152E-6,1.6881138E-6,-1.353263E-7
0.240832189,1.6327552E-6,1.6320315E-6,9.2113877E-6,1.6456477E-6,1.6512193E-6,1.6694301E-6,1.6859303E-6,1.7007472E-6,1.7038845E-6,1.6897692E-6,-1.35459E-7
0.240832189,1.6447646E-6,1.6440356E-6,1.6456477E-6,9.8004086E-6,1.6633645E-6,1.6817093E-6,1.6983308E-6,1.7132567E-6,1.716417E-6,1.7021979E-6,-1.364554E-7
0.240832189,1.6503331E-6,1.6496016E-6,1.6512193E-6,1.6633645E-6,9.6174876E-6,1.6874029E-6,1.7040807E-6,1.7190572E-6,1.7222282E-6,1.7079609E-6,-1.369174E-7
0.240832189,1.6685342E-6,1.6677947E-6,1.6694301E-6,1.6817093E-6,1.6874029E-6,9.3850997E-6,1.7228745E-6,1.7380162E-6,1.7412221E-6,1.7267976E-6,-1.384274E-7
0.240832189,1.6850255E-6,1.6842787E-6,1.6859303E-6,1.6983308E-6,1.7040807E-6,1.7228745E-6,9.0336835E-6,1.7551942E-6,1.7584319E-6,1.7438647E-6,-1.397956E-7
0.240832189,1.6998345E-6,1.6990811E-6,1.7007472E-6,1.7132567E-6,1.7190572E-6,1.7380162E-6,1.7551942E-6,8.7830904E-6,1.773886E-6,1.7591909E-6,-1.410242E-7
0.240832189,1.70297E-6,1.7022152E-6,1.7038845E-6,1.716417E-6,1.7222282E-6,1.7412221E-6,1.7584319E-6,1.773886E-6,8.4808271E-6,1.7624359E-6,-1.412843E-7
0.240832189,1.6888623E-6,1.6881138E-6,1.6897692E-6,1.7021979E-6,1.7079609E-6,1.7267976E-6,1.7438647E-6,1.7591909E-6,1.7624359E-6,7.8351722E-6,-1.401139E-7
0.240832189,-1.353864E-7,-1.353263E-7,-1.35459E-7,-1.364554E-7,-1.369174E-7,-1.384274E-7,-1.397956E-7,-1.410242E-7,-1.412843E-7,-1.401139E-7,1.1232123E-8
