_RMSE_,year95,year96,year97,year98,year99,year00,year01,year02,year03,year04,year05,gender,dummy_educ2,dummy_educ3,dummy_educ4,age,age_2,exper1,exper2,exper3,exper4,exper5,exper6,exper7
0.5784471588,0.6302151902,0.6625966211,0.6992653545,0.712968644,0.655020359,0.6666703099,0.6583324317,0.5689406145,0.5850689134,0.5963875193,0.6444526549,-0.223858606,0.1236455654,0.2955424224,1.0544572126,0.0143251123,-0.000207528,0.0106209377,0.0426251059,0.1089156402,0.02799045,0.0559041163,0.0560066317,0.0426183662
0.5784471588,0.0000276963,0.0000130916,0.0000130721,0.0000130974,0.0000130363,0.0000130531,0.0000131378,0.0000131739,0.0000132396,0.0000132867,0.0000133298,-1.535741E-6,-7.328759E-6,-7.338956E-6,-6.982872E-6,-4.90721E-7,1.2385419E-8,-1.131191E-6,-7.333664E-7,-6.310146E-7,-1.113101E-6,-5.666665E-7,-7.005179E-7,-6.765648E-7
0.5784471588,0.0000130916,0.0000267292,0.0000131095,0.0000131379,0.000013081,0.0000131012,0.0000131879,0.0000132266,0.000013294,0.0000133423,0.0000133871,-1.543715E-6,-7.407227E-6,-7.463626E-6,-7.084615E-6,-4.94239E-7,1.2418993E-8,-1.131565E-6,-7.147871E-7,-6.008891E-7,-1.103174E-6,-5.575305E-7,-6.746274E-7,-6.574365E-7
0.5784471588,0.0000130721,0.0000131095,0.0000257891,0.0000131312,0.0000130799,0.0000131043,0.0000131924,0.0000132337,0.0000133022,0.0000133512,0.0000133973,-1.528445E-6,-7.507294E-6,-7.589253E-6,-7.174393E-6,-4.991824E-7,1.2543241E-8,-1.137769E-6,-6.887205E-7,-5.644268E-7,-1.083473E-6,-5.392616E-7,-6.48864E-7,-6.29795E-7
0.5784471588,0.0000130974,0.0000131379,0.0000131312,0.0000253514,0.0000131197,0.0000131473,0.000013237,0.0000132806,0.0000133506,0.0000134002,0.0000134475,-1.520401E-6,-7.597447E-6,-7.702504E-6,-7.297286E-6,-5.037299E-7,1.2657331E-8,-1.142948E-6,-6.653268E-7,-5.377622E-7,-1.077053E-6,-5.306648E-7,-6.275033E-7,-6.06097E-7
0.5784471588,0.0000130363,0.000013081,0.0000130799,0.0000131197,0.0000245901,0.0000131113,0.0000132025,0.000013249,0.0000133203,0.0000133706,0.0000134196,-1.514864E-6,-7.662707E-6,-7.805356E-6,-7.384281E-6,-5.096099E-7,1.2824498E-8,-1.127297E-6,-6.340425E-7,-4.899793E-7,-1.056584E-6,-5.100704E-7,-5.891928E-7,-5.72731E-7
0.5784471588,0.0000130531,0.0000131012,0.0000131043,0.0000131473,0.0000131113,0.0000240623,0.0000132405,0.0000132896,0.0000133624,0.0000134138,0.0000134646,-1.510135E-6,-7.739076E-6,-7.938409E-6,-7.443241E-6,-5.158728E-7,1.2954574E-8,-1.118274E-6,-6.160642E-7,-4.523132E-7,-1.048512E-6,-4.970455E-7,-5.775821E-7,-5.498856E-7
0.5784471588,0.0000131378,0.0000131879,0.0000131924,0.000013237,0.0000132025,0.0000132405,0.00002321,0.0000133863,0.0000134609,0.000013514,0.0000135664,-1.517412E-6,-7.800066E-6,-8.054682E-6,-7.541302E-6,-5.176009E-7,1.2944381E-8,-1.150894E-6,-6.071395E-7,-4.288812E-7,-1.058743E-6,-4.977041E-7,-5.771317E-7,-5.538181E-7
0.5784471588,0.0000131739,0.0000132266,0.0000132337,0.0000132806,0.000013249,0.0000132896,0.0000133863,0.0000226569,0.0000135159,0.00001357,0.000013624,-1.517324E-6,-7.855612E-6,-8.173484E-6,-7.61058E-6,-5.19371E-7,1.293607E-8,-1.139232E-6,-5.936874E-7,-4.196291E-7,-1.049417E-6,-4.943745E-7,-5.566574E-7,-5.365616E-7
0.5784471588,0.0000132396,0.000013294,0.0000133022,0.0000133506,0.0000133203,0.0000133624,0.0000134609,0.0000135159,0.0000221896,0.0000136497,0.0000137052,-1.539046E-6,-7.882075E-6,-8.266564E-6,-7.657236E-6,-5.21842E-7,1.2973779E-8,-1.162923E-6,-5.839257E-7,-4.131133E-7,-1.055043E-6,-4.967758E-7,-5.517259E-7,-5.342088E-7
