          Year,            Z1,            Z2,            Z3,            Z4,            Z5,            Z6,            Z7,     RSK_EQ1_0,     RSK_EQ2_0,     RSK_EQ3_0,     RSK_EQ4_0,     RSK_EQ5_0,     RSK_EQ6_0,     RSK_EQ7_0,     RSK_EQ1_1,     RSK_EQ2_1,     RSK_EQ3_1,     RSK_EQ4_1,     RSK_EQ5_1,     RSK_EQ6_1,     RSK_EQ7_1,  SK_SUP_EQ1_0,  SK_SUP_EQ2_0,  SK_SUP_EQ3_0,  SK_SUP_EQ4_0,  SK_SUP_EQ5_0,  SK_SUP_EQ6_0,  SK_SUP_EQ7_0,  SK_SUP_EQ1_1,  SK_SUP_EQ2_1,  SK_SUP_EQ3_1,  SK_SUP_EQ4_1,  SK_SUP_EQ5_1,  SK_SUP_EQ6_1,  SK_SUP_EQ7_1,       CAPSIM1,       CAPSIM2,       CAPSIM3,       CAPSIM4,       CAPSIM5,       CAPSIM6,       CAPSIM7,       CAPDATA,
 1995,          0.65913498,          3.06043839,          6.22612575,          1.14954017,          2.29300154,          5.62330023,          3.39086104,          1.65188812,          1.83517170,          2.29487537,          1.75789301,          1.62332150,          2.21336886,          1.85010603,          2.59155318,          3.52403594,          4.53710034,          3.41747737,          3.51697473,          4.06310356,          3.75575626,       9339.93757010,      35445.40393497,      11940.44911085,      11607.51425061,      21422.63776699,      19006.46924838,      54696.98933726,       2837.02894951,      11743.11767994,       9829.25015916,       2590.26244919,      10208.03255252,      10061.89409856,      89279.82865396,     560735.68726512,     391822.92677997,     139755.30047995,     372026.08337698,     717612.35065317,     139574.11701589,    1806063.95615141,       4094.90316900,
 1996,          0.64160735,          2.91655701,          5.75185772,          1.14212271,          2.30296807,          5.26539524,          3.68898382,          1.56929951,          1.80649922,          2.13656167,          1.76069341,          1.56355534,          2.16347304,          1.95605751,          2.57975501,          3.44155183,          4.27113821,          3.48338158,          3.43203180,          4.05481542,          3.97038861,      10474.79554899,      36005.75578612,      11734.15968496,      13262.97489101,      22593.56285085,      20042.20290464,      61873.22096011,       3012.69921067,      12316.61122388,       9549.33242716,       2854.11402328,      10432.88289830,      10788.40873985,     101169.13573272,     603740.52120445,     423920.29518403,     145454.18521630,     425781.34637018,     687677.13235551,     209962.13042508,    1994625.37750226,       4192.71361000,
 1997,          0.62806891,          2.80930552,          5.88275869,          1.14651591,          2.36449004,          4.92845752,          3.90366010,          1.53192030,          1.79869225,          2.29100887,          1.82196926,          1.61695374,          2.12367430,          1.98204327,          2.50198418,          3.42639733,          4.53790934,          3.51430499,          3.39537392,          4.10578307,          4.03272996,      10986.79728808,      35690.33297720,      11847.54162638,      14413.04044590,      23280.37698031,      21187.09947546,      66636.60129486,       3178.65586876,      12509.56974697,       9894.11618881,       3133.24169971,      11304.12547406,      11424.77204346,     108834.28406059,     624528.73388104,     450389.36294714,     197009.21239725,     478336.79686653,     708520.63114930,     299091.51837476,    1983967.08917103,       4315.39367800,
 1998,          0.59366598,          2.58512592,          5.33408891,          1.10538665,          2.32431127,          4.46141157,          4.00145692,          1.41237108,          1.69853476,          2.13961140,          1.78277878,          1.55225390,          2.06522295,          1.94700617,          2.44669566,          3.25836283,          4.17070966,          3.44467344,          3.26021663,          4.01447974,          3.97891912,      12034.23694091,      35012.19938981,      11697.33038334,      15392.46478889,      24292.65334413,      21503.48817014,      71254.32135950,       3251.10629802,      12489.23889552,      10151.72289799,       3280.91148173,      11644.52732933,      12141.37907146,     115973.49092066,     657879.84361618,     463678.99123049,     213071.94526106,     516112.18577837,     698790.81023230,     409853.71956132,    1960221.82503743,       4429.94490200,
 1999,          0.56222521,          2.41401775,          5.07085977,          1.03798063,          2.28827069,          3.88856063,          4.00150596,          1.36804915,          1.64215210,          2.09754311,          1.64974811,          1.49634171,          1.92772964,          1.84555185,          2.30987762,          3.18785031,          4.14429911,          3.18816803,          3.17324041,          3.73056770,          3.81736412,      12453.27445701,      35092.11743373,      11774.23070723,      15042.10825562,      25814.65000035,      20587.91339292,      75687.02715576,       3458.46190615,      12684.10463556,      10061.14920983,       3148.13474425,      12054.58281503,      12399.56912572,     121697.42703602,     696945.48283763,     502414.06148744,     256475.57130645,     482349.25522594,     711403.12549622,     485549.88778494,    1851058.03202952,       4511.93082300,
 2000,          0.56263937,          2.37384235,          5.06367090,          1.03575297,          2.37204487,          3.65115724,          4.08166607,          1.42734323,          1.68348210,          2.20153884,          1.66903086,          1.54421743,          1.95871032,          1.80552690,          2.37393464,          3.28397726,          4.31404935,          3.11900804,          3.22412132,          3.85264071,          3.69515690,      13629.52546459,      36941.30363044,      11789.36317128,      15221.04762410,      28192.19393280,      21047.80686879,      77425.37791503,       3844.32476795,      13645.01603777,      10324.01851572,       3243.98647560,      13294.84482586,      13102.88361369,     126173.67685929,     805157.39857469,     577940.53790887,     315941.60357648,     488466.04197554,     766365.96784514,     639106.84348270,    1644883.75162804,       4603.63693900,
 2001,          0.53985624,          2.21368359,          4.67505829,          1.00386365,          2.35412450,          3.18495296,          4.16490736,          1.37504990,          1.62307878,          2.09660369,          1.62077591,          1.49990571,          1.81853928,          1.78087896,          2.32010019,          3.16500247,          4.06993941,          3.10452391,          3.12618681,          3.56464485,          3.62734852,      14413.40119357,      37269.69851658,      11532.72431610,      15110.29722449,      29950.30168989,      19823.20257117,      80527.30925357,       3992.77952286,      14160.78373994,      10373.47663906,       3076.68775161,      13987.13621663,      13210.84131727,     132120.61491596,     851824.12520676,     617087.96462726,     334852.13856523,     480797.77625939,     771441.65388608,     693397.34715968,    1546651.75563219,       4701.79981100,
 2002,          0.52977463,          2.04764198,          4.37366364,          0.97604229,          2.31534987,          2.88391863,          4.20919506,          1.32126394,          1.52366639,          1.98738860,          1.53782577,          1.41861662,          1.75529136,          1.72965551,          2.30101087,          2.93781907,          3.87184067,          2.90125129,          2.86760618,          3.44627415,          3.50159123,      16226.06538378,      37419.78908950,      11499.21965674,      15716.57029582,      30778.13540857,      18668.88203427,      83702.87641754,       4328.62273120,      14813.15380269,      10375.29769409,       3192.09993326,      14832.87614878,      13247.94392476,     138465.64719498,     925999.23985491,     617464.19517015,     337827.86097493,     468573.79022963,     694276.54910371,     755356.14858438,    1373000.29264969,       4781.62880100,
 2003,          0.52451785,          1.98646781,          4.34488324,          0.96385010,          2.39813371,          2.61602644,          4.31314558,          1.39037840,          1.54085843,          2.08136359,          1.54809276,          1.46350223,          1.72264459,          1.71247081,          2.33569075,          3.01157239,          4.08452391,          2.81768655,          2.98340615,          3.36618836,          3.46169691,      17440.27515260,      38305.17113969,      12264.90051762,      14477.34677379,      33026.34638946,      17511.02913030,      86914.42531012,       4838.54513698,      15400.06561923,      11027.49748014,       2998.93160646,      15539.94199361,      13414.20455071,     144204.79220923,    1078742.01608554,     689696.03314832,     443389.15064917,     436357.18561556,     749126.07317788,     848644.92302124,    1248691.58655781,       4848.95919100,
 2004,          0.52104858,          1.98506443,          4.22961537,          0.98609799,          2.48088529,          2.46456230,          4.44444855,          1.33846366,          1.63702554,          2.08165071,          1.61858180,          1.50508900,          1.77676070,          1.69910891,          2.28406121,          3.13207775,          4.10027711,          2.94819149,          2.96114663,          3.46948722,          3.43989770,      18551.46065544,      40690.07547761,      12717.68972747,      16028.88753623,      36262.39747525,      16755.99260543,      90702.38356373,       5046.54223147,      17268.34364562,      11471.13285752,       3252.67686163,      17734.83901730,      13813.92736359,     150421.08188957,    1089987.38753864,     818473.77013247,     491938.45854203,     494178.15126478,     792131.89059999,    1002076.97854523,    1098426.41698639,       4940.39477600,
