ano,sector,educ_new,hourly_wage,rwage_corr,cellsize1,cellsize2
1995,1,1,15614.115401,2942192.4959,6408,6454
1995,1,2,8445.6574133,1525897.3157,2143,2162
1995,1,3,7395.8375639,1245077.5418,600,608
1995,1,4,8440.3215971,1497289.346,357,360
1995,2,1,42380.625816,7967863.9652,9797,9871
1995,2,2,70659.934635,13272693.151,13779,13876
1995,2,3,30631.463355,5662539.9535,3552,3569
1995,2,4,38866.031048,7053454.5398,1886,1901
1995,3,1,16625.219999,3182089.6384,2315,2342
1995,3,2,39026.139174,7357568.8455,4493,4527
1995,3,3,28356.398427,5246131.2882,2110,2144
1995,3,4,44097.986224,8167034.0126,1626,1647
1995,4,1,20296.398595,3822759.7572,5469,5502
1995,4,2,16003.416093,3066812.8377,3541,3570
1995,4,3,5606.2664297,1053703.2124,783,796
1995,4,4,9296.1558315,1745583.223,483,485
1995,5,1,14290.65504,2673616.3731,4140,4165
1995,5,2,46023.56272,8708355.2948,11674,11772
1995,5,3,28070.749173,5312286.3176,5353,5413
1995,5,4,26322.892636,4286768.0992,1696,1710
1995,6,1,26527.83043,4622729.0708,3935,3959
1995,6,2,44422.007606,7869346.6719,6315,6375
1995,6,3,35925.582915,6159416.8952,2848,2866
1995,6,4,39679.49244,6874612.0202,1629,1642
1995,7,1,79748.129499,12737124.749,18735,19035
1995,7,2,152150.08417,24086235.021,26934,27312
1995,7,3,196536.36095,29193085.901,21333,21743
1995,7,4,403085.94154,59273089.871,20889,21368
1996,1,1,16362.424089,3105885.3948,6768,6829
1996,1,2,8828.4772474,1628027.2089,2259,2272
1996,1,3,8329.4649545,1275314.8641,607,612
1996,1,4,8991.7719933,1559239.5288,363,369
1996,2,1,41558.908922,7837147.6463,9678,9730
1996,2,2,71584.650212,13439448.33,14041,14126
1996,2,3,31626.679215,5843991.8947,3688,3706
1996,2,4,40537.017492,7413115.579,1947,1954
1996,3,1,16104.343338,3040851.9403,2267,2276
1996,3,2,36903.351277,6815690.8958,4301,4319
1996,3,3,27193.2362,5007240.0847,2107,2130
1996,3,4,43701.059651,8031413.5029,1622,1628
1996,4,1,22371.172668,4219873.1367,5873,5903
1996,4,2,18525.578913,3516581.1938,3940,3961
1996,4,3,6359.3703271,1206607.4657,864,871
1996,4,4,9500.6944985,1762919.4704,503,505
1996,5,1,14957.569463,2795633.6159,4209,4232
1996,5,2,49840.310944,9413020.2747,12497,12581
1996,5,3,31499.586538,5909578.8704,6051,6082
1996,5,4,24035.887313,4437357.3045,1839,1844
1996,6,1,28065.971367,4871670.7105,4082,4103
1996,6,2,47422.923585,8527985.3632,6798,6835
1996,6,3,38562.57378,6492741.933,3035,3057
1996,6,4,41400.431468,7106144.7862,1662,1670
1996,7,1,75768.066445,12688591.595,19255,19515
1996,7,2,154442.76203,25651363.136,28805,29324
