Year,Primary,Low,High,Const,Trade,Trans,Service
1995,83565.29271,148906.5275,87148.29237,69585.12389,148465.2167,98081.44681,632291.6062
1996,90018.49812,153641.292,81712.416,79703.48954,146087.9939,109992.6487,740116.0369
1997,93482.77753,156602.6642,93711.61981,89887.60165,153963.639,124803.2832,789205.5866
1998,95476.71342,149871.4566,90208.26779,94071.08984,150583.5951,137085.9212,810310.2276
1999,97437.16225,150263.773,93040.32448,84967.78593,150795.5932,136392.8485,796566.2822
2000,113603.7799,168028.8795,103855.5395,87103.64905,167325.7328,159195.5025,779718.5974
2001,117586.3717,169424.462,101190.9571,83997.72923,168803.1561,155183.8491,783360.7951
2002,128813.228,165489.3703,98563.59443,82723.76394,159236.3847,157890.0421,774073.1085
2003,149248.183,178093.7491,117302.106,76854.98772,173655.3694,164768.5759,779650.8435
2004,154619.3834,209498.9646,126884.9366,89151.08823,193038.1366,186425.4428,790732.1677
2005,150531,206260,127036,90228,205793,235106,827299
