Year, Educ Level, Agr/Min, LT Manuf, HT Manuf, Const, Trade, Trans/Util, Service
 1995,    0, 0.1682, 0.4435, 0.3731, 0.3048, 0.2373, 0.4226, 0.2143,
 1996,    0, 0.1635, 0.4302, 0.3790, 0.2998, 0.2591, 0.4009, 0.1817,
 1997,    0, 0.1757, 0.4178, 0.3156, 0.2903, 0.2706, 0.3558, 0.1760,
 1998,    0, 0.1808, 0.4148, 0.2942, 0.3048, 0.2790, 0.3116, 0.1800,
 1999,    0, 0.1662, 0.3727, 0.2303, 0.2717, 0.2661, 0.2712, 0.1728,
 2000,    0, 0.1509, 0.3417, 0.2168, 0.2755, 0.2488, 0.2245, 0.1842,
 2001,    0, 0.1678, 0.3508, 0.2394, 0.3117, 0.2646, 0.2365, 0.1902,
 2002,    0, 0.1566, 0.3383, 0.2098, 0.2840, 0.2663, 0.2124, 0.1859,
 2003,    0, 0.1428, 0.3278, 0.1833, 0.2944, 0.2593, 0.2078, 0.1852,
 2004,    0, 0.1515, 0.3027, 0.1876, 0.2690, 0.2522, 0.1849, 0.1884,
 2005,    0, 0.1662, 0.3257, 0.2003, 0.2850, 0.2644, 0.1583, 0.1976,
 1995,    1, 0.1107, 0.2727, 0.4857, 0.1251, 0.2140, 0.4503, 0.5540,
 1996,    1, 0.1124, 0.2744, 0.5069, 0.1163, 0.2221, 0.4247, 0.5064,
 1997,    1, 0.0973, 0.2798, 0.4492, 0.1087, 0.2356, 0.3924, 0.5024,
 1998,    1, 0.0977, 0.2880, 0.4503, 0.1232, 0.2553, 0.3673, 0.5503,
 1999,    1, 0.0843, 0.2812, 0.4114, 0.1161, 0.2507, 0.3247, 0.5374,
 2000,    1, 0.0726, 0.2718, 0.4017, 0.1101, 0.2398, 0.2832, 0.5851,
 2001,    1, 0.0788, 0.2705, 0.4514, 0.1197, 0.2713, 0.2959, 0.6403,
 2002,    1, 0.0676, 0.2573, 0.4228, 0.1126, 0.2855, 0.2935, 0.6286,
 2003,    1, 0.0647, 0.2551, 0.3836, 0.1299, 0.2872, 0.2806, 0.6481,
 2004,    1, 0.0729, 0.2399, 0.3974, 0.1180, 0.2902, 0.2627, 0.6660,
 2005,    1, 0.0819, 0.2715, 0.4418, 0.1213, 0.3144, 0.2253, 0.6969,
