_RMSE_,lag_sector0,lag_sector1,lag_sector2,lag_sector3,lag_sector4,lag_sector5,lag_sector6,lag_sector7,gender,dummy_educ2,dummy_educ3,dummy_educ4,age,age_2,exper1,exper2,exper3,exper4,exper5,exper6,exper7
0.4718784348,0.5908359037,0.469651683,0.491046834,0.4703402636,0.518791962,0.4941230508,0.4345811039,0.3952415431,0.0097825046,-0.018567103,-0.047133149,-0.097095862,-0.000668149,0.0002113084,-0.023962537,-0.020386831,-0.017350548,-0.014631417,-0.016725648,-0.01360091,-0.019851042
0.4718784348,7.7132712E-6,6.0736756E-6,7.1210955E-6,7.0551777E-6,6.9460103E-6,7.1105545E-6,6.9947097E-6,7.0926605E-6,-1.328244E-6,-3.020917E-6,-2.931838E-6,-2.602872E-6,-5.818485E-7,1.7099438E-8,-3.230396E-7,-2.290457E-7,-1.425415E-7,-4.065762E-7,-2.045893E-7,-1.179133E-7,-7.181308E-8
0.4718784348,6.0736756E-6,0.0000667713,8.235023E-6,7.7972099E-6,8.1359024E-6,7.4471784E-6,7.5193991E-6,7.2089882E-6,-1.024609E-6,-2.132553E-6,-2.06858E-6,-1.749813E-6,-5.638409E-7,1.6622349E-8,-7.623503E-6,-4.08746E-7,-2.812701E-7,-4.835865E-7,-3.298762E-7,-2.348108E-7,-1.905807E-7
0.4718784348,7.1210955E-6,8.235023E-6,0.0000277156,0.0000111166,8.831264E-6,9.559832E-6,9.3612232E-6,8.5028993E-6,-1.46507E-6,-2.817314E-6,-2.645834E-6,-2.346216E-6,-5.389076E-7,1.5948352E-8,-6.573148E-7,-2.296176E-6,-5.812384E-7,-6.058057E-7,-4.942269E-7,-4.055521E-7,-2.582989E-7
0.4718784348,7.0551777E-6,7.7972099E-6,0.0000111166,0.0000622798,8.6846758E-6,9.4994422E-6,9.2837127E-6,8.7002478E-6,-1.45306E-6,-2.780085E-6,-2.710577E-6,-2.422637E-6,-4.980946E-7,1.4803475E-8,-6.382636E-7,-7.140183E-7,-5.385532E-6,-6.168582E-7,-5.169671E-7,-4.210106E-7,-3.094175E-7
0.4718784348,6.9460103E-6,8.1359024E-6,8.831264E-6,8.6846758E-6,0.000054037,8.5282696E-6,9.3153303E-6,8.5760856E-6,-1.297667E-6,-2.782282E-6,-2.645665E-6,-2.294638E-6,-5.313249E-7,1.566108E-8,-6.604317E-7,-4.63988E-7,-3.634623E-7,-5.250217E-6,-4.063083E-7,-4.102446E-7,-2.948373E-7
0.4718784348,7.1105545E-6,7.4471784E-6,9.559832E-6,9.4994422E-6,8.5282696E-6,0.0000305011,9.9233374E-6,8.770531E-6,-1.398106E-6,-3.057123E-6,-2.865495E-6,-2.437522E-6,-5.215011E-7,1.5304727E-8,-5.26582E-7,-5.261288E-7,-4.222302E-7,-5.842959E-7,-2.611242E-6,-4.681827E-7,-2.864719E-7
0.4718784348,6.9947097E-6,7.5193991E-6,9.3612232E-6,9.2837127E-6,9.3153303E-6,9.9233374E-6,0.0000595534,9.0235739E-6,-1.325737E-6,-2.975048E-6,-2.899622E-6,-2.487138E-6,-5.192796E-7,1.5649584E-8,-5.742564E-7,-5.366871E-7,-4.301008E-7,-7.44642E-7,-5.765218E-7,-5.940604E-6,-3.448518E-7
0.4718784348,7.0926605E-6,7.2089882E-6,8.5028993E-6,8.7002478E-6,8.5760856E-6,8.770531E-6,9.0235739E-6,0.0000161892,-1.712893E-6,-2.937296E-6,-2.831708E-6,-2.357415E-6,-5.397336E-7,1.6013414E-8,-4.646408E-7,-3.99065E-7,-3.444474E-7,-5.767295E-7,-4.012867E-7,-3.711741E-7,-1.067533E-6
0.4718784348,-1.328244E-6,-1.024609E-6,-1.46507E-6,-1.45306E-6,-1.297667E-6,-1.398106E-6,-1.325737E-6,-1.712893E-6,3.6600909E-6,-2.869828E-7,-8.502125E-7,-7.902348E-7,-3.286373E-8,1.0585496E-9,1.9311733E-7,1.2703677E-7,1.9798912E-7,2.9182888E-7,1.1121495E-7,2.0073985E-7,6.3084655E-8
0.4718784348,-3.020917E-6,-2.132553E-6,-2.817314E-6,-2.780085E-6,-2.782282E-6,-3.057123E-6,-2.975048E-6,-2.937296E-6,-2.869828E-7,4.9756649E-6,3.1674309E-6,3.0889471E-6,2.8370162E-8,4.287366E-10,6.193393E-8,-6.183906E-8,-1.128928E-7,5.9125527E-8,-1.180864E-7,-7.908284E-8,-5.917901E-8
0.4718784348,-2.931838E-6,-2.06858E-6,-2.645834E-6,-2.710577E-6,-2.645665E-6,-2.865495E-6,-2.899622E-6,-2.831708E-6,-8.502125E-7,3.1674309E-6,7.3740767E-6,3.5511418E-6,5.1428814E-8,2.672638E-10,4.3405742E-8,-3.663149E-8,-1.635503E-7,6.9628792E-8,-1.762631E-7,-1.291774E-7,-1.664458E-7
0.4718784348,-2.602872E-6,-1.749813E-6,-2.346216E-6,-2.422637E-6,-2.294638E-6,-2.437522E-6,-2.487138E-6,-2.357415E-6,-7.902348E-7,3.0889471E-6,3.5511418E-6,8.960581E-6,1.6928263E-8,8.575236E-10,5.5973399E-8,-1.865741E-8,-1.709363E-7,8.6390004E-8,-9.706643E-8,-1.149717E-7,-2.551248E-7
0.4718784348,-5.818485E-7,-5.638409E-7,-5.389076E-7,-4.980946E-7,-5.313249E-7,-5.215011E-7,-5.192796E-7,-5.397336E-7,-3.286373E-8,2.8370162E-8,5.1428814E-8,1.6928263E-8,1.4182601E-7,-4.97036E-9,-1.628141E-8,-1.628589E-8,-2.690342E-8,-2.180894E-8,-1.222903E-8,-2.90762E-8,-2.113634E-8
0.4718784348,1.7099438E-8,1.6622349E-8,1.5948352E-8,1.4803475E-8,1.566108E-8,1.5304727E-8,1.5649584E-8,1.6013414E-8,1.0585496E-9,4.287366E-10,2.672638E-10,8.575236E-10,-4.97036E-9,1.932099E-10,3.920972E-10,4.194238E-10,6.913152E-10,5.164694E-10,3.358315E-10,6.273393E-10,3.802636E-10
0.4718784348,-3.230396E-7,-7.623503E-6,-6.573148E-7,-6.382636E-7,-6.604317E-7,-5.26582E-7,-5.742564E-7,-4.646408E-7,1.9311733E-7,6.193393E-8,4.3405742E-8,5.5973399E-8,-1.628141E-8,3.920972E-10,2.0420905E-6,6.8575319E-8,6.9741653E-8,6.7000823E-8,5.8784915E-8,6.7993344E-8,5.1317798E-8
0.4718784348,-2.290457E-7,-4.08746E-7,-2.296176E-6,-7.140183E-7,-4.63988E-7,-5.261288E-7,-5.366871E-7,-3.99065E-7,1.2703677E-7,-6.183906E-8,-3.663149E-8,-1.865741E-8,-1.628589E-8,4.194238E-10,6.8575319E-8,3.9492569E-7,7.6924603E-8,6.981668E-8,6.662664E-8,7.3482558E-8,5.4997161E-8
0.4718784348,-1.425415E-7,-2.812701E-7,-5.812384E-7,-5.385532E-6,-3.634623E-7,-4.222302E-7,-4.301008E-7,-3.444474E-7,1.9798912E-7,-1.128928E-7,-1.635503E-7,-1.709363E-7,-2.690342E-8,6.913152E-10,6.9741653E-8,7.6924603E-8,9.0498116E-7,7.309451E-8,7.0022424E-8,7.7588537E-8,6.4041613E-8
0.4718784348,-4.065762E-7,-4.835865E-7,-6.058057E-7,-6.168582E-7,-5.250217E-6,-5.842959E-7,-7.44642E-7,-5.767295E-7,2.9182888E-7,5.9125527E-8,6.9628792E-8,8.6390004E-8,-2.180894E-8,5.164694E-10,6.7000823E-8,6.981668E-8,7.309451E-8,1.261188E-6,6.4168588E-8,8.7825611E-8,5.7042193E-8
0.4718784348,-2.045893E-7,-3.298762E-7,-4.942269E-7,-5.169671E-7,-4.063083E-7,-2.611242E-6,-5.765218E-7,-4.012867E-7,1.1121495E-7,-1.180864E-7,-1.762631E-7,-9.706643E-8,-1.222903E-8,3.358315E-10,5.8784915E-8,6.662664E-8,7.0022424E-8,6.4168588E-8,5.1690486E-7,7.7754341E-8,5.9162685E-8
0.4718784348,-1.179133E-7,-2.348108E-7,-4.055521E-7,-4.210106E-7,-4.102446E-7,-4.681827E-7,-5.940604E-6,-3.711741E-7,2.0073985E-7,-7.908284E-8,-1.291774E-7,-1.149717E-7,-2.90762E-8,6.273393E-10,6.7993344E-8,7.3482558E-8,7.7588537E-8,8.7825611E-8,7.7754341E-8,1.0115736E-6,6.9305375E-8
0.4718784348,-7.181308E-8,-1.905807E-7,-2.582989E-7,-3.094175E-7,-2.948373E-7,-2.864719E-7,-3.448518E-7,-1.067533E-6,6.3084655E-8,-5.917901E-8,-1.664458E-7,-2.551248E-7,-2.113634E-8,3.802636E-10,5.1317798E-8,5.4997161E-8,6.4041613E-8,5.7042193E-8,5.9162685E-8,6.9305375E-8,2.0280299E-7
