_RMSE_,year95,year96,year97,year98,year99,year00,year01,year02,year03,year04,year05,gender,dummy_educ2,dummy_educ3,dummy_educ4,age,age_2,exper1,exper2,exper3,exper4,exper5,exper6,exper7
0.4062277535,0.239996692,0.2799584066,0.2723729694,0.292122425,0.3088972042,0.2744548217,0.314348123,0.2773020775,0.2752562984,0.275934334,0.2753684375,-0.018022775,-0.031137889,-0.075404539,-0.107162704,0.0008118684,-0.000031596,-0.004905717,-0.010219929,-0.012820992,0.0152597817,-0.00814008,-0.012378734,-0.009486616
0.4062277535,0.0000129627,4.3468019E-6,4.3241553E-6,4.3031291E-6,4.319689E-6,4.3075305E-6,4.4109742E-6,4.4278604E-6,4.3906387E-6,4.4485527E-6,4.455666E-6,-8.356187E-7,-1.987864E-6,-2.113043E-6,-2.060129E-6,-2.793259E-7,7.40045E-9,-6.274392E-7,-2.997508E-7,-2.295989E-7,-4.846609E-7,-2.455841E-7,-2.47772E-7,-2.091452E-7
0.4062277535,4.3468019E-6,9.0254244E-6,4.4019778E-6,4.3760693E-6,4.3846912E-6,4.3646981E-6,4.4757506E-6,4.4890724E-6,4.444084E-6,4.5040126E-6,4.509054E-6,-8.339745E-7,-1.945812E-6,-2.035508E-6,-2.072645E-6,-2.783631E-7,7.3160702E-9,-6.533122E-7,-3.248635E-7,-3.165183E-7,-4.935422E-7,-2.616532E-7,-2.792979E-7,-2.4211E-7
0.4062277535,4.3241553E-6,4.4019778E-6,0.000010599,4.372956E-6,4.3952566E-6,4.38901E-6,4.4842268E-6,4.5098266E-6,4.4729681E-6,4.5305244E-6,4.5375657E-6,-8.404058E-7,-2.035784E-6,-2.188338E-6,-2.226022E-6,-2.859715E-7,7.5152495E-9,-6.068444E-7,-2.741115E-7,-1.863464E-7,-4.744686E-7,-2.326812E-7,-2.220669E-7,-2.215652E-7
0.4062277535,4.3031291E-6,4.3760693E-6,4.372956E-6,0.0000100828,4.3778635E-6,4.3766655E-6,4.4706274E-6,4.4937037E-6,4.460584E-6,4.517362E-6,4.5257646E-6,-7.992358E-7,-2.076708E-6,-2.227104E-6,-2.194703E-6,-2.892565E-7,7.5817525E-9,-5.982076E-7,-2.715171E-7,-1.882726E-7,-4.616921E-7,-2.332255E-7,-2.062112E-7,-1.915724E-7
0.4062277535,4.319689E-6,4.3846912E-6,4.3952566E-6,4.3778635E-6,0.000010226,4.4136689E-6,4.5031707E-6,4.5316124E-6,4.5021122E-6,4.5590831E-6,4.568896E-6,-8.102683E-7,-2.141116E-6,-2.327638E-6,-2.285675E-6,-2.914485E-7,7.6105396E-9,-6.126122E-7,-2.449344E-7,-1.547781E-7,-4.592454E-7,-2.213578E-7,-2.034126E-7,-1.743791E-7
0.4062277535,4.3075305E-6,4.3646981E-6,4.38901E-6,4.3766655E-6,4.4136689E-6,9.5149332E-6,4.5099272E-6,4.5422818E-6,4.5189591E-6,4.5737147E-6,4.5845166E-6,-7.734124E-7,-2.198888E-6,-2.410948E-6,-2.406139E-6,-3.006699E-7,7.7953478E-9,-5.973789E-7,-2.279853E-7,-1.263149E-7,-4.074159E-7,-1.962318E-7,-1.685936E-7,-1.408331E-7
0.4062277535,4.4109742E-6,4.4757506E-6,4.4842268E-6,4.4706274E-6,4.5031707E-6,4.5099272E-6,9.8639612E-6,4.6311805E-6,4.602621E-6,4.6619531E-6,4.6734945E-6,-8.006238E-7,-2.228829E-6,-2.454581E-6,-2.358594E-6,-2.929827E-7,7.5862161E-9,-6.353998E-7,-2.566026E-7,-1.654679E-7,-4.718826E-7,-2.26011E-7,-2.066573E-7,-1.634575E-7
0.4062277535,4.4278604E-6,4.4890724E-6,4.5098266E-6,4.4937037E-6,4.5316124E-6,4.5422818E-6,4.6311805E-6,8.8618149E-6,4.6386312E-6,4.6986838E-6,4.7103623E-6,-7.954751E-7,-2.241714E-6,-2.526685E-6,-2.410633E-6,-2.961353E-7,7.6123567E-9,-6.532959E-7,-2.310087E-7,-1.354716E-7,-4.616048E-7,-2.164698E-7,-1.979262E-7,-1.675518E-7
0.4062277535,4.3906387E-6,4.444084E-6,4.4729681E-6,4.460584E-6,4.5021122E-6,4.5189591E-6,4.602621E-6,4.6386312E-6,9.2818564E-6,4.6746693E-6,4.687443E-6,-8.070494E-7,-2.266502E-6,-2.565107E-6,-2.422175E-6,-2.969204E-7,7.6476004E-9,-6.451992E-7,-2.219562E-7,-1.118503E-7,-4.394092E-7,-2.076635E-7,-1.806997E-7,-1.443252E-7
0.4062277535,4.4485527E-6,4.5040126E-6,4.5305244E-6,4.517362E-6,4.5590831E-6,4.5737147E-6,4.6619531E-6,4.6986838E-6,4.6746693E-6,9.7172164E-6,4.7501812E-6,-8.097524E-7,-2.283119E-6,-2.630036E-6,-2.459184E-6,-2.947648E-7,7.5527667E-9,-6.727635E-7,-2.309138E-7,-1.144997E-7,-4.497919E-7,-2.257456E-7,-1.942267E-7,-1.520818E-7
