Nobs,_NAME_,year95,year96,year97,year98,year99,year00,year01,year02,year03,year04,year05,gender,dummy_educ2,dummy_educ3,dummy_educ4,age,age_2,exper1,exper2,exper3,exper4,exper5,exper6,exper7
348034,year95,0.0545176621,0,0,0,0,0,0,0,0,0,0,0.0191446813,0.0229144279,0.0090996857,0.004841481,0.5338817472,8.8943752622,0.0113465926,0.0421769137,0.0128320796,0.0205238569,0.03485579,0.0123752277,0.0679186516
348034,year96,0,0.103561721,0,0,0,0,0,0,0,0,0,0.0348586632,0.0428262756,0.0153232155,0.0104702414,1.0600659706,18.156447359,0.023494831,0.0864024779,0.0348730296,0.0387663274,0.0659763127,0.0265778631,0.1433940362
348034,year97,0,0,0.07648678,0,0,0,0,0,0,0,0,0.0288362631,0.0311262693,0.013527414,0.0092376032,0.7803432998,13.280380652,0.0131797468,0.0501473994,0.0139813926,0.0270404616,0.0457742634,0.0149381957,0.1095237822
348034,year98,0,0,0,0.0827706488,0,0,0,0,0,0,0,0.0294913715,0.0354620526,0.0147543056,0.0084589437,0.8499801744,14.491549676,0.0145158232,0.0568191613,0.0163202446,0.0288822356,0.0528971307,0.0155559514,0.102920979
348034,year99,0,0,0,0,0.0815092778,0,0,0,0,0,0,0.0301522265,0.034947735,0.0157484614,0.0088497101,0.8408517559,14.403808249,0.0156967423,0.0478803795,0.0130303361,0.0281581685,0.0508829597,0.0156680094,0.0976542522
348034,year00,0,0,0,0,0,0.0932983559,0,0,0,0,0,0.0348500434,0.0401541229,0.0185297988,0.0113063666,0.9946959205,17.270737916,0.0178028583,0.0530810208,0.0133349041,0.0247274692,0.0540550636,0.015389301,0.1015935225
348034,year01,0,0,0,0,0,0,0.0901348719,0,0,0,0,0.0327468006,0.0401110236,0.0189263118,0.0093094353,0.9463845486,16.414643397,0.0187280553,0.057497256,0.0160472827,0.0324077533,0.0589338973,0.0179493957,0.1010849515
348034,year02,0,0,0,0,0,0,0,0.1130148204,0,0,0,0.0420907153,0.0480815093,0.0257474844,0.0126395697,1.2203520346,21.54107932,0.0261152646,0.0592097324,0.0159495911,0.0386255366,0.0707143555,0.0216329439,0.1363315078
348034,year03,0,0,0,0,0,0,0,0,0.1016165087,0,0,0.0392490389,0.0436940069,0.0239947821,0.0110391513,1.0777251648,18.840960941,0.0232678416,0.0524862513,0.0120189407,0.0308561807,0.0638041111,0.0177597591,0.1116040387
348034,year04,0,0,0,0,0,0,0,0,0,0.0952033422,0,0.0367205503,0.0403006603,0.0240637409,0.0104415086,1.0130763086,17.844431866,0.0236873409,0.0502996834,0.0111397162,0.0290747456,0.0654936012,0.0178114782,0.1068832355
348034,year05,0,0,0,0,0,0,0,0,0,0,0.1078860111,0.0417171886,0.0459696466,0.0286178937,0.0116827666,1.1358315567,19.984294638,0.0258882753,0.0565117201,0.0129240247,0.033442135,0.0756133021,0.0201704431,0.1177384968
