Nobs,_NAME_,year95,year96,year97,year98,year99,year00,year01,year02,year03,year04,year05,gender,dummy_educ2,dummy_educ3,dummy_educ4,age,age_2,exper1,exper2,exper3,exper4,exper5,exper6,exper7
1217857,year95,0.0677501546,0,0,0,0,0,0,0,0,0,0,0.0343275114,0.0204531402,0.0168221721,0.0163763069,0.8880016291,16.820372999,0.0021554255,0.0151561308,0.0064227574,0.0063537837,0.0145879196,0.0054768335,0.4346290246
1217857,year96,0,0.0759875749,0,0,0,0,0,0,0,0,0,0.0390004738,0.0232843429,0.0187846356,0.0181187118,1.0067454553,19.289254814,0.0023565985,0.0176482132,0.0071847516,0.0072652208,0.0168484477,0.0057592969,0.4727361258
1217857,year97,0,0,0.0809799508,0,0,0,0,0,0,0,0,0.0419909727,0.0249692698,0.0202322604,0.0195515565,1.0891566087,21.021943463,0.0023590619,0.0180062191,0.0074696783,0.0075870977,0.0175184771,0.0056164229,0.5015063345
1217857,year98,0,0,0,0.083563177,0,0,0,0,0,0,0,0.0436069259,0.0259570705,0.0213046359,0.0202946651,1.1347235349,22.010056189,0.0025134314,0.0180095036,0.007359649,0.0076601769,0.0182673335,0.0055080358,0.513038066
1217857,year99,0,0,0,0,0.0866883386,0,0,0,0,0,0,0.0454831725,0.0268947832,0.0227703253,0.0211781843,1.1835363265,23.026902173,0.0026727276,0.0173287997,0.0068538424,0.0074573616,0.0185982427,0.0058069215,0.5276062789
1217857,year00,0,0,0,0,0,0.0907454652,0,0,0,0,0,0.0477387739,0.0280968948,0.0243862785,0.0224550173,1.2492115248,24.422163686,0.0027531968,0.0165971867,0.0068070389,0.0077373616,0.0188248702,0.005932552,0.5416760753
1217857,year01,0,0,0,0,0,0,0.0940956122,0,0,0,0,0.0493900351,0.029267804,0.0258774224,0.02339273,1.3087472503,25.764825427,0.0029683288,0.0162153685,0.0065976547,0.0082776549,0.0199949584,0.0064145462,0.5648331454
1217857,year02,0,0,0,0,0,0,0,0.098068164,0,0,0,0.0516768389,0.030587335,0.0280090355,0.0240430527,1.3692945888,27.099877079,0.0032146631,0.0166086823,0.0065680946,0.0089780656,0.0216273339,0.0072282706,0.5841991301
1217857,year03,0,0,0,0,0,0,0,0,0.1033306866,0,0,0.0545663407,0.0322673352,0.0303483907,0.0253092112,1.4509117244,28.905200693,0.0035825224,0.0166834037,0.0065393556,0.0091808808,0.0229041669,0.007768564,0.6106340892
1217857,year04,0,0,0,0,0,0,0,0,0,0.1072835316,0,0.056792382,0.0329636402,0.0326770713,0.026476836,1.5163003538,30.396891425,0.0033829916,0.0167080372,0.0060097368,0.0092260421,0.02447578,0.0083614086,0.6421509258
1217857,year05,0,0,0,0,0,0,0,0,0,0,0.1115073445,0.0592425876,0.033966221,0.0350090364,0.0276600619,1.5871707434,32.04459719,0.0033386514,0.0162712043,0.0055761883,0.009282699,0.0260531409,0.0083720831,0.6719179674
