Nobs,_NAME_,year95,year96,year97,year98,year99,year00,year01,year02,year03,year04,year05,gender,dummy_educ2,dummy_educ3,dummy_educ4,age,age_2,exper1,exper2,exper3,exper4,exper5,exper6,exper7
177658,year95,0.0828952257,0,0,0,0,0,0,0,0,0,0,0.0110042891,0.035545824,0.0160308008,0.0091693028,1.0612694053,19.308350876,0.0053473528,0.0355289376,0.0134809578,0.0152427698,0.0357540893,0.4319760439,0.070168526
177658,year96,0,0.0876796992,0,0,0,0,0,0,0,0,0,0.0120568733,0.0382645307,0.0170833849,0.009355053,1.1447106238,21.095244796,0.0057301107,0.0366152946,0.0143309054,0.0156874444,0.0375215301,0.4545925317,0.0746603024
177658,year97,0,0,0.0875783809,0,0,0,0,0,0,0,0,0.0122932826,0.0384502809,0.0177700976,0.0095126592,1.1404834007,20.965450472,0.0055668757,0.0362550518,0.014831868,0.0145673147,0.0387936372,0.44607054,0.0753864166
177658,year98,0,0,0,0.0870549032,0,0,0,0,0,0,0,0.0123045402,0.0385741143,0.0183048329,0.0095858335,1.1277792162,20.651583379,0.0065913159,0.0347409067,0.0133177228,0.0138749733,0.0385797431,0.4399576715,0.0723750127
177658,year99,0,0,0,0,0.0862556147,0,0,0,0,0,0,0.0126591541,0.0386923189,0.0187101059,0.0094732576,1.1239797814,20.691812359,0.0067883236,0.0327201702,0.0124058584,0.0135935336,0.0379099168,0.4271127672,0.0681984487
177658,year00,0,0,0,0,0,0.0864132209,0,0,0,0,0,0.0126253814,0.0390300465,0.0194643641,0.0098391291,1.1305936124,20.928902723,0.0070922784,0.0308739263,0.0124058584,0.0125747222,0.0396773576,0.427416722,0.0648268021
177658,year01,0,0,0,0,0,0,0.0910513458,0,0,0,0,0.0133852683,0.0415686319,0.021203661,0.010086796,1.1881086132,22.108934019,0.0090679846,0.0304405093,0.0124002297,0.0139031172,0.0430715194,0.4467572527,0.0675511376
177658,year02,0,0,0,0,0,0,0,0.0931114839,0,0,0,0.0138130565,0.042621216,0.0225489423,0.0101374551,1.2250334913,22.971084893,0.0098447579,0.0289657657,0.0114771077,0.0143083903,0.0444787175,0.4567202152,0.0653727949
177658,year03,0,0,0,0,0,0,0,0,0.0949126974,0,0,0.0139425188,0.0436681714,0.0232300262,0.0103907508,1.2654257056,23.973527789,0.0112688424,0.0293260084,0.010548357,0.0145954587,0.0455932184,0.4696495514,0.0615508449
177658,year04,0,0,0,0,0,0,0,0,0,0.09890914,0,0.0150964212,0.0454356122,0.0254533992,0.0107735087,1.3198279841,25.178928053,0.0114939941,0.0302153576,0.0100924248,0.0163516419,0.0502763737,0.4847741166,0.0646804535
177658,year05,0,0,0,0,0,0,0,0,0,0,0.1041382882,0.0160533159,0.0477040156,0.0279244391,0.0113814182,1.3908352002,26.717699175,0.0119217823,0.0300521226,0.0097040381,0.0178151279,0.0544079073,0.5024766687,0.0693467224
177658,gender,0.0110042891,0.0120568733,0.0122932826,0.0123045402,0.0126591541,0.0126253814,0.0133852683,0.0138130565,0.0139425188,0.0150964212,0.0160533159,0.1452341015,0.034217429,0.0558488782,0.0382926747,1.7087268797,29.684286663,0.0047788447,0.0327595718,0.0125972374,0.009462,0.0627160049,0.6668993234,0.156688694
177658,dummy_educ2,0.035545824,0.0382645307,0.0384502809,0.0385741143,0.0386923189,0.0390300465,0.0415686319,0.042621216,0.0436681714,0.0454356122,0.0477040156,0.034217429,0.4495547625,0,0,5.6658073377,101.4526112,0.0381519549,0.1952121492,0.066076394,0.0795573518,0.2593860113,2.097338707,0.3056546848
