_RMSE_,year95,year96,year97,year98,year99,year00,year01,year02,year03,year04,year05,gender,dummy_educ2,dummy_educ3,dummy_educ4,age,age_2,exper1,exper2,exper3,exper4,exper5,exper6,exper7
0.1232578912,0.0123332364,0.0107533769,0.0098922751,0.0080514873,0.0073148048,0.0090060983,0.0103503471,0.0105224782,0.0114746095,0.0135032501,0.0152934962,-0.003155783,0.0017051625,0.0056422864,0.0069376884,-0.001122876,0.0000190478,0.0004951572,0.0013176828,0.0845003117,0.0003152263,-0.000138321,-0.000242612,-0.000139041
0.1232578912,8.5940276E-8,3.6260721E-8,3.6540057E-8,3.6824955E-8,3.7062509E-8,3.7310424E-8,3.7592191E-8,3.7895719E-8,3.8226158E-8,3.8601453E-8,3.8970722E-8,-6.160153E-9,-1.611143E-8,-1.637277E-8,-1.493406E-8,-2.529757E-9,6.477029E-11,-2.807663E-9,-1.709227E-9,-1.34971E-9,-2.7828E-9,-1.477889E-9,-1.207846E-9,-8.62372E-10
0.1232578912,3.6260721E-8,8.4029718E-8,3.6859663E-8,3.7152045E-8,3.7397116E-8,3.7652537E-8,3.7941658E-8,3.8252711E-8,3.8590646E-8,3.8973095E-8,3.9349873E-8,-6.165932E-9,-1.630992E-8,-1.664744E-8,-1.508858E-8,-2.546889E-9,6.485753E-11,-2.870268E-9,-1.700168E-9,-1.316646E-9,-2.79597E-9,-1.491464E-9,-1.199885E-9,-8.53201E-10
0.1232578912,3.6540057E-8,3.6859663E-8,8.2309449E-8,3.7452415E-8,3.7705005E-8,3.7967864E-8,3.8264185E-8,3.8582524E-8,3.8927669E-8,3.931681E-8,3.9700723E-8,-6.166819E-9,-1.650592E-8,-1.691664E-8,-1.524106E-8,-2.563566E-9,6.493683E-11,-2.921613E-9,-1.687064E-9,-1.276579E-9,-2.811618E-9,-1.501444E-9,-1.189812E-9,-8.40416E-10
0.1232578912,3.6824955E-8,3.7152045E-8,3.7452415E-8,8.0900654E-8,3.8021276E-8,3.8292415E-8,3.8596705E-8,3.8923033E-8,3.9276081E-8,3.9672458E-8,4.0064269E-8,-6.15837E-9,-1.669222E-8,-1.719328E-8,-1.540576E-8,-2.583944E-9,6.506397E-11,-2.972394E-9,-1.668383E-9,-1.23401E-9,-2.816984E-9,-1.510763E-9,-1.173312E-9,-8.22953E-10
0.1232578912,3.7062509E-8,3.7397116E-8,3.7705005E-8,3.8021276E-8,7.9561773E-8,3.8570821E-8,3.8883238E-8,3.9217522E-8,3.9578338E-8,3.9981477E-8,4.0380792E-8,-6.137997E-9,-1.688957E-8,-1.749527E-8,-1.559347E-8,-2.601411E-9,6.510899E-11,-3.017635E-9,-1.636956E-9,-1.179711E-9,-2.820337E-9,-1.510558E-9,-1.148674E-9,-7.99917E-10
0.1232578912,3.7310424E-8,3.7652537E-8,3.7967864E-8,3.8292415E-8,3.8570821E-8,7.8461017E-8,3.9179815E-8,3.9522132E-8,3.9890847E-8,4.0301056E-8,4.0708153E-8,-6.112238E-9,-1.707584E-8,-1.780372E-8,-1.578509E-8,-2.619478E-9,6.517492E-11,-3.067304E-9,-1.609676E-9,-1.128213E-9,-2.813035E-9,-1.513288E-9,-1.125425E-9,-7.79998E-10
0.1232578912,3.7592191E-8,3.7941658E-8,3.8264185E-8,3.8596705E-8,3.8883238E-8,3.9179815E-8,7.7618111E-8,3.9858698E-8,4.0235416E-8,4.065318E-8,4.1068377E-8,-6.093782E-9,-1.725327E-8,-1.810758E-8,-1.597594E-8,-2.636729E-9,6.521973E-11,-3.120689E-9,-1.594945E-9,-1.089737E-9,-2.81372E-9,-1.526233E-9,-1.107527E-9,-7.65939E-10
0.1232578912,3.7895719E-8,3.8252711E-8,3.8582524E-8,3.8923033E-8,3.9217522E-8,3.9522132E-8,3.9858698E-8,7.6940226E-8,4.0603022E-8,4.1029397E-8,4.1453542E-8,-6.086665E-9,-1.742529E-8,-1.842124E-8,-1.615761E-8,-2.646918E-9,6.500624E-11,-3.176614E-9,-1.591151E-9,-1.066092E-9,-2.828209E-9,-1.552301E-9,-1.097973E-9,-7.59111E-10
0.1232578912,3.8226158E-8,3.8590646E-8,3.8927669E-8,3.9276081E-8,3.9578338E-8,3.9890847E-8,4.0235416E-8,4.0603022E-8,7.6525003E-8,4.1432093E-8,4.186532E-8,-6.075012E-9,-1.759588E-8,-1.873311E-8,-1.634394E-8,-2.660244E-9,6.489683E-11,-3.234766E-9,-1.59169E-9,-1.045543E-9,-2.841463E-9,-1.580332E-9,-1.090782E-9,-7.55379E-10
0.1232578912,3.8601453E-8,3.8973095E-8,3.931681E-8,3.9672458E-8,3.9981477E-8,4.0301056E-8,4.065318E-8,4.1029397E-8,4.1432093E-8,7.6343463E-8,4.2320081E-8,-6.069186E-9,-1.77404E-8,-1.903201E-8,-1.649894E-8,-2.669953E-9,6.470162E-11,-3.297654E-9,-1.607445E-9,-1.043202E-9,-2.862061E-9,-1.629165E-9,-1.094238E-9,-7.70275E-10
0.1232578912,3.8970722E-8,3.9349873E-8,3.9700723E-8,4.0064269E-8,4.0380792E-8,4.0708153E-8,4.1068377E-8,4.1453542E-8,4.186532E-8,4.2320081E-8,7.6383765E-8,-6.049052E-9,-1.788312E-8,-1.932362E-8,-1.664377E-8,-2.686879E-9,6.46399E-11,-3.334353E-9,-1.61559E-9,-1.032884E-9,-2.861198E-9,-1.668694E-9,-1.085977E-9,-7.75695E-10
0.1232578912,-6.160153E-9,-6.165932E-9,-6.166819E-9,-6.15837E-9,-6.137997E-9,-6.112238E-9,-6.093782E-9,-6.086665E-9,-6.075012E-9,-6.069186E-9,-6.049052E-9,1.7407364E-8,-1.076895E-9,-3.688914E-9,-3.479634E-9,-1.23447E-10,3.633685E-12,9.489221E-10,4.518984E-10,8.256892E-10,1.3942319E-9,3.848903E-10,9.099632E-10,-2.31322E-11
0.1232578912,-1.611143E-8,-1.630992E-8,-1.650592E-8,-1.669222E-8,-1.688957E-8,-1.707584E-8,-1.725327E-8,-1.742529E-8,-1.759588E-8,-1.77404E-8,-1.788312E-8,-1.076895E-9,2.5779857E-8,1.7368625E-8,1.6804118E-8,1.123118E-10,2.062247E-12,1.2891508E-9,-1.46271E-10,-3.66019E-10,6.077329E-10,-5.55209E-10,-3.02082E-10,-1.92718E-10
0.1232578912,-1.637277E-8,-1.664744E-8,-1.691664E-8,-1.719328E-8,-1.749527E-8,-1.780372E-8,-1.810758E-8,-1.842124E-8,-1.873311E-8,-1.903201E-8,-1.932362E-8,-3.688914E-9,1.7368625E-8,3.5696055E-8,1.8982831E-8,3.376978E-10,-1.96182E-12,1.3306437E-9,5.40019E-11,-6.42359E-10,7.59598E-10,-7.53848E-10,-5.0843E-10,-6.24814E-10
0.1232578912,-1.493406E-8,-1.508858E-8,-1.524106E-8,-1.540576E-8,-1.559347E-8,-1.578509E-8,-1.597594E-8,-1.615761E-8,-1.634394E-8,-1.649894E-8,-1.664377E-8,-3.479634E-9,1.6804118E-8,1.8982831E-8,4.5345768E-8,1.87436E-10,-3.82872E-13,1.3021111E-9,1.311359E-10,-7.26617E-10,8.201479E-10,-3.16737E-10,-4.07495E-10,-9.77784E-10
0.1232578912,-2.529757E-9,-2.546889E-9,-2.563566E-9,-2.583944E-9,-2.601411E-9,-2.619478E-9,-2.636729E-9,-2.646918E-9,-2.660244E-9,-2.669953E-9,-2.686879E-9,-1.23447E-10,1.123118E-10,3.376978E-10,1.87436E-10,5.274186E-10,-1.57593E-11,-5.89784E-11,-5.61803E-11,-8.57193E-11,-7.70776E-11,-2.64198E-11,-1.00791E-10,-8.31282E-11
0.1232578912,6.477029E-11,6.485753E-11,6.493683E-11,6.506397E-11,6.510899E-11,6.517492E-11,6.521973E-11,6.500624E-11,6.489683E-11,6.470162E-11,6.46399E-11,3.633685E-12,2.062247E-12,-1.96182E-12,-3.82872E-13,-1.57593E-11,5.20875E-13,1.452239E-12,1.437423E-12,2.024324E-12,1.709733E-12,7.768859E-13,2.035684E-12,1.460803E-12
0.1232578912,-2.807663E-9,-2.870268E-9,-2.921613E-9,-2.972394E-9,-3.017635E-9,-3.067304E-9,-3.120689E-9,-3.176614E-9,-3.234766E-9,-3.297654E-9,-3.334353E-9,9.489221E-10,1.2891508E-9,1.3306437E-9,1.3021111E-9,-5.89784E-11,1.452239E-12,3.7120943E-9,2.707578E-10,2.633055E-10,4.274309E-10,2.767998E-10,3.01203E-10,2.520507E-10
0.1232578912,-1.709227E-9,-1.700168E-9,-1.687064E-9,-1.668383E-9,-1.636956E-9,-1.609676E-9,-1.594945E-9,-1.591151E-9,-1.59169E-9,-1.607445E-9,-1.61559E-9,4.518984E-10,-1.46271E-10,5.40019E-11,1.311359E-10,-5.61803E-11,1.437423E-12,2.707578E-10,1.0672233E-9,1.885515E-10,3.086681E-10,2.352488E-10,2.473207E-10,2.297219E-10
0.1232578912,-1.34971E-9,-1.316646E-9,-1.276579E-9,-1.23401E-9,-1.179711E-9,-1.128213E-9,-1.089737E-9,-1.066092E-9,-1.045543E-9,-1.043202E-9,-1.032884E-9,8.256892E-10,-3.66019E-10,-6.42359E-10,-7.26617E-10,-8.57193E-11,2.024324E-12,2.633055E-10,1.885515E-10,2.520482E-9,3.03021E-10,2.393625E-10,2.610388E-10,2.368674E-10
0.1232578912,-2.7828E-9,-2.79597E-9,-2.811618E-9,-2.816984E-9,-2.820337E-9,-2.813035E-9,-2.81372E-9,-2.828209E-9,-2.841463E-9,-2.862061E-9,-2.861198E-9,1.3942319E-9,6.077329E-10,7.59598E-10,8.201479E-10,-7.70776E-11,1.709733E-12,4.274309E-10,3.086681E-10,3.03021E-10,3.6816329E-9,2.937707E-10,3.209825E-10,2.513026E-10
0.1232578912,-1.477889E-9,-1.491464E-9,-1.501444E-9,-1.510763E-9,-1.510558E-9,-1.513288E-9,-1.526233E-9,-1.552301E-9,-1.580332E-9,-1.629165E-9,-1.668694E-9,3.848903E-10,-5.55209E-10,-7.53848E-10,-3.16737E-10,-2.64198E-11,7.768859E-13,2.767998E-10,2.352488E-10,2.393625E-10,2.937707E-10,1.2734147E-9,2.383042E-10,2.426989E-10
0.1232578912,-1.207846E-9,-1.199885E-9,-1.189812E-9,-1.173312E-9,-1.148674E-9,-1.125425E-9,-1.107527E-9,-1.097973E-9,-1.090782E-9,-1.094238E-9,-1.085977E-9,9.099632E-10,-3.02082E-10,-5.0843E-10,-4.07495E-10,-1.00791E-10,2.035684E-12,3.01203E-10,2.473207E-10,2.610388E-10,3.209825E-10,2.383042E-10,1.9357792E-9,2.40222E-10
0.1232578912,-8.62372E-10,-8.53201E-10,-8.40416E-10,-8.22953E-10,-7.99917E-10,-7.79998E-10,-7.65939E-10,-7.59111E-10,-7.55379E-10,-7.70275E-10,-7.75695E-10,-2.31322E-11,-1.92718E-10,-6.24814E-10,-9.77784E-10,-8.31282E-11,1.460803E-12,2.520507E-10,2.297219E-10,2.368674E-10,2.513026E-10,2.426989E-10,2.40222E-10,5.20048E-10
