_RMSE_,lag_sector0,lag_sector1,lag_sector2,lag_sector3,lag_sector4,lag_sector5,lag_sector6,lag_sector7,gender,dummy_educ2,dummy_educ3,dummy_educ4,age,age_2,exper1,exper2,exper3,exper4,exper5,exper6,exper7
1.7072824223,0.5552028423,0.3344681462,0.3739165898,0.2903653897,0.4194725228,3.3427982805,0.2797924376,0.2334627666,-0.114956917,0.3135237856,0.2997670966,0.0453206058,-0.021650911,0.0005081175,-0.012050008,0.0058430098,0.00353846,-0.024484163,0.3134591793,-0.006457329,-0.010164262
1.7072824223,0.0001093455,0.0000867394,0.0001009198,0.0000999771,0.0000982723,0.0001007518,0.0000992623,0.0001007114,-0.000018163,-0.000042075,-0.000040636,-0.000036661,-9.737972E-6,3.3549644E-7,-4.393568E-6,-3.043247E-6,-1.882139E-6,-5.599835E-6,-2.672825E-6,-1.590309E-6,-9.459371E-7
1.7072824223,0.0000867394,0.000931384,0.0001160873,0.0001095963,0.0001145937,0.0001051072,0.0001064815,0.0001022139,-0.000013913,-0.000029802,-0.000028649,-0.000024745,-9.476449E-6,3.2856605E-7,-0.000106004,-5.535708E-6,-3.75667E-6,-6.66791E-6,-4.38068E-6,-3.22179E-6,-2.628633E-6
1.7072824223,0.0001009198,0.0001160873,0.000379562,0.0001549547,0.00012368,0.0001335926,0.0001312424,0.0001197275,-0.000019993,-0.000039303,-0.000036756,-0.000033169,-9.016975E-6,3.1268592E-7,-9.013257E-6,-0.000031081,-7.838327E-6,-8.306189E-6,-6.595304E-6,-5.516069E-6,-3.505108E-6
1.7072824223,0.0000999771,0.0001095963,0.0001549547,0.0008454493,0.0001211765,0.0001327533,0.0001304314,0.0001224888,-0.000019771,-0.000038717,-0.000037545,-0.000034195,-8.462391E-6,2.971938E-7,-8.622189E-6,-9.679858E-6,-0.000072703,-8.402835E-6,-6.923674E-6,-5.759768E-6,-4.22725E-6
1.7072824223,0.0000982723,0.0001145937,0.00012368,0.0001211765,0.0007496171,0.0001195947,0.0001310608,0.0001205062,-0.000017673,-0.000038682,-0.000036705,-0.000032418,-8.856989E-6,3.0615647E-7,-9.015614E-6,-6.253266E-6,-4.82881E-6,-0.000072813,-5.443103E-6,-5.666235E-6,-4.024435E-6
1.7072824223,0.0001007518,0.0001051072,0.0001335926,0.0001327533,0.0001195947,0.0004154579,0.0001389003,0.00012346,-0.00001912,-0.000042606,-0.0000398,-0.00003451,-8.734406E-6,3.0135112E-7,-7.200327E-6,-7.079101E-6,-5.665249E-6,-8.031841E-6,-0.000035129,-6.382677E-6,-3.90451E-6
1.7072824223,0.0000992623,0.0001064815,0.0001312424,0.0001304314,0.0001310608,0.0001389003,0.0008147703,0.0001271794,-0.000018084,-0.000041663,-0.000040355,-0.000035237,-8.727541E-6,3.0771631E-7,-7.881166E-6,-7.223872E-6,-5.826666E-6,-0.000010325,-7.744086E-6,-0.000081126,-4.708878E-6
1.7072824223,0.0001007114,0.0001022139,0.0001197275,0.0001224888,0.0001205062,0.00012346,0.0001271794,0.0002263233,-0.000023467,-0.000041018,-0.000039393,-0.000033616,-9.0585E-6,3.1567314E-7,-6.345862E-6,-5.371217E-6,-4.648369E-6,-7.918766E-6,-5.373927E-6,-5.099134E-6,-0.000014756
1.7072824223,-0.000018163,-0.000013913,-0.000019993,-0.000019771,-0.000017673,-0.00001912,-0.000018084,-0.000023467,0.0000502424,-4.02272E-6,-0.000011876,-0.000011226,-5.140335E-7,1.7188156E-8,2.6893698E-6,1.7687961E-6,2.7462434E-6,4.1001579E-6,1.5417584E-6,2.8201179E-6,9.5926308E-7
1.7072824223,-0.000042075,-0.000029802,-0.000039303,-0.000038717,-0.000038682,-0.000042606,-0.000041663,-0.000041018,-4.02272E-6,0.0000692659,0.0000446085,0.0000436604,3.7000363E-7,7.4512209E-9,8.7309291E-7,-8.92035E-7,-1.595933E-6,8.6531335E-7,-1.668956E-6,-1.11566E-6,-8.380272E-7
1.7072824223,-0.000040636,-0.000028649,-0.000036756,-0.000037545,-0.000036705,-0.0000398,-0.000040355,-0.000039393,-0.000011876,0.0000446085,0.0001012802,0.0000501051,7.2083601E-7,3.4761944E-9,6.2850742E-7,-5.378225E-7,-2.311219E-6,1.0305463E-6,-2.475025E-6,-1.849945E-6,-2.354578E-6
1.7072824223,-0.000036661,-0.000024745,-0.000033169,-0.000034195,-0.000032418,-0.00003451,-0.000035237,-0.000033616,-0.000011226,0.0000436604,0.0000501051,0.0001244317,3.601081E-7,6.1234743E-9,7.9564873E-7,-2.939763E-7,-2.414216E-6,1.2502828E-6,-1.383983E-6,-1.631794E-6,-3.586589E-6
1.7072824223,-9.737972E-6,-9.476449E-6,-9.016975E-6,-8.462391E-6,-8.856989E-6,-8.734406E-6,-8.727541E-6,-9.0585E-6,-5.140335E-7,3.7000363E-7,7.2083601E-7,3.601081E-7,2.6887887E-6,-1.088366E-7,-2.650552E-7,-2.557952E-7,-3.893007E-7,-3.474187E-7,-2.027587E-7,-4.160588E-7,-3.200629E-7
1.7072824223,3.3549644E-7,3.2856605E-7,3.1268592E-7,2.971938E-7,3.0615647E-7,3.0135112E-7,3.0771631E-7,3.1567314E-7,1.7188156E-8,7.4512209E-9,3.4761944E-9,6.1234743E-9,-1.088366E-7,4.8399127E-9,7.5300248E-9,7.4484879E-9,1.0516225E-8,9.5237629E-9,6.4493873E-9,9.289681E-9,6.5830374E-9
1.7072824223,-4.393568E-6,-0.000106004,-9.013257E-6,-8.622189E-6,-9.015614E-6,-7.200327E-6,-7.881166E-6,-6.345862E-6,2.6893698E-6,8.7309291E-7,6.2850742E-7,7.9564873E-7,-2.650552E-7,7.5300248E-9,0.0000286211,9.4228874E-7,9.4685943E-7,9.0776904E-7,8.0408688E-7,9.3224736E-7,7.0311711E-7
1.7072824223,-3.043247E-6,-5.535708E-6,-0.000031081,-9.679858E-6,-6.253266E-6,-7.079101E-6,-7.223872E-6,-5.371217E-6,1.7687961E-6,-8.92035E-7,-5.378225E-7,-2.939763E-7,-2.557952E-7,7.4484879E-9,9.4228874E-7,5.4044977E-6,1.0461799E-6,9.5355942E-7,9.0746085E-7,1.0019954E-6,7.5245159E-7
1.7072824223,-1.882139E-6,-3.75667E-6,-7.838327E-6,-0.000072703,-4.82881E-6,-5.665249E-6,-5.826666E-6,-4.648369E-6,2.7462434E-6,-1.595933E-6,-2.311219E-6,-2.414216E-6,-3.893007E-7,1.0516225E-8,9.4685943E-7,1.0461799E-6,0.0000123306,9.9578567E-7,9.5500929E-7,1.0670391E-6,8.8278027E-7
1.7072824223,-5.599835E-6,-6.66791E-6,-8.306189E-6,-8.402835E-6,-0.000072813,-8.031841E-6,-0.000010325,-7.918766E-6,4.1001579E-6,8.6531335E-7,1.0305463E-6,1.2502828E-6,-3.474187E-7,9.5237629E-9,9.0776904E-7,9.5355942E-7,9.9578567E-7,0.0000177865,8.7796923E-7,1.2120134E-6,7.7457034E-7
1.7072824223,-2.672825E-6,-4.38068E-6,-6.595304E-6,-6.923674E-6,-5.443103E-6,-0.000035129,-7.744086E-6,-5.373927E-6,1.5417584E-6,-1.668956E-6,-2.475025E-6,-1.383983E-6,-2.027587E-7,6.4493873E-9,8.0408688E-7,9.0746085E-7,9.5500929E-7,8.7796923E-7,7.023432E-6,1.0624956E-6,8.1222646E-7
1.7072824223,-1.590309E-6,-3.22179E-6,-5.516069E-6,-5.759768E-6,-5.666235E-6,-6.382677E-6,-0.000081126,-5.099134E-6,2.8201179E-6,-1.11566E-6,-1.849945E-6,-1.631794E-6,-4.160588E-7,9.289681E-9,9.3224736E-7,1.0019954E-6,1.0670391E-6,1.2120134E-6,1.0624956E-6,0.0000140073,9.54993E-7
1.7072824223,-9.459371E-7,-2.628633E-6,-3.505108E-6,-4.22725E-6,-4.024435E-6,-3.90451E-6,-4.708878E-6,-0.000014756,9.5926308E-7,-8.380272E-7,-2.354578E-6,-3.586589E-6,-3.200629E-7,6.5830374E-9,7.0311711E-7,7.5245159E-7,8.8278027E-7,7.7457034E-7,8.1222646E-7,9.54993E-7,2.8326175E-6
