_RMSE_,year95,year96,year97,year98,year99,year00,year01,year02,year03,year04,year05,gender,dummy_educ2,dummy_educ3,dummy_educ4,age,age_2,exper1,exper2,exper3,exper4,exper5,exper6,exper7
0.3669086562,0.6806428927,0.6692823102,0.635384126,0.6388968879,0.6318407965,0.6495700933,0.6379074592,0.6464302902,0.6514118678,0.6573482703,0.6591576177,-0.010902663,0.0002063367,0.0252267136,0.0299033772,0.0039158475,-0.000155641,-0.009851281,0.0078308529,0.0070918893,-0.001785023,0.0108300201,0.0266601738,0.0075266719
0.3669086562,0.0000238307,0.000013356,0.0000133339,0.000013309,0.0000132627,0.0000131552,0.0000131716,0.0000131712,0.000013147,0.0000132161,0.0000131992,-1.129385E-6,-3.670877E-6,-3.454979E-6,-2.931845E-6,-4.841208E-7,1.2686188E-8,-1.317594E-6,-1.184742E-6,-1.038334E-6,-1.351388E-6,-1.140357E-6,-9.245999E-7,-1.05353E-6
0.3669086562,0.000013356,0.0000219971,0.0000131546,0.0000131328,0.0000130876,0.0000129848,0.0000130008,0.0000130012,0.0000129775,0.000013045,0.0000130311,-1.150105E-6,-3.675038E-6,-3.449236E-6,-2.906053E-6,-4.911327E-7,1.2694893E-8,-1.274167E-6,-1.15473E-6,-1.025934E-6,-1.33406E-6,-1.117314E-6,-8.807999E-7,-1.054919E-6
0.3669086562,0.0000133339,0.0000131546,0.0000214929,0.000013118,0.0000130743,0.000012974,0.0000129909,0.0000129922,0.0000129699,0.0000130378,0.0000130253,-1.181832E-6,-3.711986E-6,-3.487788E-6,-2.905758E-6,-4.935481E-7,1.2648555E-8,-1.2653E-6,-1.14189E-6,-1.00961E-6,-1.312844E-6,-1.106397E-6,-8.687493E-7,-1.046657E-6
0.3669086562,0.000013309,0.0000131328,0.000013118,0.0000214237,0.0000130579,0.0000129604,0.000012979,0.0000129814,0.0000129604,0.0000130286,0.0000130173,-1.175383E-6,-3.761646E-6,-3.556947E-6,-2.96316E-6,-4.982891E-7,1.2749386E-8,-1.264444E-6,-1.12607E-6,-1.003993E-6,-1.278288E-6,-1.104329E-6,-8.549563E-7,-1.034396E-6
0.3669086562,0.0000132627,0.0000130876,0.0000130743,0.0000130579,0.0000213787,0.0000129255,0.0000129459,0.0000129503,0.0000129318,0.0000130009,0.0000129912,-1.171839E-6,-3.806997E-6,-3.644733E-6,-3.042018E-6,-5.006296E-7,1.2788673E-8,-1.278375E-6,-1.104464E-6,-9.645885E-7,-1.25786E-6,-1.090994E-6,-8.420054E-7,-1.011211E-6
0.3669086562,0.0000131552,0.0000129848,0.000012974,0.0000129604,0.0000129255,0.0000211863,0.0000128602,0.000012867,0.0000128517,0.0000129216,0.0000129142,-1.183333E-6,-3.87116E-6,-3.729576E-6,-3.108106E-6,-5.045623E-7,1.2815542E-8,-1.274311E-6,-1.069401E-6,-9.247967E-7,-1.235373E-6,-1.065803E-6,-8.167311E-7,-9.753568E-7
0.3669086562,0.0000131716,0.0000130008,0.0000129909,0.000012979,0.0000129459,0.0000128602,0.0000211517,0.0000128936,0.0000128799,0.0000129508,0.0000129447,-1.16629E-6,-3.931244E-6,-3.82364E-6,-3.192205E-6,-5.033362E-7,1.2733523E-8,-1.283517E-6,-1.055318E-6,-9.306733E-7,-1.215486E-6,-1.070617E-6,-8.126712E-7,-9.602876E-7
0.3669086562,0.0000131712,0.0000130012,0.0000129922,0.0000129814,0.0000129503,0.000012867,0.0000128936,0.0000209037,0.0000128936,0.0000129659,0.0000129618,-1.1655E-6,-3.992815E-6,-3.91436E-6,-3.238819E-6,-4.970396E-7,1.2490546E-8,-1.330298E-6,-1.040389E-6,-9.144883E-7,-1.229768E-6,-1.076634E-6,-8.092633E-7,-9.52909E-7
0.3669086562,0.000013147,0.0000129775,0.0000129699,0.0000129604,0.0000129318,0.0000128517,0.0000128799,0.0000128936,0.0000207432,0.0000129578,0.0000129553,-1.174363E-6,-4.033303E-6,-3.985437E-6,-3.266539E-6,-4.980892E-7,1.2470108E-8,-1.345591E-6,-1.017555E-6,-8.843057E-7,-1.223244E-6,-1.069871E-6,-8.008569E-7,-9.320024E-7
0.3669086562,0.0000132161,0.000013045,0.0000130378,0.0000130286,0.0000130009,0.0000129216,0.0000129508,0.0000129659,0.0000129578,0.0000207622,0.000013031,-1.164074E-6,-4.070281E-6,-4.035874E-6,-3.301787E-6,-4.98492E-7,1.2411115E-8,-1.378343E-6,-1.022444E-6,-8.73589E-7,-1.233882E-6,-1.078424E-6,-8.039384E-7,-9.248733E-7
0.3669086562,0.0000131992,0.0000130311,0.0000130253,0.0000130173,0.0000129912,0.0000129142,0.0000129447,0.0000129618,0.0000129553,0.000013031,0.0000204238,-1.188633E-6,-4.113087E-6,-4.119399E-6,-3.343733E-6,-4.945128E-7,1.2206284E-8,-1.364907E-6,-1.011234E-6,-8.500371E-7,-1.247466E-6,-1.084999E-6,-7.957053E-7,-9.191425E-7
0.3669086562,-1.129385E-6,-1.150105E-6,-1.181832E-6,-1.175383E-6,-1.171839E-6,-1.183333E-6,-1.16629E-6,-1.1655E-6,-1.174363E-6,-1.164074E-6,-1.188633E-6,6.7288386E-6,7.8585501E-8,-1.053459E-6,-1.757365E-6,-1.352457E-8,6.246424E-10,1.8156244E-7,1.3448462E-7,1.8083868E-7,2.3123098E-7,7.4474504E-8,8.5972683E-8,-6.78918E-10
0.3669086562,-3.670877E-6,-3.675038E-6,-3.711986E-6,-3.761646E-6,-3.806997E-6,-3.87116E-6,-3.931244E-6,-3.992815E-6,-4.033303E-6,-4.070281E-6,-4.113087E-6,7.8585501E-8,5.3770536E-6,3.744787E-6,3.627343E-6,-6.216665E-9,1.5214058E-9,2.4712638E-7,-3.606754E-8,-7.458942E-8,7.8416178E-8,-8.972919E-8,-5.692751E-9,-2.951168E-8
0.3669086562,-3.454979E-6,-3.449236E-6,-3.487788E-6,-3.556947E-6,-3.644733E-6,-3.729576E-6,-3.82364E-6,-3.91436E-6,-3.985437E-6,-4.035874E-6,-4.119399E-6,-1.053459E-6,3.744787E-6,7.4463778E-6,4.0954769E-6,4.6799866E-8,5.635407E-10,2.5671957E-7,-1.25224E-8,-1.531885E-7,8.3834708E-8,-8.707164E-8,-9.740836E-8,-1.517748E-7
0.3669086562,-2.931845E-6,-2.906053E-6,-2.905758E-6,-2.96316E-6,-3.042018E-6,-3.108106E-6,-3.192205E-6,-3.238819E-6,-3.266539E-6,-3.301787E-6,-3.343733E-6,-1.757365E-6,3.627343E-6,4.0954769E-6,0.0000110594,2.7465214E-8,4.711583E-10,2.3265646E-7,-3.111378E-9,-2.010496E-7,6.1265001E-8,-4.352559E-8,-1.304631E-7,-2.18611E-7
0.3669086562,-4.841208E-7,-4.911327E-7,-4.935481E-7,-4.982891E-7,-5.006296E-7,-5.045623E-7,-5.033362E-7,-4.970396E-7,-4.980892E-7,-4.98492E-7,-4.945128E-7,-1.352457E-8,-6.216665E-9,4.6799866E-8,2.7465214E-8,1.3144586E-7,-3.888024E-9,-3.58379E-8,-2.43333E-8,-3.568512E-8,-3.565283E-8,-1.870806E-8,-4.438074E-8,-2.824452E-8
0.3669086562,1.2686188E-8,1.2694893E-8,1.2648555E-8,1.2749386E-8,1.2788673E-8,1.2815542E-8,1.2733523E-8,1.2490546E-8,1.2470108E-8,1.2411115E-8,1.2206284E-8,6.246424E-10,1.5214058E-9,5.635407E-10,4.711583E-10,-3.888024E-9,1.273355E-10,1.0174731E-9,6.882938E-10,9.32104E-10,9.570475E-10,5.693036E-10,9.254503E-10,6.992193E-10
0.3669086562,-1.317594E-6,-1.274167E-6,-1.2653E-6,-1.264444E-6,-1.278375E-6,-1.274311E-6,-1.283517E-6,-1.330298E-6,-1.345591E-6,-1.378343E-6,-1.364907E-6,1.8156244E-7,2.4712638E-7,2.5671957E-7,2.3265646E-7,-3.58379E-8,1.0174731E-9,3.0100748E-6,1.2261031E-7,1.4307181E-7,1.5555506E-7,1.5400303E-7,1.5315471E-7,1.5147004E-7
0.3669086562,-1.184742E-6,-1.15473E-6,-1.14189E-6,-1.12607E-6,-1.104464E-6,-1.069401E-6,-1.055318E-6,-1.040389E-6,-1.017555E-6,-1.022444E-6,-1.011234E-6,1.3448462E-7,-3.606754E-8,-1.25224E-8,-3.111378E-9,-2.43333E-8,6.882938E-10,1.2261031E-7,8.5653719E-7,1.1022674E-7,1.493212E-7,1.3692948E-7,1.4031515E-7,1.4263964E-7
