_RMSE_,year96,year97,year98,year99,year00,year01,year02,year03,year04,year05,age
0.2903840613,0.0955432749,0.1010812332,0.0828987649,0.0073699764,0.0838235032,0.0656878023,-0.024931705,0.0802218704,0.0730206929,0.1011826385,-0.001035232
0.2903840613,5.5173166E-6,6.3452092E-7,6.2870388E-7,6.2551789E-7,6.2798426E-7,6.3142305E-7,6.3745471E-7,6.3752045E-7,6.3978146E-7,6.4403531E-7,-5.944264E-8
0.2903840613,6.3452092E-7,5.262367E-6,6.2271501E-7,6.1955937E-7,6.2200224E-7,6.2540827E-7,6.3138248E-7,6.3144759E-7,6.3368707E-7,6.379004E-7,-5.887641E-8
0.2903840613,6.2870388E-7,6.2271501E-7,4.9372697E-6,6.138795E-7,6.1629998E-7,6.1967478E-7,6.2559422E-7,6.2565874E-7,6.2787768E-7,6.3205238E-7,-5.833665E-8
0.2903840613,6.2551789E-7,6.1955937E-7,6.138795E-7,4.7905497E-6,6.1317684E-7,6.1653454E-7,6.2242398E-7,6.2248818E-7,6.2469588E-7,6.2884942E-7,-5.804103E-8
0.2903840613,6.2798426E-7,6.2200224E-7,6.1629998E-7,6.1317684E-7,4.5549967E-6,6.1896549E-7,6.2487815E-7,6.249426E-7,6.27159E-7,6.3132892E-7,-5.826988E-8
0.2903840613,6.3142305E-7,6.2540827E-7,6.1967478E-7,6.1653454E-7,6.1896549E-7,4.3347307E-6,6.2829993E-7,6.2836473E-7,6.3059327E-7,6.3478603E-7,-5.858896E-8
0.2903840613,6.3745471E-7,6.3138248E-7,6.2559422E-7,6.2242398E-7,6.2487815E-7,6.2829993E-7,3.9129247E-6,6.3436717E-7,6.36617E-7,6.4084981E-7,-5.914863E-8
0.2903840613,6.3752045E-7,6.3144759E-7,6.2565874E-7,6.2248818E-7,6.249426E-7,6.2836473E-7,6.3436717E-7,3.6584931E-6,6.3668266E-7,6.409159E-7,-5.915473E-8
0.2903840613,6.3978146E-7,6.3368707E-7,6.2787768E-7,6.2469588E-7,6.27159E-7,6.3059327E-7,6.36617E-7,6.3668266E-7,3.4292419E-6,6.4318896E-7,-5.936453E-8
0.2903840613,6.4403531E-7,6.379004E-7,6.3205238E-7,6.2884942E-7,6.3132892E-7,6.3478603E-7,6.4084981E-7,6.409159E-7,6.4318896E-7,3.1741458E-6,-5.975924E-8
0.2903840613,-5.944264E-8,-5.887641E-8,-5.833665E-8,-5.804103E-8,-5.826988E-8,-5.858896E-8,-5.914863E-8,-5.915473E-8,-5.936453E-8,-5.975924E-8,5.5156094E-9
