_RMSE_,year95,year96,year97,year98,year99,year00,year01,year02,year03,year04,year05,gender,dummy_educ2,dummy_educ3,dummy_educ4,age,age_2,exper1,exper2,exper3,exper4,exper5,exper6,exper7
0.6075965834,0.7932808681,0.8027216671,0.8313159291,0.8406944524,0.738125765,0.7294515479,0.689165358,0.5930492482,0.5858748948,0.5818547332,0.6169590877,-0.259471182,0.1630035601,0.564725545,1.3239389549,0.0259538157,-0.00042814,0.0357658233,0.0234808339,0.0626059872,0.0255189378,0.0244481574,0.0966399401,0.0460773316
0.6075965834,0.0000565553,0.0000315578,0.0000315439,0.0000314613,0.0000312594,0.00003126,0.0000312317,0.000031186,0.0000312372,0.0000313057,0.0000312283,-3.046613E-6,-0.000010217,-9.847717E-6,-8.492547E-6,-1.399642E-6,3.5955545E-8,-2.832308E-6,-2.527572E-6,-2.186447E-6,-2.924663E-6,-2.40758E-6,-1.764811E-6,-2.267705E-6
0.6075965834,0.0000315578,0.0000553333,0.0000316226,0.0000315426,0.0000313468,0.0000313503,0.0000313243,0.0000312822,0.0000313354,0.000031406,0.0000313316,-3.142221E-6,-0.000010337,-9.948619E-6,-8.478454E-6,-1.410682E-6,3.5964274E-8,-2.828729E-6,-2.497809E-6,-2.17637E-6,-2.891689E-6,-2.390504E-6,-1.743018E-6,-2.256573E-6
0.6075965834,0.0000315439,0.0000316226,0.0000553452,0.0000315426,0.0000313541,0.0000313629,0.0000313391,0.0000313005,0.0000313548,0.0000314281,0.0000313577,-3.137803E-6,-0.00001047,-0.000010159,-8.657158E-6,-1.422139E-6,3.6202366E-8,-2.801701E-6,-2.468031E-6,-2.171948E-6,-2.817631E-6,-2.382882E-6,-1.710169E-6,-2.234517E-6
0.6075965834,0.0000314613,0.0000315426,0.0000315426,0.000055346,0.0000312975,0.0000313133,0.0000312947,0.0000312628,0.0000313218,0.0000313979,0.0000313323,-3.107003E-6,-0.00001063,-0.000010391,-8.861758E-6,-1.430231E-6,3.6408676E-8,-2.853619E-6,-2.416315E-6,-2.074837E-6,-2.762315E-6,-2.352008E-6,-1.67822E-6,-2.180925E-6
0.6075965834,0.0000312594,0.0000313468,0.0000313541,0.0000312975,0.0000552263,0.0000311596,0.0000311466,0.0000311239,0.0000311881,0.0000312685,0.00003121,-3.157661E-6,-0.0000108,-0.000010627,-9.031945E-6,-1.444804E-6,3.657976E-8,-2.826402E-6,-2.33447E-6,-1.984441E-6,-2.702127E-6,-2.293764E-6,-1.614567E-6,-2.094023E-6
0.6075965834,0.00003126,0.0000313503,0.0000313629,0.0000313133,0.0000311596,0.0000552401,0.0000311846,0.0000311685,0.0000312376,0.0000313217,0.0000312682,-3.094118E-6,-0.000010985,-0.000010904,-9.317979E-6,-1.444785E-6,3.6402728E-8,-2.84042E-6,-2.281798E-6,-1.961907E-6,-2.639535E-6,-2.298589E-6,-1.592087E-6,-2.0415E-6
0.6075965834,0.0000312317,0.0000313243,0.0000313391,0.0000312947,0.0000311466,0.0000311846,0.0000540054,0.0000311722,0.0000312453,0.0000313337,0.0000312848,-3.10248E-6,-0.000011125,-0.000011098,-9.385975E-6,-1.430401E-6,3.5857176E-8,-2.944822E-6,-2.23641E-6,-1.924435E-6,-2.662407E-6,-2.305315E-6,-1.582094E-6,-2.02533E-6
0.6075965834,0.000031186,0.0000312822,0.0000313005,0.0000312628,0.0000311239,0.0000311685,0.0000311722,0.000053486,0.0000312468,0.0000313393,0.0000312954,-3.102896E-6,-0.000011247,-0.000011321,-9.486647E-6,-1.432662E-6,3.5719158E-8,-2.968932E-6,-2.180944E-6,-1.851794E-6,-2.648399E-6,-2.290475E-6,-1.55786E-6,-1.972979E-6
0.6075965834,0.0000312372,0.0000313354,0.0000313548,0.0000313218,0.0000311881,0.0000312376,0.0000312453,0.0000312468,0.0000532246,0.0000314256,0.0000313841,-3.080121E-6,-0.000011352,-0.000011466,-9.61741E-6,-1.431706E-6,3.5478163E-8,-3.046649E-6,-2.1738E-6,-1.797113E-6,-2.64704E-6,-2.290315E-6,-1.551785E-6,-1.928219E-6
