,edu,exp,id,mar,offer,owage,time,work
0,1,0,0,1,0,415413.40753147146,0,0
1,1,0,0,1,0,19783.598810675463,1,0
2,1,0,0,1,0,388719.22171988524,2,0
3,1,0,0,1,0,42188.38580092127,3,0
4,1,0,0,1,0,-inf,4,0
5,1,0,1,1,1,298198.39459809556,0,1
6,1,1,1,1,1,22075.657616291475,1,1
7,1,2,1,1,1,104747.79464599963,2,1
8,1,3,1,1,1,34589.46902092131,3,1
9,1,4,1,1,0,-inf,4,0
10,1,0,2,1,1,6962.960095612864,0,0
11,1,0,2,1,1,92297.41181640739,1,1
12,1,1,2,1,1,23618.16639125062,2,0
13,1,1,2,1,0,10788.533146180034,3,0
14,1,1,2,1,0,-inf,4,0
15,1,0,3,1,1,5581.421266128559,0,0
16,1,0,3,1,0,58613.45985008283,1,0
17,1,0,3,1,0,3451.0780309009547,2,0
18,1,0,3,1,1,19413.864027065927,3,0
19,1,0,3,1,0,-inf,4,0
20,1,0,4,1,1,13585.855317098178,0,1
21,1,1,4,1,1,91965.99013380945,1,1
22,1,2,4,1,1,15610.726720355906,2,0
23,1,2,4,1,1,138076.07834911052,3,1
24,1,3,4,1,0,-inf,4,0
25,1,0,5,1,1,53473.50461248635,0,1
26,1,1,5,1,1,13053.539068690356,1,1
27,1,2,5,1,1,42668.990014682306,2,1
28,1,3,5,1,1,52544.33412349542,3,1
29,1,4,5,1,0,-inf,4,0
30,1,0,6,1,0,30149.883758905533,0,0
31,1,0,6,1,1,45672.16748170302,1,1
32,1,1,6,1,1,8300.792766987199,2,1
33,1,2,6,1,1,101412.55948515759,3,1
34,1,3,6,1,0,-inf,4,0
35,1,0,7,1,0,2931.939060148299,0,0
36,1,0,7,1,1,40944.17875434383,1,1
37,1,1,7,1,1,52594.11639915334,2,1
38,1,2,7,1,1,6916.6723972330155,3,0
39,1,2,7,1,0,-inf,4,0
40,1,0,8,1,1,20676.930315934653,0,1
41,1,1,8,1,1,46627.79142658194,1,1
42,1,2,8,1,1,8161.105295527814,2,0
43,1,2,8,1,1,47204.37516424986,3,0
44,1,2,8,1,0,-inf,4,0
45,1,0,9,1,0,9206.724555078696,0,0
46,1,0,9,1,0,56390.33096942871,1,0
47,1,0,9,1,0,80176.45078641783,2,0
48,1,0,9,1,1,91645.76695338805,3,0
49,1,0,9,1,0,-inf,4,0
50,1,0,10,1,1,26960.29914626492,0,1
51,1,1,10,1,1,26375.62359372181,1,1
52,1,2,10,1,1,6028.783843773146,2,0
53,1,2,10,1,0,14627.45592913086,3,0
54,1,2,10,1,0,-inf,4,0
55,1,0,11,1,1,15292.242063707135,0,1
56,1,1,11,1,1,5143.089265592585,1,0
57,1,1,11,1,1,39437.52694033836,2,0
58,1,1,11,1,0,57613.60346464214,3,0
59,1,1,11,1,0,-inf,4,0
60,1,0,12,1,0,15568.666291102834,0,0
61,1,0,12,1,1,76910.31436675633,1,1
62,1,1,12,1,1,7745.595526411979,2,0
63,1,1,12,1,0,5979.427637034791,3,0
64,1,1,12,1,0,-inf,4,0
65,1,0,13,1,1,25079.8339992649,0,1
66,1,1,13,1,1,65332.119244587106,1,1
67,1,2,13,1,1,35630.532873697026,2,0
68,1,2,13,1,1,65454.82821546429,3,1
69,1,3,13,1,0,-inf,4,0
70,1,0,14,1,0,9027.47378655277,0,0
71,1,0,14,1,1,89979.63991727769,1,1
72,1,1,14,1,1,11575.793577323026,2,0
73,1,1,14,1,1,46366.19413206655,3,0
74,1,1,14,1,0,-inf,4,0
75,1,0,15,1,1,5255.823894330023,0,0
76,1,0,15,1,0,30532.87696306703,1,0
77,1,0,15,1,0,49732.290644080516,2,0
78,1,0,15,1,1,18922.147862817645,3,1
79,1,1,15,1,0,-inf,4,0
80,1,0,16,1,1,24755.512318158133,0,0
81,1,0,16,1,0,10910.201330248943,1,0
82,1,0,16,1,0,35661.19001340695,2,0
83,1,0,16,1,1,7750.211030547823,3,0
