year,skills,newCodeA,tenure,type,group,weight,A1age,A1age2,A1age3,A1cons
1995,1,1,0,1,1,110.8882,-.0075766,.0002543,-2.59e-06,.0971186
1995,1,1,1,1,1,73.38662,-.0306039,.0009029,-8.14e-06,.3369428
1995,1,1,2,1,1,77.05524,-.0687126,.00185,-.0000156,.8203658
1995,1,1,3,1,1,57.81555,-.0257768,.0007834,-7.15e-06,.2709643
1995,1,1,4,1,1,11.85608,-.2096359,.0049951,-.0000384,2.864943
1995,1,1,5,1,1,60.20547,-.0015726,.0000659,-4.08e-07,.0088107
1995,1,1,0,2,2,731.1118,.0155348,-.0003394,2.25e-06,-.186121
1995,1,1,1,2,2,514.6134,.0075618,-.0000625,-4.47e-07,-.1334928
1995,1,1,2,2,2,577.9448,-.0154509,.0004974,-4.68e-06,.1567221
1995,1,1,3,2,2,273.1844,-.0131984,.0004531,-4.44e-06,.1237796
1995,1,1,4,2,2,45.14392,.0706538,-.0015919,.0000116,-.9658434
1995,1,1,5,2,2,566.7945,-.0336152,.0009652,-8.42e-06,.3719187
1995,2,1,0,1,3,346.3104,-.0093862,.0003511,-3.71e-06,.0897712
1995,2,1,1,1,3,264.0153,-.0292422,.0008469,-7.52e-06,.3306383
1995,2,1,2,1,3,302.4,-.0595899,.001644,-.0000141,.6935565
1995,2,1,3,1,3,226.1066,-.067883,.0018765,-.0000162,.7881024
1995,2,1,4,1,3,15.53418,-.0518906,.0014365,-.0000125,.6157185
1995,2,1,5,1,3,208.0754,-.0815236,.0021489,-.0000178,.9881239
1995,2,1,0,2,4,1639.69,.0046058,-.0000115,-7.15e-07,-.081136
1995,2,1,1,2,4,1359.985,-.0031006,.0001737,-2.03e-06,.0120214
1995,2,1,2,2,4,1546.6,-.0174495,.0005674,-5.37e-06,.1703353
1995,2,1,3,2,4,708.8934,-.0277094,.0008208,-7.38e-06,.3027348
1995,2,1,4,2,4,84.46582,-.0174389,.0005789,-5.63e-06,.173626
1995,2,1,5,2,4,1342.925,-.0628648,.001679,-.000014,.7513425
1995,3,1,0,1,5,178.0364,-.0233616,.0007521,-7.22e-06,.2341309
1995,3,1,1,1,5,157.3287,-.0384886,.0011124,-9.90e-06,.4300641
1995,3,1,2,1,5,225.1814,-.0494407,.0013803,-.000012,.5703191
1995,3,1,3,1,5,89.19257,-.0353725,.0010043,-8.78e-06,.4047703
1995,3,1,4,1,5,14.8669,.0987243,-.0021472,.0000154,-1.45269
1995,3,1,5,1,5,214.0284,-.0798336,.0021212,-.0000177,.9659056
1995,3,1,0,2,6,1190.964,.0254355,-.0005491,3.71e-06,-.3372048
1995,3,1,1,2,6,974.6713,.0228983,-.0004618,2.94e-06,-.3260419
1995,3,1,2,2,6,999.8186,.0049449,.0000255,-1.17e-06,-.1246169
1995,3,1,3,2,6,386.8074,.0075156,-9.39e-06,-1.12e-06,-.1724984
1995,3,1,4,2,6,117.1331,.0421458,-.0008152,4.88e-06,-.6446863
1995,3,1,5,2,6,1198.972,-.0376696,.0010667,-9.23e-06,.4237287
1995,2,2,0,1,3,68.61091,-.0329929,.0008825,-7.62e-06,.4299629
1995,2,2,1,1,3,51.05289,.0185107,-.0003812,2.40e-06,-.2460095
1995,2,2,2,1,3,58.76305,.004947,.0000406,-1.53e-06,-.1220158
1995,2,2,3,1,3,17.34939,-.1375536,.0036228,-.0000304,1.685644
1995,2,2,4,1,3,1.016832,1.25553,-.0347758,.0003139,-14.8058
1995,2,2,5,1,3,16.84538,-.0453301,.0010911,-8.16e-06,.610078
1995,2,2,0,2,4,471.3891,.0264103,-.0006007,4.24e-06,-.3279666
1995,2,2,1,2,4,372.9471,.0387963,-.000926,7.03e-06,-.4834207
1995,2,2,2,2,4,358.237,.0116703,-.0001767,5.79e-07,-.1818797
1995,2,2,3,2,4,134.6506,-.0061114,.0003452,-4.18e-06,.0040311
1995,2,2,4,2,4,12.98317,.0889829,-.001955,.0000131,-1.154511
1995,2,2,5,2,4,191.1546,.0262517,-.0004893,2.78e-06,-.4014993
1995,3,2,0,1,5,228.2301,-.0190238,.0003312,-1.99e-06,.3829003
1995,3,2,1,1,5,193.1799,.0100434,-.0003468,3.15e-06,-.0192904
1995,3,2,2,1,5,180.0838,.0082737,-.0002069,1.49e-06,-.0620683
1995,3,2,3,1,5,108.6867,.045121,-.001106,8.52e-06,-.5418037
1995,3,2,4,1,5,87.64082,.0653381,-.0016054,.0000124,-.7983256
1995,3,2,5,1,5,758.5195,.0308814,-.0005972,3.58e-06,-.4648345
1995,3,2,0,2,6,1626.77,-.0281808,.0005147,-3.17e-06,.5273978
1995,3,2,1,2,6,1434.82,-.0114429,.0001312,-2.94e-07,.2903357
1995,3,2,2,2,6,1208.916,.0241542,-.000631,5.08e-06,-.2491183
1995,3,2,3,2,6,754.3133,.042266,-.001154,9.59e-06,-.4248034
1995,3,2,4,2,6,514.3592,.0078531,-.0004329,4.66e-06,.1080399
1995,3,2,5,2,6,4195.48,.0533034,-.0012256,9.03e-06,-.7071427
1995,1,3,0,1,1,80.42777,-.0041909,.0000385,-1.22e-07,.1435202
1995,1,3,1,1,1,53.63691,-.0295505,.0007653,-6.46e-06,.4034233
1995,1,3,2,1,1,33.17198,.0439231,-.0009536,6.66e-06,-.6154873
1995,1,3,3,1,1,55.58633,.0188615,-.0003372,1.71e-06,-.2828016
1995,1,3,4,1,1,6.764897,-.1796015,.0043829,-.0000346,2.415862
1995,1,3,5,1,1,106.1108,.0384053,-.00077,4.81e-06,-.5658834
1995,1,3,0,2,2,435.5722,-.0009086,1.41e-06,-6.64e-08,.0701071
1995,1,3,1,2,2,308.3631,.0146293,-.000332,2.30e-06,-.1658281
1995,1,3,2,2,2,333.828,.0285522,-.0005861,3.79e-06,-.4061168
1995,1,3,3,2,2,304.4137,-.0076477,.0002326,-2.09e-06,.0983253
1995,1,3,4,2,2,31.2351,-.0050142,.0002037,-2.39e-06,.0844488
1995,1,3,5,2,2,636.8892,.0285116,-.0005949,3.99e-06,-.4052276
1995,2,3,0,1,3,534.4225,.004608,-.0001768,1.54e-06,.0314352
1995,2,3,1,1,3,341.9797,-.0122059,.0002597,-2.05e-06,.2345196
1995,2,3,2,1,3,285.4806,-.0081373,.0001863,-1.58e-06,.1603028
1995,2,3,3,1,3,318.8327,-.0103089,.0002484,-2.10e-06,.1806061
1995,2,3,4,1,3,132.4148,.0341661,-.0009299,7.71e-06,-.3405524
1995,2,3,5,1,3,1686.289,.0234765,-.0004869,3.06e-06,-.3147658
1995,2,3,0,2,4,2054.578,-.0004718,-.0000418,4.68e-07,.0859647
