sample	newcode	betay1	betay2	betay3	betay4	betay5	betay6	betay7	betay8	betay9	betay10	betay11	betay12
100	1	-.69136	-.71566999	-.71328002	-.69423997	-.71118999	-.70959997	-.70103002	-.67833	-.69613999	-.67903	-.67168999	-.67034
100	2	-.50520003	-.50645	-.50414997	-.49105999	-.50726002	-.47580999	-.46033001	-.45956001	-.49612001	-.47902	-.49349999	-.46223
100	3	-.85106999	-.87493002	-.85228997	-.82507998	-.83693999	-.82529998	-.81041998	-.80480999	-.83903998	-.81579	-.82757998	-.79824001
100	4	-.89655	-.93906999	-.92469001	-.91583002	-.91718	-.91035002	-.90195	-.89565998	-.93713999	-.92107999	-.92988998	-.88902998
100	5	-1.2923	-1.3134	-1.2834001	-1.2726001	-1.2743	-1.2571	-1.237	-1.2289	-1.2627	-1.2256	-1.2247	-1.1941
100	6	-.87563002	-.84338999	-.81379998	-.81598002	-.79654998	-.80221999	-.79013002	-.78845	-.78650999	-.75637001	-.74615002	-.72162002
100	7	-1.1355	-1.1087	-1.0989	-1.0575	-1.0582	-1.0634	-1.0682	-1.0822001	-1.0742	-1.0516	-1.0314	-.99214
100	8	-.81946999	-.82559001	-.82103002	-.81185001	-.80792999	-.79622	-.79180002	-.79888999	-.80684	-.77640998	-.77879	-.73602003
100	9	-1.0671	-1.0724	-1.0711	-1.0651	-1.0842	-1.0944	-1.1047	-1.0915	-1.1032	-1.1019	-1.1121	-1.074
100	10	-1.1144	-1.1233	-1.1151	-1.1267999	-1.1575	-1.1612	-1.149	-1.1207	-1.1258	-1.1393	-1.1291	-1.0967
100	11	-.91007	-.91367	-.91233999	-.91415	-.91939998	-.92072999	-.91025001	-.90723997	-.90518999	-.91360003	-.92123002	-.88205999
100	12	-.74242997	-.73523003	-.74256998	-.73272002	-.74263	-.75237	-.72667998	-.71313	-.71438998	-.71547002	-.71691	-.65463001
100	13	-.89249003	-.86589003	-.87481999	-.87032002	-.87932003	-.88200003	-.8818	-.88925999	-.87923998	-.86070001	-.84803998	-.80221999
100	14	-.77445	-.75670999	-.75989997	-.76042002	-.78043002	-.78353	-.75558001	-.73376	-.76582998	-.73570001	-.73316997	-.71477997
100	15	-.78070998	-.76679999	-.74699998	-.71450001	-.73246002	-.71956998	-.70366001	-.74359	-.71399999	-.70925999	-.71806002	-.70488
100	16	-1.3879	-1.3786	-1.3583	-1.3394001	-1.3467	-1.3353	-1.3214	-1.3207999	-1.3074	-1.3149	-1.2764	-1.2473
100	17	-.88151002	-.88529003	-.8524	-.81875002	-.84112	-.83236998	-.79993999	-.81823999	-.83463001	-.83020997	-.83503002	-.81417
100	18	-1.0448	-1.0483	-1.0276	-1.03	-1.0336	-1.0258	-1.0237	-1.0328	-1.0476	-1.0402	-1.0207	-.99856001
100	19	-1.3415	-1.3318	-1.3144	-1.3006999	-1.2989	-1.2938	-1.2501	-1.251	-1.258	-1.2309999	-1.1985	-1.1842
100	20	-1.8875999	-1.8710001	-1.8758	-1.8522	-1.8835	-1.8708	-1.851	-1.863	-1.8628	-1.8368	-1.8529	-1.8351001
100	21	-1.8918	-1.9035	-1.891	-1.867	-1.8755	-1.8859	-1.8743	-1.8802	-1.8843	-1.8715	-1.8744	-1.8487
100	22	-.86031997	-.84233999	-.83617997	-.83778	-.84129	-.84243	-.84004003	-.84277999	-.85576999	-.84679002	-.83315003	-.79245001
100	23	-.91075999	-.91316998	-.93796998	-.88424999	-.90894002	-.91283	-.91374999	-.89691001	-.89414001	-.90421999	-.90657002	-.87036002
100	24	-1.9933	-1.9641	-1.9441	-1.9411	-1.9349999	-1.9341	-1.9075	-1.901	-1.8904999	-1.8952	-1.8638999	-1.8278
100	25	-1.3879	-1.3874	-1.4107	-1.3947001	-1.4128	-1.4349999	-1.443	-1.4341	-1.4658999	-1.4349999	-1.4457999	-1.3831
100	26	-.79021001	-.81208003	-.78430998	-.77715999	-.80220997	-.80830997	-.77820998	-.75073999	-.73584002	-.71530998	-.70642	-.69875002
100	27	-.67018002	-.65828001	-.64552999	-.64541	-.66465002	-.63844001	-.60914999	-.61574	-.64187998	-.64985001	-.6566	-.63349003
100	28	-1.3472	-1.4112	-1.4254	-1.4431	-1.4651999	-1.4675	-1.4405	-1.4582	-1.4838001	-1.5513	-1.4657	-1.4167
100	29	-1.0929	-1.0826	-1.0504	-1.0323	-1.0472	-1.0190001	-.97351003	-.95633	-.96529001	-.97338998	-.98567998	-.95336002
100	30	-.84152001	-.88717997	-.87437999	-.87988001	-.88299	-.87838	-.85461003	-.79479003	-.84669	-.85114998	-.85762	-.83137
100	31	-1.6124001	-1.6673	-1.6461	-1.6559	-1.677	-1.6670001	-1.6346	-1.5494	-1.6108	-1.6164	-1.6	-1.5913
100	32	-1.0064	-1.0536	-1.0238	-1.0197999	-1.025	-1.0191	-.99322999	-.95955002	-1.0022	-.97487998	-.97531998	-1.001
100	33	-.82611001	-.80653	-.77717	-.76480001	-.76213998	-.76682001	-.73747998	-.72431999	-.70244002	-.69428003	-.70520997	-.69022
100	34	-1.5839	-1.5825	-1.5716	-1.5747	-1.571	-1.5613	-1.5537	-1.5461	-1.5244	-1.5073	-1.4928	-1.4786
100	35	-1.1479	-1.1288	-1.1056	-1.0986	-1.0968	-1.0984	-1.0768	-1.0721	-1.0548	-1.0455	-1.0353	-1.0215
100	36	-1.2302999	-1.2173001	-1.1842	-1.1906	-1.1858	-1.1818	-1.1677999	-1.1619	-1.1443	-1.1423	-1.1365	-1.1193
100	37	-1.7657	-1.7805001	-1.7567	-1.7783	-1.7786	-1.7778	-1.7377	-1.7176	-1.709	-1.6659	-1.6402	-1.5968
100	38	-1.4788001	-1.4773999	-1.4589	-1.4736	-1.4854	-1.49	-1.4716001	-1.4687999	-1.4538	-1.4201	-1.4011	-1.3667001
99	1	-.63622999	-.65243	-.65651	-.63968003	-.66223001	-.66468	-.64516002	-.62531	-.63679999	-.62216997	-.61382997	-.60760999
99	2	-.46603999	-.46601	-.45026001	-.43320999	-.44492999	-.42304	-.40746	-.4014	-.44134	-.42359	-.44086999	-.40685001
99	3	-.80318999	-.82925999	-.80361998	-.77825999	-.79179001	-.77963001	-.76095998	-.75516999	-.79018998	-.76644999	-.77452999	-.74779999
99	4	-.91472	-.95161998	-.93760002	-.93959999	-.93880999	-.93022001	-.92343998	-.90900999	-.95071	-.93151999	-.94655001	-.91431999
99	5	-1.2767	-1.2983	-1.2654999	-1.2593	-1.2574	-1.234	-1.2178	-1.2077	-1.2515	-1.2079999	-1.2183	-1.1822
99	6	-.93976998	-.92084002	-.89371002	-.88437003	-.87053001	-.86127001	-.87673002	-.87207001	-.85474002	-.82874	-.81669003	-.79058999
99	7	-1.1438	-1.115	-1.1016999	-1.0661	-1.0617	-1.0714999	-1.0743001	-1.0895	-1.0827	-1.0506001	-1.0383	-.99687999
99	8	-.79723001	-.80308998	-.80004001	-.79035002	-.79132998	-.77582002	-.77705997	-.77998	-.79009998	-.75577998	-.76210999	-.71719998
99	9	-1.0991	-1.1073	-1.1084	-1.1029	-1.1126	-1.1282001	-1.1388	-1.1235	-1.131	-1.1348	-1.154	-1.1091
99	10	-1.1793	-1.1978	-1.1808	-1.2036999	-1.2279	-1.2325	-1.2164	-1.1971999	-1.1916	-1.2128	-1.205	-1.1705
99	11	-.94414002	-.94743001	-.94818997	-.94676	-.94876999	-.95406002	-.94243002	-.93914998	-.93869001	-.94946998	-.95648003	-.91505003
99	12	-.70638001	-.71100998	-.71654999	-.70638001	-.71219999	-.72204	-.70516002	-.68480003	-.68401003	-.68893999	-.68764001	-.62814999
99	13	-.91613001	-.89362001	-.903	-.89756	-.90587002	-.90831	-.91149998	-.92321998	-.91181999	-.89143002	-.87886	-.83771002
99	14	-.77136999	-.75694001	-.75537997	-.74835998	-.76964003	-.78277999	-.74822998	-.73593003	-.75208002	-.73711002	-.73526001	-.71715999
99	15	-.80098999	-.79806	-.76896	-.74443001	-.75594997	-.74945003	-.73558998	-.76802999	-.73773998	-.73308003	-.73794001	-.73006999
99	16	-1.3945	-1.387	-1.3677	-1.3451999	-1.3563	-1.3501	-1.3375	-1.3379	-1.3229001	-1.3329	-1.2859	-1.26
99	17	-.85465997	-.85715002	-.81884998	-.79466999	-.81322002	-.79877001	-.77201998	-.78112	-.80602002	-.79816997	-.79978001	-.77657002
99	18	-1.0367	-1.0416	-1.0185	-1.0218	-1.0273	-1.0209	-1.0154001	-1.0247	-1.0384001	-1.034	-1.0118999	-.99081999
99	19	-1.3153	-1.3032	-1.2867	-1.273	-1.2706	-1.2637	-1.2229	-1.2273999	-1.2282	-1.2042	-1.1727999	-1.155
99	20	-1.8751	-1.864	-1.87	-1.8417	-1.8776	-1.8631001	-1.84	-1.8514	-1.8503	-1.8296	-1.8431	-1.8324
99	21	-1.9236	-1.9262	-1.9111	-1.8953	-1.8971	-1.9036	-1.898	-1.899	-1.914	-1.9001	-1.8995	-1.8794
99	22	-.86335999	-.84443003	-.84008998	-.83511001	-.83791	-.84680003	-.84191	-.84785002	-.85487998	-.84705001	-.83556998	-.78878999
99	23	-.99479002	-.99829	-1.022	-.97007	-1.0013	-.99515003	-1.0005	-.99352998	-.98940003	-.995	-1.0003	-.96495998
99	24	-1.9752001	-1.9459	-1.9272	-1.9205	-1.9119	-1.9174	-1.8963	-1.8846	-1.8789999	-1.8789001	-1.8514	-1.8083
99	25	-1.3245	-1.3248	-1.3465	-1.3334	-1.3539	-1.3719	-1.3832	-1.3766	-1.3958	-1.3714	-1.3858	-1.3214
99	26	-.84507	-.85895002	-.83969003	-.82440001	-.85650998	-.85320002	-.82839	-.79806	-.78556001	-.76863003	-.75616997	-.75015998
99	27	-.59916002	-.5887	-.57951999	-.57169998	-.58815002	-.57051998	-.53517997	-.54446	-.5668	-.57218999	-.58784002	-.56524998
99	28	-1.3236001	-1.3888	-1.3976001	-1.4289	-1.4457999	-1.4471999	-1.421	-1.4324	-1.4754	-1.5317	-1.4535	-1.4006
99	29	-1.0267	-1.0227	-.98790002	-.97240001	-.9781	-.94527	-.90091997	-.89195001	-.90268999	-.90613002	-.91873002	-.88770998
99	30	-.87616998	-.92123002	-.91077	-.91722	-.92546999	-.91469002	-.88968998	-.83225	-.88564003	-.88296002	-.89126998	-.86962998
99	31	-1.5869	-1.6367	-1.6188999	-1.6229	-1.6396	-1.6312	-1.5991	-1.5182	-1.5761	-1.5901	-1.5634	-1.559
99	32	-1.0299	-1.0748	-1.0452	-1.0404	-1.0398	-1.0398	-1.0168	-.97834003	-1.0228	-.99506998	-.99805999	-1.0163
99	33	-.84820998	-.83468997	-.80207998	-.79022002	-.79158998	-.79592001	-.75572997	-.74869001	-.73166001	-.72052002	-.73043001	-.71416003
99	34	-1.5826	-1.5785	-1.5695	-1.572	-1.5721	-1.5579	-1.5535001	-1.544	-1.5219001	-1.5042	-1.4909	-1.4755
99	35	-1.1397001	-1.1231	-1.0957	-1.0885	-1.0877	-1.0895	-1.0675	-1.0642	-1.0476	-1.0420001	-1.0314	-1.0153
99	36	-1.2226	-1.2126	-1.1779	-1.1824	-1.1769	-1.1754	-1.1625	-1.1561	-1.1368001	-1.1411999	-1.1305	-1.1154
99	37	-1.7781	-1.7874	-1.7726001	-1.7916	-1.7846	-1.7833	-1.7473	-1.7207	-1.7228	-1.6801	-1.6478	-1.6138
99	38	-1.4929	-1.4915	-1.4739	-1.4892	-1.5031	-1.5053	-1.4852	-1.4836	-1.4693	-1.4359	-1.4171	-1.3832999
98	1	-.58411998	-.60943002	-.61083001	-.59012997	-.61654001	-.61563998	-.59439999	-.57481003	-.58143002	-.57217997	-.56116998	-.55743998
98	2	-.40430999	-.40696001	-.40380001	-.38497001	-.39618	-.37797001	-.36737999	-.36047	-.39677	-.37893999	-.39146999	-.36144999
98	3	-.72904998	-.75273001	-.72711003	-.70204002	-.71948999	-.70521998	-.69013	-.68440998	-.71846998	-.69287002	-.70293999	-.67558002
98	4	-.92887002	-.96806002	-.95118999	-.94748002	-.94572997	-.94327003	-.93612999	-.92760003	-.96586001	-.94634002	-.96344	-.92205
98	5	-1.364	-1.3895	-1.3561	-1.3467	-1.3595999	-1.3342	-1.3135	-1.3065	-1.3417	-1.3011	-1.3131	-1.2738
98	6	-.82875001	-.80035001	-.76317	-.75568002	-.75496	-.75344998	-.75406998	-.75391001	-.74387002	-.72439998	-.71569002	-.67308003
98	7	-1.1267	-1.0961	-1.0884	-1.0545	-1.0496	-1.0598	-1.0614001	-1.08	-1.0721999	-1.0448	-1.0238	-.98856997
98	8	-.82257003	-.82722002	-.82525003	-.81083	-.81217998	-.79948002	-.79787999	-.79751998	-.80628997	-.77648997	-.77664	-.74116999
98	9	-1.1245	-1.1278	-1.1325001	-1.125	-1.1356	-1.1426001	-1.1477	-1.1489	-1.1596	-1.1452	-1.1567	-1.1269
98	10	-1.0528001	-1.0752	-1.0588	-1.0838	-1.1035	-1.1064	-1.0946	-1.0741	-1.0765001	-1.0882	-1.0828	-1.0401
98	11	-.90862	-.90941	-.90924001	-.91266	-.91882998	-.92080998	-.9095	-.90701002	-.90815997	-.91294998	-.92129999	-.88265002
98	12	-.76450002	-.76146001	-.76978999	-.75294	-.76068997	-.77456999	-.74606001	-.73108	-.72803998	-.73155999	-.73004001	-.67988002
98	13	-.93510997	-.90582001	-.91605997	-.90965998	-.92352998	-.92451	-.92153001	-.93480003	-.92276001	-.90082997	-.89042002	-.84956002
98	14	-.78806001	-.77034998	-.78477001	-.7755	-.79149997	-.79268998	-.76670998	-.74738997	-.77851999	-.75452	-.74682999	-.72776002
98	15	-.84156001	-.82946002	-.81516999	-.77998	-.78833002	-.79499	-.76822001	-.81230998	-.77906001	-.77455002	-.78873998	-.76255
98	16	-1.4173	-1.408	-1.3879	-1.3696001	-1.3751	-1.3723	-1.3534	-1.3556	-1.341	-1.3522	-1.3094	-1.2833
98	17	-.80320001	-.80425	-.77605999	-.74256003	-.76813	-.75035	-.71926999	-.73776001	-.74747998	-.74463999	-.75098002	-.72771001
