year,skills,employed,newCode,tenure,smoothedAge,q1,q2
1996,1,0,1,0,0,4.728248,3.271752
1996,1,0,1,0,1,7.629021,2.370979
1996,1,0,1,1,1,3.555767,3.444233
1996,1,0,1,0,2,9.500706,4.499294
1996,1,0,1,1,2,10.37335,2.626647
1996,1,0,1,0,3,5.154295,3.845705
1996,1,0,1,0,4,8.053127,4.946873
1996,1,0,1,1,4,4.907061,5.092939
1996,1,0,1,0,5,3.462853,8.537147
1996,1,0,1,1,5,3.00239,3.99761
1996,1,0,1,0,6,4.79811,2.20189
1996,1,0,1,0,7,3.941218,4.058782
1996,1,0,1,1,7,6.516803,1.483197
1996,1,0,1,0,8,5.785791,3.214209
1996,1,0,1,0,9,4.741339,2.258661
1996,1,0,1,1,9,4.915926,2.084074
1996,1,0,1,2,9,4.45377,1.54623
1996,1,0,1,1,10,2.615479,3.384521
1996,1,0,3,1,0,1.593395,6.406605
1996,1,0,3,0,1,3.281929,6.718071
1996,1,0,3,1,1,4.06502,1.93498
1996,1,0,3,0,2,8.167601,5.832399
1996,1,0,3,0,3,3.579421,7.420579
1996,1,0,3,1,3,2.325672,5.674328
1996,1,0,3,2,3,3.286835,3.713165
1996,1,0,3,0,4,5.731632,3.268368
1996,1,0,3,1,4,4.71858,1.28142
1996,1,0,3,0,5,3.262971,3.737029
1996,1,0,3,0,6,4.520533,2.479467
1996,1,0,3,1,6,2.968004,3.031996
1996,1,0,4,0,0,5.89443,.10557
1996,1,0,4,1,0,8.89163,.10837
1996,1,0,4,0,1,2.341365,4.658635
1996,1,0,4,0,2,2.080232,6.919768
1996,1,0,4,1,2,2.126813,6.873187
1996,1,0,4,2,2,1.71413,5.28587
1996,1,0,4,0,3,2.969825,5.030175
1996,1,0,4,1,3,5.020934,4.979066
1996,1,0,4,0,4,1.24236,7.75764
1996,1,0,4,2,4,3.002317,2.997683
1996,1,0,4,0,5,1.996796,5.003204
1996,1,0,4,0,6,3.872298,5.127703
1996,1,0,4,1,7,2.288162,3.711838
1996,1,0,4,0,8,4.204554,2.795446
1996,1,0,5,0,0,11.15529,13.84471
1996,1,0,5,1,0,15.82746,19.17254
1996,1,0,5,2,0,5.552205,6.447795
1996,1,0,5,0,1,8.585887,14.41411
1996,1,0,5,1,1,5.540629,7.459371
1996,1,0,5,2,1,4.961286,5.038714
1996,1,0,5,0,2,11.86908,11.13092
1996,1,0,5,1,2,5.180161,11.81984
1996,1,0,5,2,2,4.38088,3.61912
1996,1,0,5,0,3,11.30439,6.695615
1996,1,0,5,1,3,7.72955,6.27045
1996,1,0,5,2,3,3.384006,9.615994
1996,1,0,5,3,3,2.031222,3.968778
1996,1,0,5,0,4,6.291913,6.708087
1996,1,0,5,1,4,9.181141,6.818859
1996,1,0,5,2,4,1.910752,4.089248
1996,1,0,5,0,5,9.83222,10.16778
1996,1,0,5,1,5,4.169793,6.830207
1996,1,0,5,2,5,4.014268,6.985732
1996,1,0,5,0,6,11.7922,10.2078
1996,1,0,5,1,6,8.157056,4.842944
1996,1,0,5,2,6,4.1502,3.8498
1996,1,0,5,3,6,3.796939,7.203061
1996,1,0,5,5,6,3.627203,2.372797
1996,1,0,5,0,7,2.891641,9.108359
1996,1,0,5,1,7,4.28082,2.71918
1996,1,0,5,0,8,9.415018,10.58498
1996,1,0,5,1,8,2.650164,4.349836
1996,1,0,5,2,8,4.310382,3.689618
1996,1,0,5,0,9,1.833684,6.166316
1996,1,0,5,1,9,3.884355,7.115645
1996,1,0,5,0,10,2.358294,5.641706
1996,1,0,5,2,10,2.851735,4.148265
1996,1,0,5,4,10,2.071151,3.928849
1996,1,0,5,5,10,3.970204,2.029796
1996,1,0,6,0,0,17.43426,22.56574
1996,1,0,6,1,0,23.05184,17.94816
1996,1,0,6,2,0,8.671134,7.328866
1996,1,0,6,0,1,32.42124,21.57876
1996,1,0,6,1,1,18.38449,7.615512
1996,1,0,6,2,1,3.541602,8.458398
1996,1,0,6,3,1,3.966265,3.033735
1996,1,0,6,4,1,3.56076,2.43924
1996,1,0,6,0,2,35.6904,14.3096
1996,1,0,6,1,2,17.5133,14.4867
1996,1,0,6,2,2,11.48356,9.516444
1996,1,0,6,3,2,8.607375,4.392625
1996,1,0,6,4,2,5.664693,2.335307
1996,1,0,6,0,3,29.36049,18.63951
1996,1,0,6,1,3,22.18017,6.819833
