sample	newcode	beta1	beta2	beta3	beta4	beta5	beta6	beta7	beta8	beta9	sigma
0	1	.0094186002	.055380002	.039223	-.0004131	-1.2697999	-.14924	-.91333002	-.10655	-.58130002	.14480001
1	1	.0093235997	.056340002	.036591999	-.00038410001	-1.2253	-.15026	-.88862002	-.10632	-.57058001	.14826
2	1	.0090100998	.055865999	.036481999	-.00038360001	-1.2484	-.14230999	-.93760997	-.10231	-.50805998	.14568999
3	1	.0097148996	.058490001	.040346	-.0004281	-1.2469	-.15199	-.91561002	-.11119	-.51419002	.14738999
4	1	.010062	.053507	.042601999	-.00044910001	-1.3523	-.15143999	-.89082003	-.11021	-.52667999	.14785001
5	1	.0097762998	.055939998	.038559001	-.0004089	-1.2217	-.14667	-.96292001	-.10687	-.53821999	.14266001
6	1	.0095298998	.053235002	.039856002	-.00042289999	-1.28	-.15029	-.83032	-.10589	-.57433999	.14778
7	1	.0092240004	.058120999	.037025001	-.0003864	-1.2817	-.16046999	-.89112002	-.11249	-.57009	.14717001
8	1	.01015	.056456	.041498002	-.0004356	-1.251	-.15459999	-.91487002	-.11544	-.51712	.14354999
9	1	.0087374002	.056584999	.039133999	-.00041149999	-1.3341	-.15899999	-.92885	-.11387	-.57287002	.1478
10	1	.010807	.054568	.040290002	-.0004238	-1.2418	-.15403	-.88142997	-.10882	-.54518998	.14782
11	1	.0091112005	.055408999	.039476998	-.00041730001	-1.2904	-.14532	-.90806001	-.10729	-.54667002	.14583001
12	1	.0076462999	.054567002	.040922001	-.0004285	-1.2776	-.15342	-.92126	-.1068	-.56041002	.14361
13	1	.010582	.057167999	.041774999	-.00044070001	-1.2874	-.15283	-.92479998	-.11412	-.55909997	.14588
14	1	.0087526999	.054846998	.036568001	-.00038069999	-1.2541	-.15389	-.89857	-.10835	-.55892003	.14438
15	1	.0092970999	.054797001	.039686002	-.00041800001	-1.2491	-.14685	-.87335998	-.10348	-.52548999	.14799
16	1	.010478	.055231001	.042401001	-.0004478	-1.2375	-.1515	-.91324002	-.1109	-.50093001	.14632
17	1	.0080054002	.055195	.042629	-.0004478	-1.3053	-.14951	-.88654	-.10874	-.54321003	.14816999
18	1	.0076067001	.056518	.038513999	-.00040300001	-1.2553	-.15829	-.89686	-.1122	-.54653001	.14719
19	1	.0099277003	.056026001	.040713001	-.00042950001	-1.2153	-.14954001	-.85180998	-.10652	-.57767999	.14994
20	1	.0090599004	.054439001	.043370999	-.00045799999	-1.3188	-.15572999	-.90579998	-.10512	-.53091002	.14647999
21	1	.0087842997	.056368001	.035076	-.00036579999	-1.2979	-.1455	-.90184999	-.10128	-.55132002	.14283
22	1	.0075854999	.058426999	.039032999	-.000413	-1.247	-.14548001	-.90439999	-.11014	-.49687001	.14582001
23	1	.010537	.05638	.043551002	-.0004581	-1.3319	-.15838	-.92918998	-.11296	-.54435003	.14691
24	1	.0095057003	.057477001	.040771998	-.00043300001	-1.3109	-.16062	-.91487002	-.11394	-.52113003	.1436
25	1	.0089031998	.056173999	.040408	-.0004247	-1.2837	-.15908	-.90035999	-.11138	-.61176002	.14721
26	1	.0080383997	.057686001	.042369999	-.000447	-1.2196	-.14957	-.87597001	-.10067	-.56873	.149
27	1	.0086251004	.057078	.040906999	-.00042739999	-1.2683001	-.15424	-.88646001	-.11119	-.54067999	.14218
28	1	.0096429996	.058120999	.036329001	-.00037709999	-1.2774	-.1497	-.88033003	-.1121	-.50319999	.14687
29	1	.010229	.054871	.042730998	-.0004553	-1.2862999	-.15024	-.91733003	-.10403	-.52311999	.14586
30	1	.0088315001	.058178	.036400001	-.00038089999	-1.2828	-.14576	-.91412002	-.1019	-.54923999	.14584
31	1	.0098515004	.056439999	.036621001	-.00038700001	-1.2733999	-.15301999	-.90017998	-.1065	-.54101002	.14566
32	1	.0082839997	.058357	.042631999	-.00045250001	-1.2438	-.14948	-.90706998	-.10986	-.53702003	.14617001
33	1	.0088686002	.056910001	.040449999	-.0004237	-1.2057	-.15211	-.89731002	-.10384	-.56050998	.14813
34	1	.0082940999	.057741001	.039058998	-.00041159999	-1.2395999	-.14587	-.87208003	-.10341	-.5575	.14534999
35	1	.010509	.056175001	.042357001	-.0004509	-1.2336	-.15004	-.87173003	-.10279	-.60075003	.14714
36	1	.0099956002	.055497002	.040171999	-.00042249999	-1.2723	-.15519001	-.89304	-.11272	-.66404003	.14348
