sample	newcode	betay1	betay2	betay3	betay4	betay5	betay6	betay7	betay8	betay9	betay10	betay11	betay12
100	1	-.78741997	-.80637997	-.80464	-.79064	-.80869001	-.80245	-.79105002	-.76590002	-.78433001	-.76893997	-.76208001	-.75748003
100	2	-.44521999	-.44648999	-.44283	-.43415999	-.44839999	-.41731	-.39963001	-.39535001	-.43257001	-.41755	-.43338999	-.40127
100	3	-.85176003	-.87431002	-.84830999	-.82384998	-.83243001	-.81932998	-.80492002	-.79816002	-.83451998	-.81309003	-.82472003	-.79491001
100	4	-.82910001	-.86168998	-.83958	-.82936001	-.82933998	-.81937999	-.81295002	-.80807	-.85096002	-.83595997	-.84625	-.80541003
100	5	-1.2306	-1.25	-1.2141	-1.2027	-1.2059	-1.1875	-1.17	-1.1659	-1.2007	-1.1677001	-1.1652	-1.1287
100	6	-.90798002	-.87083	-.85263002	-.85202003	-.83379	-.84276003	-.82962	-.82731998	-.82613999	-.79648	-.77434999	-.75748998
100	7	-1.2309	-1.2042	-1.1976	-1.153	-1.1559	-1.1636	-1.1683	-1.1826	-1.1746	-1.1517	-1.1313	-1.0896
100	8	-.88047999	-.88600999	-.88024998	-.87282002	-.86833	-.85679001	-.85337001	-.86124998	-.86852002	-.84236997	-.84333003	-.80017
100	9	-1.1646	-1.1666	-1.1644	-1.1602	-1.1796	-1.1885999	-1.2043999	-1.1906	-1.1999	-1.1998	-1.2097	-1.1698
100	10	-1.1575	-1.1616	-1.1501	-1.1605999	-1.1905	-1.1925	-1.1848	-1.1538	-1.1588	-1.1738	-1.1651	-1.1349
100	11	-.98063999	-.97915	-.97753	-.98053998	-.98504001	-.98592001	-.97485	-.97193003	-.97132999	-.98229998	-.98865998	-.94598001
100	12	-.88367999	-.87550002	-.88261002	-.87159997	-.87594998	-.88547999	-.86126	-.84726	-.84570998	-.84946001	-.84937	-.78082001
100	13	-.98211002	-.95346999	-.95867997	-.95811999	-.96561998	-.96696001	-.96640003	-.97312999	-.96498001	-.94489002	-.93142998	-.88446999
100	14	-1.0542001	-1.036	-1.0345	-1.0316	-1.0498	-1.051	-1.0239	-1.0027	-1.0351	-1.0132999	-1.0088	-.98659003
100	15	-.83955997	-.83389002	-.81597	-.78667998	-.80150002	-.78727001	-.77284998	-.81041002	-.77873999	-.78204	-.78912997	-.77534002
100	16	-1.4292001	-1.4246	-1.4082	-1.3911	-1.3963	-1.3825999	-1.3655	-1.3638999	-1.3506	-1.3597	-1.3252	-1.2962
100	17	-.87987	-.88780999	-.85407001	-.83098	-.84843999	-.83728999	-.81422001	-.82809001	-.83889002	-.83728999	-.84068	-.81651998
100	18	-1.1153001	-1.1177	-1.0965	-1.098	-1.1016001	-1.0967	-1.0939	-1.1029	-1.1196001	-1.1131999	-1.0939	-1.0695
100	19	-1.3868999	-1.3785	-1.3602	-1.3477	-1.3462	-1.3413	-1.2983	-1.3018	-1.313	-1.3098	-1.2717	-1.249
100	20	-2.0506999	-2.0513	-2.0534999	-2.0421	-2.0625	-2.0411	-2.0352001	-2.0441999	-2.0429001	-2.0193	-2.0269001	-2.0137
100	21	-2.0539	-2.0653	-2.0493	-2.0246999	-2.0337	-2.0439999	-2.0344999	-2.04	-2.0429001	-2.0332	-2.0366001	-2.006
100	22	-.93798	-.92378998	-.91224998	-.91955	-.92157	-.91676998	-.91369998	-.91446	-.92913002	-.92808998	-.91626	-.87775999
100	23	-1.0074	-1.0067	-1.0318	-.99396002	-1.0168	-1.0199	-1.0188	-.99954998	-.99882001	-1.0123	-1.013	-.97131002
100	24	-2.0114	-1.9852	-1.9641	-1.9634	-1.959	-1.9583	-1.9315	-1.9263	-1.9162	-1.9242001	-1.8940001	-1.8562
100	25	-1.579	-1.5781	-1.5948	-1.5867	-1.6048	-1.6252	-1.6329	-1.6208	-1.6538	-1.6274	-1.6404001	-1.5775
100	26	-.96625	-.98848999	-.95683998	-.94769001	-.96597999	-.97182	-.93919998	-.91540003	-.90108001	-.88367999	-.87616998	-.86339998
100	27	-.53236002	-.51552999	-.49527001	-.49926001	-.51915997	-.49377999	-.46507999	-.47545999	-.50282001	-.51229	-.51831001	-.49487001
100	28	-1.307	-1.3446	-1.3386	-1.3426	-1.3504	-1.3441	-1.3173	-1.3371	-1.3667001	-1.439	-1.3566	-1.3132
100	29	-.94612002	-.93032998	-.89200997	-.87010998	-.88701999	-.85922998	-.82055998	-.82692999	-.8373	-.83906001	-.85004997	-.81404001
100	30	-.88849002	-.92430001	-.89684999	-.89739001	-.89555001	-.88953	-.86756998	-.84947002	-.89225	-.88669002	-.88391	-.85631001
100	31	-1.5281	-1.5566	-1.5088	-1.5089	-1.5181	-1.4976	-1.4691	-1.4482	-1.4965	-1.4859999	-1.4547	-1.4220999
100	32	-.98277003	-1.0141	-.97242999	-.95565999	-.96241999	-.96116	-.93944001	-.93603998	-.97136998	-.91167998	-.91358	-.93971002
100	33	-.9156	-.89662999	-.86878997	-.85900998	-.85766	-.86155999	-.83273	-.81954998	-.79876	-.78860003	-.79822999	-.78702003
100	34	-1.5865999	-1.5853	-1.5742	-1.5781	-1.574	-1.5645	-1.5567	-1.549	-1.5278	-1.5107	-1.4965	-1.4821
100	35	-1.169	-1.1495	-1.1272	-1.12	-1.1178	-1.1192	-1.0978	-1.0927	-1.0764	-1.0671	-1.0576	-1.0437
100	36	-1.2753	-1.2615	-1.2286	-1.2363	-1.2314	-1.2279	-1.2135	-1.2079	-1.1907001	-1.1896	-1.1844	-1.1666
100	37	-1.7222	-1.742	-1.7201	-1.7385	-1.7412	-1.743	-1.7036999	-1.6828001	-1.6719	-1.632	-1.6055	-1.5677
100	38	-1.5188	-1.5161	-1.4969	-1.5091	-1.5217	-1.5262001	-1.5082	-1.5056	-1.4904	-1.4586	-1.4402	-1.4071
99	1	-.72373998	-.73566002	-.73803002	-.72175002	-.74295002	-.74391001	-.72096997	-.69867003	-.71197999	-.70032001	-.69450003	-.68299001
99	2	-.39212999	-.39218	-.37345999	-.36083999	-.37329	-.34867001	-.3321	-.32438999	-.36442	-.34586	-.36524999	-.33076
99	3	-.80062002	-.82643002	-.79791999	-.77661997	-.78856999	-.77335	-.75505	-.74981999	-.78704	-.76498002	-.77232999	-.74349999
99	4	-.85857999	-.88679999	-.86392999	-.86311001	-.86093003	-.85088998	-.84560001	-.83282	-.87628001	-.85905999	-.87342	-.84017998
99	5	-1.1939	-1.2115999	-1.1717	-1.1658	-1.1631	-1.1372	-1.1253	-1.1185	-1.1631	-1.1253	-1.1323	-1.0906
99	6	-.95819002	-.93434	-.91931999	-.90603	-.89480001	-.88769001	-.89788002	-.89113998	-.87712002	-.85196	-.83794999	-.81309003
99	7	-1.2424999	-1.2147	-1.2039	-1.1667	-1.1646	-1.1749001	-1.1785001	-1.1945	-1.1865	-1.1549	-1.1425	-1.0984
99	8	-.86594999	-.86943001	-.86702001	-.86000001	-.85966003	-.84457999	-.84540999	-.84943998	-.86018997	-.82867998	-.83429003	-.78833002
99	9	-1.1702	-1.177	-1.1759	-1.1704	-1.1797	-1.1949	-1.2092	-1.1950001	-1.2003	-1.2031	-1.2242	-1.1749001
99	10	-1.2124	-1.2249	-1.2051001	-1.2261	-1.2502	-1.2543	-1.2424999	-1.2199	-1.2173001	-1.2363	-1.2298	-1.1989
99	11	-.99453002	-.99349999	-.99282998	-.99344999	-.99466997	-.99959999	-.98864001	-.98562998	-.98637998	-.99918002	-1.0035	-.95987999
99	12	-.85905999	-.86531001	-.86829001	-.85865998	-.8624	-.86611003	-.85290003	-.83108997	-.82879001	-.83292001	-.83023	-.77061999
99	13	-1.0112	-.98662001	-.99387002	-.98983997	-.99773002	-.9971	-1.0010999	-1.0123	-1.0022	-.98357999	-.96943003	-.92496002
99	14	-1.0063	-.98991001	-.98367	-.97577	-.99694002	-1.006	-.97205001	-.95997	-.97893	-.96669	-.96427	-.94572997
99	15	-.81901002	-.82187998	-.79317999	-.77254999	-.78210998	-.77626002	-.75949001	-.78978002	-.75839001	-.75871003	-.76429999	-.75452
99	16	-1.4151	-1.4138	-1.3995	-1.3776	-1.3867	-1.3769	-1.3618	-1.3602999	-1.3474	-1.36	-1.316	-1.2903
99	17	-.86931998	-.87774003	-.83704001	-.82378	-.84039998	-.82172	-.80383003	-.81086999	-.83076	-.82647997	-.82679999	-.80093002
99	18	-1.1258	-1.1295	-1.1078	-1.1106	-1.1160001	-1.1125	-1.1071	-1.1157	-1.1317	-1.1277	-1.1062	-1.0826
99	19	-1.3626	-1.3526	-1.3334	-1.3214999	-1.3188	-1.3106	-1.2721	-1.2786	-1.2843	-1.283	-1.2463	-1.2204
99	20	-2.0610001	-2.0639999	-2.0669999	-2.0488	-2.0732999	-2.0537	-2.0441	-2.0527999	-2.049	-2.0323	-2.0393	-2.03
99	21	-2.098	-2.0998001	-2.0822999	-2.0653	-2.0687001	-2.0764	-2.0723	-2.0732	-2.0855	-2.0732999	-2.0748	-2.0520999
99	22	-.94700998	-.93356001	-.92374998	-.92473	-.92672002	-.92851001	-.92401999	-.92649001	-.93498999	-.935	-.92488998	-.87638003
99	23	-1.1066999	-1.1069	-1.1316	-1.0964	-1.1253999	-1.1203001	-1.122	-1.1122	-1.1098	-1.1206	-1.122	-1.0809
99	24	-1.9891	-1.9618	-1.9421	-1.9384	-1.9313	-1.9375	-1.9164	-1.9048001	-1.9	-1.9033999	-1.8778	-1.8308001
99	25	-1.5073	-1.5027	-1.5161999	-1.5089999	-1.5294	-1.5444	-1.5531	-1.5459	-1.5671999	-1.5470001	-1.5599999	-1.4972
99	26	-1.0056	-1.0233999	-.99488997	-.97877002	-1.0084	-1.0039001	-.97323	-.94573998	-.93678999	-.92429	-.91354001	-.90493
99	27	-.46913999	-.45432001	-.4364	-.43070999	-.4461	-.43004	-.39669001	-.41016001	-.43274999	-.44125	-.45592001	-.43360001
99	28	-1.2717	-1.311	-1.2975	-1.3156	-1.3178	-1.3105	-1.2841001	-1.3018	-1.35	-1.408	-1.3321	-1.2852
99	29	-.92091	-.90846002	-.86695999	-.85171002	-.86107999	-.82861	-.79070002	-.80473	-.81567001	-.81212997	-.82429999	-.78746998
99	30	-.89146	-.92690003	-.90245003	-.90113002	-.90630001	-.89339	-.87063998	-.8545	-.89791	-.88714999	-.88498998	-.86325002
99	31	-1.4584	-1.48	-1.4383	-1.4337	-1.4374	-1.4220001	-1.3953	-1.3748	-1.418	-1.4132	-1.3749	-1.3482
99	32	-1.0204	-1.0491	-1.0085	-.99111998	-.99203002	-.99603999	-.97646999	-.96560001	-1.0014	-.94397002	-.95028001	-.96904999
99	33	-.94444001	-.93048	-.89949	-.88909	-.89170003	-.89604998	-.85627002	-.85108	-.83398002	-.82082999	-.83007997	-.81677997
99	34	-1.5931	-1.5891	-1.58	-1.5829999	-1.5828	-1.5688	-1.5646	-1.5553	-1.5336	-1.5153	-1.5022	-1.4873
99	35	-1.1658	-1.1483999	-1.1219	-1.1145999	-1.1134	-1.1155	-1.0939	-1.0897	-1.0733	-1.068	-1.058	-1.0420001
99	36	-1.272	-1.2613	-1.227	-1.2325	-1.2272	-1.2258	-1.2126	-1.2065001	-1.1877	-1.1921999	-1.1815	-1.1668
99	37	-1.7541	-1.768	-1.7525001	-1.7686	-1.7644	-1.7648	-1.7285	-1.7007	-1.6999	-1.6605999	-1.6274	-1.5987999
99	38	-1.531	-1.5283	-1.5095	-1.5226001	-1.5366	-1.5389	-1.5194	-1.5182	-1.5042	-1.4721	-1.454	-1.4212
98	1	-.73383999	-.75281	-.75432003	-.73499	-.76087999	-.75335997	-.73363	-.71262002	-.72021002	-.71087003	-.70204997	-.69229001
98	2	-.32460999	-.32664999	-.32262	-.30656001	-.32006001	-.29821	-.28674999	-.27803999	-.31470001	-.29901001	-.31075999	-.28103
98	3	-.73343003	-.75621003	-.72707999	-.70583999	-.72059	-.70459002	-.69018	-.68492001	-.72150999	-.69748998	-.70627999	-.67903
